run,t_hours,round_s
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.0,0.721
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.016666666666666666,0.782
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.03333333333333333,0.599
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.05,0.688
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.06666666666666667,10.9
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.08333333333333333,10.9
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.1,10.9
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.11666666666666667,10.9
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.13333333333333333,10.9
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.15,10.9
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.16666666666666666,10.9
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.18333333333333332,10.9
