run,t_hours,rtt_ms
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.0,61.7
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.016666666666666666,45.6
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.03333333333333333,32.6
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.05,52.5
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.06666666666666667,79.0
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.08333333333333333,39.9
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.1,30.3
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.11666666666666667,43.3
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.13333333333333333,44.3
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.15,44.3
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.16666666666666666,44.3
r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3_report,0.18333333333333332,44.3
