run,t_hours,loss
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.0,1.26
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.016666666666666666,0.622
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.03333333333333333,0.635
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.05,0.479
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.06666666666666667,0.595
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.08333333333333333,0.592
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.1,0.573
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.11666666666666667,0.881
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.13333333333333333,0.744
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.15,0.618
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.16666666666666666,0.851
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.18333333333333332,0.917
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.2,0.916
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.21666666666666667,0.957
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.23333333333333334,1.07
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.25,0.738
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.26666666666666666,0.363
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.2833333333333333,0.472
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.3,0.367
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.31666666666666665,0.329
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.3333333333333333,0.504
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.35,0.33
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.36666666666666664,0.409
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.38333333333333336,0.519
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.4,0.382
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.4166666666666667,0.382
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.43333333333333335,0.532
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.45,0.532
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.4666666666666667,0.532
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.48333333333333334,0.532
r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6_report,0.5,0.532
