run,t_hours,rtt_ms
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.0,11.7
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.016666666666666666,12.7
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.03333333333333333,10.8
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.05,8.87
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.06666666666666667,8.85
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.08333333333333333,12.4
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.1,7.0
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.11666666666666667,9.25
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.13333333333333333,12.2
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.15,9.29
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.16666666666666666,11.3
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.18333333333333332,7.63
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.2,11.0
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.21666666666666667,9.9
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.23333333333333334,8.87
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.25,7.94
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.26666666666666666,8.25
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.2833333333333333,9.96
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.3,9.19
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.31666666666666665,9.81
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.3333333333333333,9.81
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.35,9.81
r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8_report,0.36666666666666664,9.81
