run,t_hours,loss
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.0,2.34
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.016666666666666666,1.6
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.03333333333333333,1.2
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.05,0.804
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.06666666666666667,0.834
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.08333333333333333,0.834
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.1,0.914
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.11666666666666667,0.914
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.13333333333333333,1.18
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.15,1.35
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.16666666666666666,0.868
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.18333333333333332,0.732
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.2,0.836
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.21666666666666667,0.889
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.23333333333333334,0.62
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.25,0.501
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.26666666666666666,0.548
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.2833333333333333,0.624
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.3,0.844
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.31666666666666665,0.558
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.3333333333333333,0.474
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.35,0.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.36666666666666664,0.454
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.38333333333333336,0.454
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.4,0.467
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.4166666666666667,0.806
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.43333333333333335,0.696
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.45,0.492
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.4666666666666667,0.37
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.48333333333333334,0.37
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.5,0.37
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.5166666666666667,0.37
