run,t_hours,in_mb,out_mb,sum_mb
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.0,0.0,0.0,0.0
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.016666666666666666,23.299999999999997,20.5,43.9
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.03333333333333333,43.5,40.6,84.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.05,62.2,58.699999999999996,121.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.06666666666666667,77.5,74.19999999999999,152.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.08333333333333333,79.5,76.3,156.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.1,79.5,76.3,156.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.11666666666666667,79.5,76.5,156.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.13333333333333333,81.5,77.0,158.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.15,89.5,84.6,174.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.16666666666666666,114.5,106.1,221.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.18333333333333332,123.5,115.1,240.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.2,136.5,126.1,263.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.21666666666666667,146.5,136.1,282.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.23333333333333334,153.5,143.1,297.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.25,160.5,150.1,310.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.26666666666666666,160.5,150.1,310.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.2833333333333333,193.5,181.1,373.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.3,241.5,226.1,467.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.31666666666666665,287.5,272.1,560.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.3333333333333333,337.5,320.1,657.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.35,384.5,366.1,750.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.36666666666666664,428.5,410.1,838.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.38333333333333336,429.5,410.1,839.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.4,429.5,410.1,839.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.4166666666666667,463.5,440.1,903.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.43333333333333335,511.5,484.1,995.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.45,556.5,528.1,1084.4
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.4666666666666667,600.5,571.1,1198.3200000000002
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.48333333333333334,620.5,592.1,1239.2800000000002
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.5,622.5,594.1,1239.2800000000002
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.5166666666666667,622.5,594.1,1239.2800000000002
r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1_report,0.5333333333333333,622.5,594.1,1239.2800000000002
