run,t_hours,round_s
r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1_report,0.0,0.702
r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1_report,0.016666666666666666,0.613
r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1_report,0.03333333333333333,0.412
r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1_report,0.05,0.713
r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1_report,0.06666666666666667,0.835
r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1_report,0.08333333333333333,0.478
r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1_report,0.1,0.391
r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1_report,0.11666666666666667,0.445
r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1_report,0.13333333333333333,0.775
r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1_report,0.15,0.628
r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1_report,0.16666666666666666,0.741
r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1_report,0.18333333333333332,0.741
r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1_report,0.2,0.741
r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1_report,0.21666666666666667,0.741
r600w4p2_f1_d40_100b200l1td40_100ts10_4tl200_tb200_worker1_report,0.23333333333333334,0.741
