run,t_hours,errors,warns
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.0,9.0,5.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.008333333333333333,0.0,0.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.016666666666666666,0.0,0.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.025,1.0,1.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.03333333333333333,7.0,4.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.041666666666666664,0.0,0.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.05,0.0,0.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.058333333333333334,0.0,0.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.06666666666666667,0.0,0.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.075,0.0,0.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.08333333333333333,0.0,0.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.09166666666666666,0.0,0.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.1,0.0,0.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.10833333333333334,0.0,0.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.11666666666666667,0.0,0.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.125,0.0,0.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.13333333333333333,4.0,3.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.14166666666666666,0.0,0.0
r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9_report,0.15,0.0,0.0
