run,t_hours,loss
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.0,1.43
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.016666666666666666,0.855
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.03333333333333333,0.851
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.05,0.695
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.06666666666666667,0.454
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.08333333333333333,0.349
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.1,0.372
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.11666666666666667,0.372
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.13333333333333333,0.368
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.15,0.484
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.16666666666666666,0.556
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.18333333333333332,0.369
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.2,0.363
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.21666666666666667,0.379
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.23333333333333334,0.249
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.25,0.231
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.26666666666666666,0.231
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.2833333333333333,0.231
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.3,0.231
