run,t_hours,round_s
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.0,0.758
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.016666666666666666,0.753
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.03333333333333333,0.475
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.05,0.388
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.06666666666666667,0.431
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.08333333333333333,0.647
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.1,0.665
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.11666666666666667,0.665
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.13333333333333333,22.1
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.15,0.703
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.16666666666666666,0.642
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.18333333333333332,0.612
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.2,0.465
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.21666666666666667,0.422
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.23333333333333334,0.671
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.25,0.702
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.26666666666666666,0.702
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.2833333333333333,0.702
r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2_report,0.3,0.702
