run,t_hours,in_mb,out_mb,sum_mb
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.0,0.0,0.0,0.0
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.016666666666666666,47.8,47.00000000000001,95.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.03333333333333333,47.900000000000006,49.4,97.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.05,95.5,92.6,188.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.06666666666666667,141.5,137.6,280.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.08333333333333333,187.5,183.6,371.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.1,231.5,226.6,459.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.11666666666666667,231.5,226.6,459.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.13333333333333333,231.5,226.6,459.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.15,231.5,226.6,459.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.16666666666666666,244.5,234.6,479.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.18333333333333332,244.5,234.6,479.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.2,274.5,255.6,530.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.21666666666666667,321.5,299.6,622.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.23333333333333334,361.5,338.6,700.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.25,361.5,338.6,700.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.26666666666666666,364.5,340.6,704.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.2833333333333333,388.5,359.6,748.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.3,394.5,365.6,759.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.31666666666666665,394.5,365.6,759.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.3333333333333333,442.5,406.6,848.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.35,478.5,442.6,920.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.36666666666666664,478.5,442.6,920.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.38333333333333336,526.5,484.6,1010.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.4,572.5,528.6,1100.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.4166666666666667,596.5,551.6,1147.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.43333333333333335,596.5,551.6,1147.1
r600w4p2_f3_d10_20b300l1td40_100ts10_4tl300_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7_report,0.45,596.5,551.6,1147.1
