run,t_hours,loss
gptneo_1b_snaphot_report,0.0,10.024999999999999
gptneo_1b_snaphot_report,0.25,9.56
gptneo_1b_snaphot_report,0.5,12.004999999999999
gptneo_1b_snaphot_report,1.25,8.405000000000001
gptneo_1b_snaphot_report,1.5,7.785
gptneo_1b_snaphot_report,1.75,7.47
gptneo_1b_snaphot_report,2.0,7.4350000000000005
gptneo_1b_snaphot_report,2.25,7.4399999999999995
gptneo_1b_snaphot_report,2.5,7.31
gptneo_1b_snaphot_report,2.75,7.205
gptneo_1b_snaphot_report,3.0,7.145
gptneo_1b_snaphot_report,3.25,7.075
gptneo_1b_snaphot_report,3.5,7.09
gptneo_1b_snaphot_report,3.75,6.994999999999999
gptneo_1b_snaphot_report,4.0,6.965
gptneo_1b_snaphot_report,4.25,7.015000000000001
gptneo_1b_snaphot_report,4.5,7.0
gptneo_1b_snaphot_report,4.75,6.9
gptneo_1b_snaphot_report,5.0,7.035
gptneo_1b_snaphot_report,5.25,6.915
gptneo_1b_snaphot_report,5.5,6.915
gptneo_1b_snaphot_report,5.75,6.9
gptneo_1b_snaphot_report,6.0,6.98
gptneo_1b_snaphot_report,6.25,6.81
gptneo_1b_snaphot_report,6.5,6.885
gptneo_1b_snaphot_report,6.75,6.82
gptneo_1b_snaphot_report,7.0,6.745
gptneo_1b_snaphot_report,7.25,6.8
gptneo_1b_snaphot_report,7.5,6.835
gptneo_1b_snaphot_report,7.75,6.735
gptneo_1b_snaphot_report,8.0,6.8149999999999995
gptneo_1b_snaphot_report,8.25,6.76
gptneo_1b_snaphot_report,8.5,6.74
gptneo_1b_snaphot_report,8.75,6.720000000000001
gptneo_1b_snaphot_report,9.0,6.75
gptneo_1b_snaphot_report,9.25,6.71
gptneo_1b_snaphot_report,9.5,6.779999999999999
gptneo_1b_snaphot_report,9.75,6.720000000000001
gptneo_1b_snaphot_report,10.0,6.720000000000001
gptneo_1b_snaphot_report,10.25,6.715
gptneo_1b_snaphot_report,10.5,6.755
gptneo_1b_snaphot_report,10.75,6.705
gptneo_1b_snaphot_report,11.0,6.67
gptneo_1b_snaphot_report,11.25,6.725
gptneo_1b_snaphot_report,11.5,6.725
gptneo_1b_snaphot_report,11.75,6.66
gptneo_1b_snaphot_report,12.0,6.68
gptneo_1b_snaphot_report,12.25,6.635
gptneo_1b_snaphot_report,12.5,6.645
gptneo_1b_snaphot_report,12.75,6.59
gptneo_1b_snaphot_report,13.0,6.654999999999999
gptneo_1b_snaphot_report,13.25,6.59
gptneo_1b_snaphot_report,13.5,6.605
gptneo_1b_snaphot_report,13.75,6.63
gptneo_1b_snaphot_report,14.0,6.635
gptneo_1b_snaphot_report,14.25,6.635
gptneo_1b_snaphot_report,14.5,6.635
