run,t_hours,round_s
gptneo_1b_snaphot_report,0.0,232.20000000000002
gptneo_1b_snaphot_report,0.25,217.20000000000002
gptneo_1b_snaphot_report,0.5,126.0
gptneo_1b_snaphot_report,1.25,930.0
gptneo_1b_snaphot_report,1.5,882.0
gptneo_1b_snaphot_report,1.75,894.0
gptneo_1b_snaphot_report,2.0,876.0
gptneo_1b_snaphot_report,2.25,870.0
gptneo_1b_snaphot_report,2.5,888.0
gptneo_1b_snaphot_report,2.75,882.0
gptneo_1b_snaphot_report,3.0,894.0
gptneo_1b_snaphot_report,3.25,864.0
gptneo_1b_snaphot_report,3.5,882.0
gptneo_1b_snaphot_report,3.75,906.0
gptneo_1b_snaphot_report,4.0,900.0
gptneo_1b_snaphot_report,4.25,882.0
gptneo_1b_snaphot_report,4.5,858.0
gptneo_1b_snaphot_report,4.75,882.0
gptneo_1b_snaphot_report,5.0,882.0
gptneo_1b_snaphot_report,5.25,870.0
gptneo_1b_snaphot_report,5.5,882.0
gptneo_1b_snaphot_report,5.75,894.0
gptneo_1b_snaphot_report,6.0,888.0
gptneo_1b_snaphot_report,6.25,894.0
gptneo_1b_snaphot_report,6.5,912.0
gptneo_1b_snaphot_report,6.75,894.0
gptneo_1b_snaphot_report,7.0,882.0
gptneo_1b_snaphot_report,7.25,864.0
gptneo_1b_snaphot_report,7.5,888.0
gptneo_1b_snaphot_report,7.75,882.0
gptneo_1b_snaphot_report,8.0,864.0
gptneo_1b_snaphot_report,8.25,876.0
gptneo_1b_snaphot_report,8.5,894.0
gptneo_1b_snaphot_report,8.75,912.0
gptneo_1b_snaphot_report,9.0,912.0
gptneo_1b_snaphot_report,9.25,912.0
gptneo_1b_snaphot_report,9.5,912.0
gptneo_1b_snaphot_report,9.75,882.0
gptneo_1b_snaphot_report,10.0,900.0
gptneo_1b_snaphot_report,10.25,924.0
gptneo_1b_snaphot_report,10.5,912.0
gptneo_1b_snaphot_report,10.75,858.0
gptneo_1b_snaphot_report,11.0,888.0
gptneo_1b_snaphot_report,11.25,888.0
gptneo_1b_snaphot_report,11.5,900.0
gptneo_1b_snaphot_report,11.75,900.0
gptneo_1b_snaphot_report,12.0,900.0
gptneo_1b_snaphot_report,12.25,882.0
gptneo_1b_snaphot_report,12.5,888.0
gptneo_1b_snaphot_report,12.75,894.0
gptneo_1b_snaphot_report,13.0,912.0
gptneo_1b_snaphot_report,13.25,918.0
gptneo_1b_snaphot_report,13.5,894.0
gptneo_1b_snaphot_report,13.75,900.0
gptneo_1b_snaphot_report,14.0,900.0
gptneo_1b_snaphot_report,14.25,906.0
gptneo_1b_snaphot_report,14.5,888.0
gptneo_1b_snaphot_report,14.75,870.0
gptneo_1b_snaphot_report,15.0,906.0
gptneo_1b_snaphot_report,15.25,888.0
gptneo_1b_snaphot_report,15.5,876.0
gptneo_1b_snaphot_report,15.75,918.0
gptneo_1b_snaphot_report,16.0,906.0
gptneo_1b_snaphot_report,16.25,930.0
gptneo_1b_snaphot_report,16.5,918.0
gptneo_1b_snaphot_report,16.75,894.0
gptneo_1b_snaphot_report,17.0,900.0
gptneo_1b_snaphot_report,17.25,900.0
gptneo_1b_snaphot_report,17.5,912.0
gptneo_1b_snaphot_report,17.75,906.0
gptneo_1b_snaphot_report,18.0,906.0
gptneo_1b_snaphot_report,18.25,888.0
gptneo_1b_snaphot_report,18.5,894.0
gptneo_1b_snaphot_report,18.75,894.0
gptneo_1b_snaphot_report,19.0,888.0
gptneo_1b_snaphot_report,19.25,912.0
gptneo_1b_snaphot_report,19.5,942.0
gptneo_1b_snaphot_report,19.75,906.0
gptneo_1b_snaphot_report,20.0,942.0
gptneo_1b_snaphot_report,20.25,900.0
gptneo_1b_snaphot_report,20.5,930.0
gptneo_1b_snaphot_report,20.75,936.0
gptneo_1b_snaphot_report,21.0,900.0
gptneo_1b_snaphot_report,21.25,906.0
gptneo_1b_snaphot_report,21.5,900.0
gptneo_1b_snaphot_report,21.75,918.0
gptneo_1b_snaphot_report,22.0,936.0
gptneo_1b_snaphot_report,22.25,936.0
gptneo_1b_snaphot_report,22.5,972.0
gptneo_1b_snaphot_report,22.75,936.0
gptneo_1b_snaphot_report,23.0,900.0
gptneo_1b_snaphot_report,23.25,918.0
