run,t_hours,rtt_ms
gptneo_1b_snaphot_report,0.0,35.4
gptneo_1b_snaphot_report,0.3333333333333333,35.6
gptneo_1b_snaphot_report,0.6666666666666666,36.0
gptneo_1b_snaphot_report,1.0,36.1
gptneo_1b_snaphot_report,1.3333333333333333,35.5
gptneo_1b_snaphot_report,1.6666666666666667,35.5
gptneo_1b_snaphot_report,2.0,35.6
gptneo_1b_snaphot_report,2.3333333333333335,35.5
gptneo_1b_snaphot_report,2.6666666666666665,35.6
gptneo_1b_snaphot_report,3.0,35.5
gptneo_1b_snaphot_report,3.3333333333333335,35.7
gptneo_1b_snaphot_report,3.6666666666666665,35.7
gptneo_1b_snaphot_report,4.0,35.5
gptneo_1b_snaphot_report,4.333333333333333,35.5
gptneo_1b_snaphot_report,4.666666666666667,35.5
gptneo_1b_snaphot_report,5.0,35.6
gptneo_1b_snaphot_report,5.333333333333333,35.6
gptneo_1b_snaphot_report,5.666666666666667,35.7
gptneo_1b_snaphot_report,6.0,110.0
gptneo_1b_snaphot_report,6.333333333333333,35.9
gptneo_1b_snaphot_report,6.666666666666667,35.6
gptneo_1b_snaphot_report,7.0,35.6
gptneo_1b_snaphot_report,7.333333333333333,35.6
gptneo_1b_snaphot_report,7.666666666666667,35.6
gptneo_1b_snaphot_report,8.0,35.6
gptneo_1b_snaphot_report,8.333333333333334,35.6
gptneo_1b_snaphot_report,8.666666666666666,84.1
gptneo_1b_snaphot_report,9.0,35.6
gptneo_1b_snaphot_report,9.333333333333334,35.6
gptneo_1b_snaphot_report,9.666666666666666,35.6
gptneo_1b_snaphot_report,10.0,35.5
gptneo_1b_snaphot_report,10.333333333333334,35.6
gptneo_1b_snaphot_report,10.666666666666666,35.6
gptneo_1b_snaphot_report,11.0,35.5
gptneo_1b_snaphot_report,11.333333333333334,35.5
gptneo_1b_snaphot_report,11.666666666666666,35.6
gptneo_1b_snaphot_report,12.0,35.6
gptneo_1b_snaphot_report,12.333333333333334,48.3
gptneo_1b_snaphot_report,12.666666666666666,37.8
gptneo_1b_snaphot_report,13.0,35.5
gptneo_1b_snaphot_report,13.333333333333334,35.6
gptneo_1b_snaphot_report,13.666666666666666,35.6
gptneo_1b_snaphot_report,14.0,35.6
gptneo_1b_snaphot_report,14.333333333333334,35.6
gptneo_1b_snaphot_report,14.666666666666666,35.6
