run,t_hours,in_mb,out_mb,sum_mb
gptneo_1b_snaphot_report,0.0,0.0,0.0,0.0
gptneo_1b_snaphot_report,0.25,41943.04000000004,31457.279999999795,73400.3200000003
gptneo_1b_snaphot_report,0.5,52428.799999999814,41943.04000000004,83886.08000000007
gptneo_1b_snaphot_report,0.75,52428.799999999814,52428.799999999814,104857.59999999963
gptneo_1b_snaphot_report,1.0,52428.799999999814,52428.799999999814,104857.59999999963
gptneo_1b_snaphot_report,1.25,62914.560000000056,73400.31999999937,136314.8799999999
gptneo_1b_snaphot_report,1.5,83886.08000000007,94371.83999999939,178257.91999999993
gptneo_1b_snaphot_report,1.75,104857.6000000001,104857.59999999963,209715.19999999925
gptneo_1b_snaphot_report,2.0,115343.35999999987,115343.3599999994,230686.71999999974
gptneo_1b_snaphot_report,2.25,125829.12000000011,125829.11999999965,251658.2399999993
gptneo_1b_snaphot_report,2.5,136314.8799999999,146800.63999999966,283115.51999999955
gptneo_1b_snaphot_report,2.75,157286.3999999999,157286.39999999944,325058.5599999996
gptneo_1b_snaphot_report,3.0,178257.91999999993,178257.91999999946,356515.83999999985
gptneo_1b_snaphot_report,3.25,199229.43999999994,199229.43999999948,387973.1199999992
gptneo_1b_snaphot_report,3.5,209715.2000000002,209715.19999999972,429916.1599999992
gptneo_1b_snaphot_report,3.75,220200.95999999996,220200.9599999995,440401.9199999999
gptneo_1b_snaphot_report,4.0,230686.7200000002,230686.71999999974,461373.4399999995
gptneo_1b_snaphot_report,4.25,251658.24000000022,251658.23999999976,503316.4799999995
gptneo_1b_snaphot_report,4.5,272629.76000000024,272629.7599999998,534773.7599999998
gptneo_1b_snaphot_report,4.75,283115.52,283115.51999999955,576716.7999999998
gptneo_1b_snaphot_report,5.0,304087.04000000004,304087.0399999996,608174.0800000001
gptneo_1b_snaphot_report,5.25,314572.7999999998,314572.7999999998,629145.5999999996
gptneo_1b_snaphot_report,5.5,325058.56000000006,325058.5599999996,650117.1199999992
gptneo_1b_snaphot_report,5.75,346030.0800000001,335544.31999999937,681574.3999999994
gptneo_1b_snaphot_report,6.0,356515.83999999985,356515.8399999994,713031.6799999997
gptneo_1b_snaphot_report,6.25,377487.35999999987,377487.3599999994,754974.7199999997
gptneo_1b_snaphot_report,6.5,398458.8799999999,387973.11999999965,786432.0
gptneo_1b_snaphot_report,6.75,408944.64000000013,408944.63999999966,817889.2799999993
gptneo_1b_snaphot_report,7.0,419430.3999999999,419430.39999999944,838860.7999999998
gptneo_1b_snaphot_report,7.25,429916.16000000015,429916.1599999997,859832.3199999994
gptneo_1b_snaphot_report,7.5,450887.68000000017,450887.6799999997,901775.3599999994
gptneo_1b_snaphot_report,7.75,471859.2000000002,461373.4399999995,933232.6399999997
gptneo_1b_snaphot_report,8.0,482344.95999999996,482344.9599999995,964689.9199999999
gptneo_1b_snaphot_report,8.25,503316.48,503316.4799999995,1006632.96
gptneo_1b_snaphot_report,8.5,513802.2400000002,513802.23999999976,1017118.7199999997
gptneo_1b_snaphot_report,8.75,524288.0,513802.23999999976,1038090.2399999993
gptneo_1b_snaphot_report,9.0,545259.52,534773.7599999998,1080033.2799999993
gptneo_1b_snaphot_report,9.25,555745.2800000003,555745.2799999998,1111490.5599999996
gptneo_1b_snaphot_report,9.5,576716.7999999998,576716.7999999998,1153433.5999999996
gptneo_1b_snaphot_report,9.75,587202.5599999996,587202.5599999996,1174405.1199999992
gptneo_1b_snaphot_report,10.0,597688.3200000003,587202.5599999996,1184890.879999999
gptneo_1b_snaphot_report,10.25,618659.8399999999,608174.0799999991,1216348.1600000001
gptneo_1b_snaphot_report,10.5,629145.5999999996,629145.5999999996,1258291.1999999993
gptneo_1b_snaphot_report,10.75,650117.1200000001,639631.3599999994,1289748.4800000004
gptneo_1b_snaphot_report,11.0,671088.6399999997,660602.8799999999,1331691.5199999996
gptneo_1b_snaphot_report,11.25,671088.6399999997,671088.6399999997,1342177.2799999993
gptneo_1b_snaphot_report,11.5,681574.4000000004,681574.3999999994,1363148.7999999989
gptneo_1b_snaphot_report,11.75,702545.9199999999,692060.1599999992,1405091.8399999999
gptneo_1b_snaphot_report,12.0,723517.4400000004,713031.6799999997,1436549.1199999992
gptneo_1b_snaphot_report,12.25,744488.96,734003.1999999993,1478492.1600000001
gptneo_1b_snaphot_report,12.5,754974.7199999997,744488.96,1499463.6799999997
gptneo_1b_snaphot_report,12.75,765460.4800000004,754974.7199999997,1520435.1999999993
gptneo_1b_snaphot_report,13.0,775946.2400000002,765460.4799999995,1541406.7199999988
gptneo_1b_snaphot_report,13.25,796917.7599999998,786432.0,1583349.7599999998
gptneo_1b_snaphot_report,13.5,817889.2800000003,807403.5199999996,1614807.039999999
gptneo_1b_snaphot_report,13.75,828375.04,817889.2799999993,1635778.5600000005
gptneo_1b_snaphot_report,14.0,828375.04,828375.04,1656750.08
gptneo_1b_snaphot_report,14.25,849346.5599999996,838860.7999999998,1688207.3599999994
gptneo_1b_snaphot_report,14.5,870318.0800000001,859832.3199999994,1730150.4000000004
gptneo_1b_snaphot_report,14.75,891289.5999999996,870318.0799999991,1761607.6799999997
gptneo_1b_snaphot_report,15.0,901775.3600000003,891289.5999999996,1793064.959999999
gptneo_1b_snaphot_report,15.25,912261.1200000001,901775.3599999994,1814036.4800000004
gptneo_1b_snaphot_report,15.5,922746.8799999999,912261.1199999992,1835008.0
gptneo_1b_snaphot_report,15.75,943718.4000000004,933232.6399999997,1866465.2799999993
gptneo_1b_snaphot_report,16.0,964689.9199999999,943718.3999999994,1908408.3200000003
gptneo_1b_snaphot_report,16.25,975175.6799999997,964689.9199999999,1939865.5999999996
gptneo_1b_snaphot_report,16.5,985661.4400000004,975175.6799999997,1960837.1199999992
gptneo_1b_snaphot_report,16.75,996147.2000000002,985661.4399999995,1981808.6399999987
gptneo_1b_snaphot_report,17.0,1017118.7199999997,996147.1999999993,2013265.92
gptneo_1b_snaphot_report,17.25,1027604.4800000004,1017118.7199999997,2055208.959999999
gptneo_1b_snaphot_report,17.5,1048576.0,1038090.2399999993,2086666.2400000002
gptneo_1b_snaphot_report,17.75,1059061.7599999998,1048576.0,2107637.76
gptneo_1b_snaphot_report,18.0,1069547.5200000005,1048576.0,2118123.5199999996
gptneo_1b_snaphot_report,18.25,1090519.04,1069547.5199999996,2160066.5600000005
gptneo_1b_snaphot_report,18.5,1101004.7999999998,1090519.04,2191523.84
gptneo_1b_snaphot_report,18.75,1121976.3200000003,1111490.5599999996,2233466.879999999
gptneo_1b_snaphot_report,19.0,1142947.8399999999,1121976.3199999994,2264924.16
gptneo_1b_snaphot_report,19.25,1142947.8399999999,1132462.0799999991,2285895.6799999997
gptneo_1b_snaphot_report,19.5,1163919.3600000003,1142947.8399999999,2306867.1999999993
gptneo_1b_snaphot_report,19.75,1174405.12,1153433.5999999996,2327838.719999999
gptneo_1b_snaphot_report,20.0,1195376.6399999997,1174405.1199999992,2369781.76
gptneo_1b_snaphot_report,20.25,1205862.4000000004,1195376.6399999997,2401239.039999999
gptneo_1b_snaphot_report,20.5,1216348.1600000001,1205862.3999999994,2422210.5600000005
gptneo_1b_snaphot_report,20.75,1226833.92,1216348.1599999992,2443182.08
gptneo_1b_snaphot_report,21.0,1247805.4400000004,1226833.92,2474639.3599999994
gptneo_1b_snaphot_report,21.25,1268776.96,1247805.4399999995,2516582.4000000004
gptneo_1b_snaphot_report,21.5,1279262.7199999997,1268776.96,2548039.6799999997
gptneo_1b_snaphot_report,21.75,1289748.4800000004,1268776.96,2569011.1999999993
gptneo_1b_snaphot_report,22.0,1300234.2400000002,1279262.7199999997,2589982.719999999
gptneo_1b_snaphot_report,22.25,1321205.7599999998,1300234.2399999993,2621440.0
gptneo_1b_snaphot_report,22.5,1342177.2800000003,1321205.7599999998,2652897.2799999993
gptneo_1b_snaphot_report,22.75,1352663.04,1331691.5199999996,2673868.799999999
gptneo_1b_snaphot_report,23.0,1352663.04,1331691.5199999996,2694840.3200000003
gptneo_1b_snaphot_report,23.25,1373634.5599999996,1352663.04,2726297.5999999996
gptneo_1b_snaphot_report,23.5,1394606.08,1373634.5599999996,2768240.6399999987
gptneo_1b_snaphot_report,23.75,1415577.5999999996,1394606.0799999991,2799697.92
