t_hours,worker1_rtt,worker2_rtt,worker3_rtt,worker4_rtt
0,106,109,9.13,110
0.0333333,106,110,9.94,110
0.0666667,106,109,9.00,110
0.1,106,109,9.28,110
0.133333,106,110,9.12,110
0.166667,107,109,9.07,110
0.2,106,109,9.16,110
0.233333,106,110,9.34,110
0.266667,106,109,9.07,110
0.3,107,110,9.08,110
0.333333,106,109,9.95,113
0.366667,106,110,9.21,110
0.4,106,109,9.16,110
0.433333,107,109,9.26,110
0.466667,106,109,9.14,110
0.5,106,109,9.16,109
0.533333,106,110,9.12,110
0.566667,106,109,9.02,110
0.6,106,110,9.09,110
0.633333,106,110,12.1,112
0.666667,106,110,9.31,110
0.7,106,109,9.23,110
0.733333,107,110,9.36,110
0.766667,107,110,9.28,110
0.8,106,110,9.24,110
0.833333,106,109,9.08,110
0.866667,106,110,9.24,110
0.9,106,110,9.19,110
0.933333,106,110,10.5,110
0.966667,106,110,9.13,110
1,106,110,9.02,110
1.03333,106,110,9.27,110
1.06667,106,109,9.24,110
1.1,106,109,9.33,110
1.13333,106,110,9.16,109
1.16667,106,109,9.17,109
1.2,106,110,9.18,109
1.23333,106,109,10.9,112
1.26667,106,109,9.01,109
1.3,106,110,9.38,111
1.33333,106,110,9.04,110
1.36667,106,109,13.3,109
1.4,106,110,9.06,110
1.43333,106,110,9.08,110
1.46667,106,110,9.17,110
1.5,106,110,9.19,110
1.53333,106,110,11.6,110
1.56667,106,109,10.7,111
1.6,106,109,9.12,110
1.63333,106,109,9.16,110
1.66667,106,109,9.31,109
1.7,106,110,9.18,110
1.73333,106,109,9.17,109
1.76667,106,110,9.37,110
1.8,106,110,9.08,110
1.83333,106,110,10.9,109
1.86667,227,110,10.7,114
1.9,106,109,9.16,109
1.93333,106,110,9.58,109
1.96667,107,110,9.16,110
2,107,110,9.20,110
2.03333,107,110,9.99,110
2.06667,107,110,9.06,110
2.1,107,110,9.12,110
2.13333,107,109,12.2,109
2.16667,106,109,10.5,111
2.2,107,109,9.04,112
2.23333,107,110,9.07,110
2.26667,107,110,9.17,110
2.3,106,110,9.07,110
2.33333,106,109,9.22,110
2.36667,106,110,9.34,110
2.4,106,109,12.0,120
2.43333,106,110,8.93,110
2.46667,106,109,10.1,112
2.5,107,110,8.94,110
2.53333,107,110,9.09,110
2.56667,107,110,9.25,110
2.6,106,110,9.19,110
2.63333,107,110,9.09,110
2.66667,106,109,9.17,110
2.7,106,109,9.16,112
2.73333,106,109,9.15,110
2.76667,106,110,8.96,109
2.8,106,110,8.99,109
