t_hours,rtt_ms
0,110
0.0333333,110
0.0666667,110
0.1,110
0.133333,110
0.166667,110
0.2,110
0.233333,110
0.266667,110
0.3,110
0.333333,113
0.366667,110
0.4,110
0.433333,110
0.466667,110
0.5,109
0.533333,110
0.566667,110
0.6,110
0.633333,112
0.666667,110
0.7,110
0.733333,110
0.766667,110
0.8,110
0.833333,110
0.866667,110
0.9,110
0.933333,110
0.966667,110
1,110
1.03333,110
1.06667,110
1.1,110
1.13333,110
1.16667,109
1.2,110
1.23333,112
1.26667,109
1.3,111
1.33333,110
1.36667,109
1.4,110
1.43333,110
1.46667,110
1.5,110
1.53333,110
1.56667,111
1.6,110
1.63333,110
1.66667,109
1.7,110
1.73333,109
1.76667,110
1.8,110
1.83333,110
1.86667,227
1.9,109
1.93333,110
1.96667,110
2,110
2.03333,110
2.06667,110
2.1,110
2.13333,109
2.16667,111
2.2,112
2.23333,110
2.26667,110
2.3,110
2.33333,110
2.36667,110
2.4,120
2.43333,110
2.46667,112
2.5,110
2.53333,110
2.56667,110
2.6,110
2.63333,110
2.66667,110
2.7,112
2.73333,110
2.76667,110
2.8,110
2.83333,110
2.86667,110
2.9,110
2.93333,110
2.96667,110
3,110
3.03333,110
3.06667,110
3.1,110
3.13333,110
3.16667,110
3.2,110
3.23333,110
3.26667,110
3.3,110
3.33333,110
3.36667,111
3.4,110
3.43333,110
3.46667,110
3.5,110
3.53333,110
3.56667,110
3.6,110
3.63333,111
3.66667,110
3.7,110
3.73333,110
3.76667,110
3.8,110
3.83333,110
3.86667,110
3.9,113
3.93333,109
3.96667,110
4,110
4.03333,110
4.06667,110
4.1,110
4.13333,110
4.16667,110
4.2,110
4.23333,111
4.26667,109
4.3,110
4.33333,110
4.36667,110
4.4,110
4.43333,110
4.46667,110
4.5,111
4.53333,188
4.56667,110
4.6,110
4.63333,110
4.66667,110
4.7,110
4.73333,110
4.76667,109
4.8,110
4.83333,111
4.86667,110
4.9,109
4.93333,110
4.96667,110
5,109
5.03333,110
5.06667,110
5.1,111
5.13333,113
5.16667,110
5.2,110
5.23333,110
5.26667,110
5.3,110
5.33333,110
5.36667,115
5.4,110
5.43333,114
5.46667,110
5.5,110
5.53333,110
5.56667,110
5.6,110
5.63333,110
5.66667,110
5.7,110
5.73333,110
5.76667,110
5.8,110
5.83333,110
5.86667,110
5.9,110
5.93333,110
5.96667,109
6,110
6.03333,111
6.06667,110
6.1,109
6.13333,110
6.16667,110
6.2,110
6.23333,110
6.26667,110
6.3,109
6.33333,110
6.36667,110
6.4,110
6.43333,110
6.46667,110
6.5,110
6.53333,110
6.56667,110
6.6,110
6.63333,111
6.66667,110
6.7,110
6.73333,110
6.76667,110
6.8,110
6.83333,110
6.86667,111
6.9,110
6.93333,112
6.96667,110
7,110
7.03333,110
7.06667,110
7.1,110
7.13333,110
7.16667,110
7.2,112
7.23333,110
7.26667,110
7.3,110
7.33333,110
7.36667,110
7.4,110
7.43333,110
7.46667,110
7.5,110
7.53333,109
7.56667,110
7.6,110
7.63333,110
7.66667,110
7.7,110
7.73333,110
7.76667,110
7.8,110
7.83333,110
7.86667,110
7.9,110
7.93333,110
7.96667,110
8,110
8.03333,110
8.06667,111
8.1,110
8.13333,110
8.16667,110
8.2,110
8.23333,110
8.26667,110
8.3,110
8.33333,110
8.36667,125
8.4,110
8.43333,110
8.46667,110
8.5,110
8.53333,110
8.56667,110
8.6,110
8.63333,110
8.66667,109
8.7,110
8.73333,110
8.76667,110
8.8,110
8.83333,110
8.86667,110
8.9,110
8.93333,110
8.96667,110
9,112
9.03333,110
9.06667,112
9.1,110
9.13333,110
9.16667,110
9.2,110
9.23333,110
9.26667,110
9.3,110
9.33333,110
9.36667,110
9.4,110
9.43333,110
9.46667,110
9.5,110
9.53333,110
9.56667,110
9.6,109
9.63333,110
9.66667,111
9.7,110
9.73333,110
9.76667,110
9.8,110
9.83333,110
9.86667,110
9.9,109
9.93333,109
9.96667,110
10,110
10.0333,110
10.0667,110
10.1,110
10.1333,110
10.1667,110
10.2,109
10.2333,110
10.2667,109
10.3,111
10.3333,110
10.3667,110
10.4,110
10.4333,110
10.4667,110
10.5,110
10.5333,152
10.5667,111
10.6,112
10.6333,110
10.6667,110
10.7,109
10.7333,110
10.7667,110
10.8,110
10.8333,111
10.8667,119
10.9,111
10.9333,110
10.9667,110
11,110
11.0333,110
11.0667,110
11.1,110
11.1333,110
11.1667,111
11.2,111
11.2333,110
11.2667,110
11.3,110
11.3333,109
11.3667,110
11.4,109
11.4333,109
11.4667,110
11.5,110
11.5333,110
11.5667,110
11.6,110
11.6333,110
11.6667,110
11.7,110
11.7333,110
11.7667,110
11.8,110
11.8333,110
11.8667,109
11.9,110
11.9333,110
11.9667,110
12,110
12.0333,111
12.0667,110
12.1,111
12.1333,111
12.1667,110
12.2,110
12.2333,110
12.2667,110
12.3,110
12.3333,110
12.3667,111
12.4,111
12.4333,114
12.4667,110
12.5,110
12.5333,110
12.5667,110
12.6,110
12.6333,110
12.6667,111
12.7,110
12.7333,113
12.7667,110
12.8,110
12.8333,110
12.8667,110
12.9,110
12.9333,110
12.9667,110
13,110
13.0333,114
13.0667,110
13.1,110
13.1333,110
13.1667,110
13.2,110
13.2333,110
13.2667,110
13.3,111
13.3333,112
13.3667,112
13.4,110
13.4333,110
13.4667,110
13.5,110
13.5333,110
13.5667,110
13.6,8260
13.6333,112
13.6667,6210
13.7,110
13.7333,110
13.7667,110
13.8,111
13.8333,110
13.8667,284
13.9,110
13.9333,1120
13.9667,111
14,110
14.0333,110
14.0667,110
14.1,308
14.1333,110
14.1667,167
14.2,111
14.2333,150
14.2667,110
14.3,110
14.3333,110
14.3667,110
14.4,110
14.4333,109
14.4667,109
14.5,109
14.5333,110
14.5667,111
14.6,110
14.6333,109
14.6667,110
14.7,110
14.7333,110
14.7667,110
14.8,295
14.8333,110
14.8667,290
14.9,111
14.9333,110
14.9667,110
15,110
15.0333,110
15.0667,110
15.1,110
15.1333,112
15.1667,110
15.2,111
15.2333,110
15.2667,110
15.3,110
15.3333,110
15.3667,110
15.4,110
15.4333,122
15.4667,110
15.5,110
15.5333,110
15.5667,110
15.6,110
15.6333,110
15.6667,110
15.7,110
15.7333,110
15.7667,110
15.8,110
15.8333,111
15.8667,110
15.9,110
15.9333,110
15.9667,110
16,110
16.0333,110
16.0667,110
16.1,110
16.1333,111
16.1667,110
16.2,110
16.2333,110
16.2667,110
16.3,110
16.3333,110
16.3667,110
16.4,110
16.4333,112
16.4667,110
16.5,110
16.5333,110
16.5667,110
16.6,110
16.6333,110
16.6667,110
16.7,110
16.7333,111
16.7667,111
16.8,110
16.8333,110
16.8667,110
16.9,110
16.9333,110
16.9667,110
17,110
17.0333,444
17.0667,112
17.1,110
17.1333,110
17.1667,110
17.2,110
17.2333,110
17.2667,110
17.3,110
17.3333,110
17.3667,110
17.4,110
17.4333,110
17.4667,110
17.5,109
17.5333,110
17.5667,110
17.6,109
17.6333,110
17.6667,110
17.7,110
17.7333,110
17.7667,110
17.8,110
17.8333,110
17.8667,110
17.9,111
17.9333,109
17.9667,110
18,110
18.0333,110
18.0667,110
18.1,110
18.1333,110
18.1667,110
18.2,110
18.2333,110
18.2667,111
18.3,120
18.3333,110
18.3667,147
18.4,110
