run,t_hours,rtt_ms
ppo_d964df25_mac_result1_report,0.0,28.6
ppo_d964df25_mac_result1_report,0.016666666666666666,31.0
ppo_d964df25_mac_result1_report,0.03333333333333333,30.0
ppo_d964df25_mac_result1_report,0.05,29.7
ppo_d964df25_mac_result1_report,0.06666666666666667,29.7
ppo_d964df25_mac_result1_report,0.08333333333333333,30.3
ppo_d964df25_mac_result1_report,0.1,30.9
ppo_d964df25_mac_result1_report,0.11666666666666667,30.2
ppo_d964df25_mac_result1_report,0.13333333333333333,30.3
ppo_d964df25_mac_result1_report,0.15,30.5
ppo_d964df25_mac_result1_report,0.16666666666666666,29.7
ppo_d964df25_mac_result1_report,0.18333333333333332,30.4
ppo_d964df25_mac_result1_report,0.2,30.6
ppo_d964df25_mac_result1_report,0.21666666666666667,30.1
ppo_d964df25_mac_result1_report,0.23333333333333334,31.4
ppo_d964df25_mac_result1_report,0.25,31.5
ppo_d964df25_mac_result1_report,0.26666666666666666,31.1
ppo_d964df25_mac_result1_report,0.2833333333333333,29.3
ppo_d964df25_mac_result1_report,0.3,30.0
ppo_d964df25_mac_result1_report,0.31666666666666665,31.4
ppo_d964df25_mac_result1_report,0.3333333333333333,30.7
ppo_d964df25_mac_result1_report,0.35,31.4
ppo_d964df25_mac_result1_report,0.36666666666666664,31.3
