run,t_hours,in_mb,out_mb,sum_mb
ppo_d964df25_mac_result1_report,0.0,0.0,0.0,0.0
ppo_d964df25_mac_result1_report,0.016666666666666666,3.3999999999999986,3.5,7.0
ppo_d964df25_mac_result1_report,0.03333333333333333,6.600000000000001,6.699999999999996,13.0
ppo_d964df25_mac_result1_report,0.05,9.899999999999999,9.899999999999999,20.0
ppo_d964df25_mac_result1_report,0.06666666666666667,13.100000000000001,13.199999999999996,26.0
ppo_d964df25_mac_result1_report,0.08333333333333333,16.4,16.499999999999993,33.0
ppo_d964df25_mac_result1_report,0.1,19.800000000000004,19.800000000000004,40.0
ppo_d964df25_mac_result1_report,0.11666666666666667,23.000000000000007,22.999999999999993,46.0
ppo_d964df25_mac_result1_report,0.13333333333333333,26.199999999999996,26.300000000000004,52.0
ppo_d964df25_mac_result1_report,0.15,29.4,29.499999999999993,59.0
ppo_d964df25_mac_result1_report,0.16666666666666666,32.6,32.699999999999996,65.0
ppo_d964df25_mac_result1_report,0.18333333333333332,35.9,35.9,72.0
ppo_d964df25_mac_result1_report,0.2,39.1,39.1,78.0
ppo_d964df25_mac_result1_report,0.21666666666666667,42.1,41.9,85.0
ppo_d964df25_mac_result1_report,0.23333333333333334,45.1,45.9,91.0
ppo_d964df25_mac_result1_report,0.25,49.1,48.9,98.0
ppo_d964df25_mac_result1_report,0.26666666666666666,52.1,51.9,104.0
ppo_d964df25_mac_result1_report,0.2833333333333333,55.1,54.9,110.0
ppo_d964df25_mac_result1_report,0.3,58.1,57.9,116.0
ppo_d964df25_mac_result1_report,0.31666666666666665,58.1,58.9,117.0
ppo_d964df25_mac_result1_report,0.3333333333333333,58.1,58.9,117.0
ppo_d964df25_mac_result1_report,0.35,58.1,58.9,117.0
ppo_d964df25_mac_result1_report,0.36666666666666664,58.1,58.9,117.0
