run,t_hours,rtt_ms
ppo_d964df25_result1_report,0.0,8.41
ppo_d964df25_result1_report,0.016666666666666666,8.43
ppo_d964df25_result1_report,0.03333333333333333,8.43
ppo_d964df25_result1_report,0.05,8.42
ppo_d964df25_result1_report,0.06666666666666667,8.45
ppo_d964df25_result1_report,0.08333333333333333,8.39
ppo_d964df25_result1_report,0.1,8.49
ppo_d964df25_result1_report,0.11666666666666667,8.47
ppo_d964df25_result1_report,0.13333333333333333,8.43
ppo_d964df25_result1_report,0.15,8.43
ppo_d964df25_result1_report,0.16666666666666666,8.46
ppo_d964df25_result1_report,0.18333333333333332,8.44
ppo_d964df25_result1_report,0.2,8.43
ppo_d964df25_result1_report,0.21666666666666667,8.42
ppo_d964df25_result1_report,0.23333333333333334,8.44
ppo_d964df25_result1_report,0.25,8.41
ppo_d964df25_result1_report,0.26666666666666666,8.37
ppo_d964df25_result1_report,0.2833333333333333,8.42
ppo_d964df25_result1_report,0.3,8.42
ppo_d964df25_result1_report,0.31666666666666665,8.38
ppo_d964df25_result1_report,0.3333333333333333,8.38
ppo_d964df25_result1_report,0.35,8.42
ppo_d964df25_result1_report,0.36666666666666664,8.39
ppo_d964df25_result1_report,0.38333333333333336,8.38
ppo_d964df25_result1_report,0.4,8.4
ppo_d964df25_result1_report,0.4166666666666667,8.43
ppo_d964df25_result1_report,0.43333333333333335,8.49
ppo_d964df25_result1_report,0.45,8.56
ppo_d964df25_result1_report,0.4666666666666667,8.41
ppo_d964df25_result1_report,0.48333333333333334,8.4
ppo_d964df25_result1_report,0.5,8.41
ppo_d964df25_result1_report,0.5166666666666667,8.46
ppo_d964df25_result1_report,0.5333333333333333,8.39
ppo_d964df25_result1_report,0.55,8.4
ppo_d964df25_result1_report,0.5666666666666667,8.42
ppo_d964df25_result1_report,0.5833333333333334,8.45
ppo_d964df25_result1_report,0.6,8.48
ppo_d964df25_result1_report,0.6166666666666667,8.47
ppo_d964df25_result1_report,0.6333333333333333,8.43
ppo_d964df25_result1_report,0.65,8.44
ppo_d964df25_result1_report,0.6666666666666666,8.44
ppo_d964df25_result1_report,0.6833333333333333,8.46
ppo_d964df25_result1_report,0.7,8.5
ppo_d964df25_result1_report,0.7166666666666667,8.47
ppo_d964df25_result1_report,0.7333333333333333,8.49
ppo_d964df25_result1_report,0.75,8.45
ppo_d964df25_result1_report,0.7666666666666667,8.61
ppo_d964df25_result1_report,0.7833333333333333,8.63
ppo_d964df25_result1_report,0.8,8.63
