run,t_hours,loss
resnet-101_result_report,0.0,55.5
resnet-101_result_report,0.08333333333333333,6.96
resnet-101_result_report,0.16666666666666666,7.06
resnet-101_result_report,0.25,6.75
resnet-101_result_report,0.3333333333333333,6.89
resnet-101_result_report,0.4166666666666667,6.86
resnet-101_result_report,0.5,6.82
resnet-101_result_report,0.5833333333333334,6.79
resnet-101_result_report,0.6666666666666666,6.75
resnet-101_result_report,0.75,6.52
resnet-101_result_report,0.8333333333333334,6.4
resnet-101_result_report,0.9166666666666666,6.63
resnet-101_result_report,1.0,6.84
resnet-101_result_report,1.0833333333333333,6.55
resnet-101_result_report,1.1666666666666667,6.52
resnet-101_result_report,1.25,6.53
resnet-101_result_report,1.3333333333333333,6.02
resnet-101_result_report,1.4166666666666667,6.31
resnet-101_result_report,1.5,6.31
resnet-101_result_report,1.5833333333333333,5.69
resnet-101_result_report,1.6666666666666667,6.04
resnet-101_result_report,1.75,6.14
resnet-101_result_report,1.8333333333333333,6.14
resnet-101_result_report,1.9166666666666667,6.08
resnet-101_result_report,2.0,6.02
resnet-101_result_report,2.0833333333333335,5.94
resnet-101_result_report,2.1666666666666665,5.89
resnet-101_result_report,2.25,5.86
resnet-101_result_report,2.3333333333333335,6.24
resnet-101_result_report,2.4166666666666665,5.84
resnet-101_result_report,2.5,5.9
resnet-101_result_report,2.5833333333333335,5.58
resnet-101_result_report,2.6666666666666665,5.69
resnet-101_result_report,2.75,5.74
resnet-101_result_report,2.8333333333333335,5.77
resnet-101_result_report,2.9166666666666665,5.5
resnet-101_result_report,3.0,5.47
resnet-101_result_report,3.0833333333333335,5.7
resnet-101_result_report,3.1666666666666665,5.47
resnet-101_result_report,3.25,5.48
resnet-101_result_report,3.3333333333333335,5.74
resnet-101_result_report,3.4166666666666665,5.41
resnet-101_result_report,3.5,5.25
resnet-101_result_report,3.5833333333333335,5.16
resnet-101_result_report,3.6666666666666665,5.38
resnet-101_result_report,3.75,5.3
resnet-101_result_report,3.8333333333333335,5.23
resnet-101_result_report,3.9166666666666665,5.33
resnet-101_result_report,4.0,5.23
resnet-101_result_report,4.083333333333333,5.34
resnet-101_result_report,4.166666666666667,5.24
resnet-101_result_report,4.25,5.04
resnet-101_result_report,4.333333333333333,5.14
resnet-101_result_report,4.416666666666667,5.12
resnet-101_result_report,4.5,5.18
resnet-101_result_report,4.583333333333333,5.08
resnet-101_result_report,4.666666666666667,4.89
resnet-101_result_report,4.75,4.94
resnet-101_result_report,4.833333333333333,4.88
resnet-101_result_report,4.916666666666667,4.95
resnet-101_result_report,5.0,4.91
resnet-101_result_report,5.083333333333333,4.75
resnet-101_result_report,5.166666666666667,4.92
resnet-101_result_report,5.25,4.79
resnet-101_result_report,5.333333333333333,4.76
resnet-101_result_report,5.416666666666667,4.58
resnet-101_result_report,5.5,4.65
resnet-101_result_report,5.583333333333333,4.41
resnet-101_result_report,5.666666666666667,4.55
resnet-101_result_report,5.75,4.73
resnet-101_result_report,5.833333333333333,5.41
resnet-101_result_report,5.916666666666667,4.75
resnet-101_result_report,6.0,4.6
resnet-101_result_report,6.083333333333333,4.31
resnet-101_result_report,6.166666666666667,4.5
resnet-101_result_report,6.25,4.4
resnet-101_result_report,6.333333333333333,4.65
resnet-101_result_report,6.416666666666667,4.41
resnet-101_result_report,6.5,4.13
resnet-101_result_report,6.583333333333333,4.56
resnet-101_result_report,6.666666666666667,4.27
resnet-101_result_report,6.75,4.18
resnet-101_result_report,6.833333333333333,4.62
resnet-101_result_report,6.916666666666667,4.01
resnet-101_result_report,7.0,4.21
resnet-101_result_report,7.083333333333333,4.15
resnet-101_result_report,7.166666666666667,4.02
resnet-101_result_report,7.25,4.13
resnet-101_result_report,7.333333333333333,4.21
resnet-101_result_report,7.416666666666667,4.12
resnet-101_result_report,7.5,4.3
resnet-101_result_report,7.583333333333333,4.19
resnet-101_result_report,7.666666666666667,4.09
resnet-101_result_report,7.75,3.79
resnet-101_result_report,7.833333333333333,3.95
resnet-101_result_report,7.916666666666667,4.06
resnet-101_result_report,8.0,4.04
resnet-101_result_report,8.083333333333334,4.11
resnet-101_result_report,8.166666666666666,3.7
resnet-101_result_report,8.25,4.02
resnet-101_result_report,8.333333333333334,3.73
resnet-101_result_report,8.416666666666666,3.77
resnet-101_result_report,8.5,3.62
resnet-101_result_report,8.583333333333334,3.87
resnet-101_result_report,8.666666666666666,4.04
resnet-101_result_report,8.75,3.66
resnet-101_result_report,8.833333333333334,3.81
resnet-101_result_report,8.916666666666666,3.7
resnet-101_result_report,9.0,3.54
resnet-101_result_report,9.083333333333334,3.47
resnet-101_result_report,9.166666666666666,3.49
resnet-101_result_report,9.25,3.57
resnet-101_result_report,9.333333333333334,3.56
resnet-101_result_report,9.416666666666666,3.45
resnet-101_result_report,9.5,3.45
resnet-101_result_report,9.583333333333334,3.51
resnet-101_result_report,9.666666666666666,3.49
resnet-101_result_report,9.75,3.66
resnet-101_result_report,9.833333333333334,3.34
resnet-101_result_report,9.916666666666666,3.22
resnet-101_result_report,10.0,3.7
resnet-101_result_report,10.083333333333334,3.34
resnet-101_result_report,10.166666666666666,3.1
resnet-101_result_report,10.25,3.67
resnet-101_result_report,10.333333333333334,3.14
resnet-101_result_report,10.416666666666666,3.08
resnet-101_result_report,10.5,3.16
resnet-101_result_report,10.583333333333334,3.1
resnet-101_result_report,10.666666666666666,3.27
resnet-101_result_report,10.75,3.06
resnet-101_result_report,10.833333333333334,2.97
resnet-101_result_report,10.916666666666666,3.24
resnet-101_result_report,11.0,2.99
resnet-101_result_report,11.083333333333334,3.31
resnet-101_result_report,11.166666666666666,3.08
resnet-101_result_report,11.25,3.27
resnet-101_result_report,11.333333333333334,3.07
resnet-101_result_report,11.416666666666666,2.89
resnet-101_result_report,11.5,2.82
resnet-101_result_report,11.583333333333334,2.88
resnet-101_result_report,11.666666666666666,2.8
resnet-101_result_report,11.75,2.86
resnet-101_result_report,11.833333333333334,3.0
resnet-101_result_report,11.916666666666666,2.76
resnet-101_result_report,12.0,2.79
resnet-101_result_report,12.083333333333334,2.86
resnet-101_result_report,12.166666666666666,3.06
resnet-101_result_report,12.25,2.79
resnet-101_result_report,12.333333333333334,2.85
resnet-101_result_report,12.416666666666666,2.73
resnet-101_result_report,12.5,2.78
resnet-101_result_report,12.583333333333334,2.45
resnet-101_result_report,12.666666666666666,2.83
resnet-101_result_report,12.75,2.72
resnet-101_result_report,12.833333333333334,2.53
resnet-101_result_report,12.916666666666666,2.86
resnet-101_result_report,13.0,2.69
resnet-101_result_report,13.083333333333334,2.69
resnet-101_result_report,13.166666666666666,2.95
resnet-101_result_report,13.25,2.56
resnet-101_result_report,13.333333333333334,2.67
resnet-101_result_report,13.416666666666666,2.53
resnet-101_result_report,13.5,2.53
resnet-101_result_report,13.583333333333334,2.58
resnet-101_result_report,13.666666666666666,2.62
resnet-101_result_report,13.75,2.52
resnet-101_result_report,13.833333333333334,2.5
resnet-101_result_report,13.916666666666666,2.56
resnet-101_result_report,14.0,2.47
resnet-101_result_report,14.083333333333334,2.47
resnet-101_result_report,14.166666666666666,2.56
resnet-101_result_report,14.25,2.48
resnet-101_result_report,14.333333333333334,2.33
resnet-101_result_report,14.416666666666666,2.77
resnet-101_result_report,14.5,2.4
resnet-101_result_report,14.583333333333334,2.55
resnet-101_result_report,14.666666666666666,2.45
resnet-101_result_report,14.75,2.39
resnet-101_result_report,14.833333333333334,2.16
resnet-101_result_report,14.916666666666666,2.18
resnet-101_result_report,15.0,2.48
resnet-101_result_report,15.083333333333334,2.5
resnet-101_result_report,15.166666666666666,2.33
resnet-101_result_report,15.25,2.13
resnet-101_result_report,15.333333333333334,2.38
resnet-101_result_report,15.416666666666666,2.48
resnet-101_result_report,15.5,2.18
resnet-101_result_report,15.583333333333334,2.68
resnet-101_result_report,15.666666666666666,2.59
resnet-101_result_report,15.75,2.23
resnet-101_result_report,15.833333333333334,2.24
resnet-101_result_report,15.916666666666666,2.21
resnet-101_result_report,16.0,2.53
