run,t_hours,round_s
resnet-101_result_report,0.0,23.6
resnet-101_result_report,0.08333333333333333,26.9
resnet-101_result_report,0.16666666666666666,19.8
resnet-101_result_report,0.25,18.3
resnet-101_result_report,0.3333333333333333,26.5
resnet-101_result_report,0.4166666666666667,22.9
resnet-101_result_report,0.5,21.8
resnet-101_result_report,0.5833333333333334,16.8
resnet-101_result_report,0.6666666666666666,13.8
resnet-101_result_report,0.75,11.9
resnet-101_result_report,0.8333333333333334,7.92
resnet-101_result_report,0.9166666666666666,19.6
resnet-101_result_report,1.0,15.4
resnet-101_result_report,1.0833333333333333,17.8
resnet-101_result_report,1.1666666666666667,10.0
resnet-101_result_report,1.25,11.3
resnet-101_result_report,1.3333333333333333,42.0
resnet-101_result_report,1.4166666666666667,10.5
resnet-101_result_report,1.5,10.8
resnet-101_result_report,1.5833333333333333,11.3
resnet-101_result_report,1.6666666666666667,8.18
resnet-101_result_report,1.75,44.6
resnet-101_result_report,1.8333333333333333,84.6
resnet-101_result_report,1.9166666666666667,10.8
resnet-101_result_report,2.0,8.37
resnet-101_result_report,2.0833333333333335,11.3
resnet-101_result_report,2.1666666666666665,29.9
resnet-101_result_report,2.25,46.9
resnet-101_result_report,2.3333333333333335,44.2
resnet-101_result_report,2.4166666666666665,20.8
resnet-101_result_report,2.5,9.26
resnet-101_result_report,2.5833333333333335,9.23
resnet-101_result_report,2.6666666666666665,9.4
resnet-101_result_report,2.75,11.0
resnet-101_result_report,2.8333333333333335,38.0
resnet-101_result_report,2.9166666666666665,22.7
resnet-101_result_report,3.0,9.89
resnet-101_result_report,3.0833333333333335,10.7
resnet-101_result_report,3.1666666666666665,10.0
resnet-101_result_report,3.25,8.44
resnet-101_result_report,3.3333333333333335,11.6
resnet-101_result_report,3.4166666666666665,8.84
resnet-101_result_report,3.5,9.06
resnet-101_result_report,3.5833333333333335,8.68
resnet-101_result_report,3.6666666666666665,91.8
resnet-101_result_report,3.75,15.7
resnet-101_result_report,3.8333333333333335,10.6
resnet-101_result_report,3.9166666666666665,8.63
resnet-101_result_report,4.0,11.3
resnet-101_result_report,4.083333333333333,31.5
resnet-101_result_report,4.166666666666667,11.9
resnet-101_result_report,4.25,7.63
resnet-101_result_report,4.333333333333333,10.8
resnet-101_result_report,4.416666666666667,7.52
resnet-101_result_report,4.5,8.67
resnet-101_result_report,4.583333333333333,9.26
resnet-101_result_report,4.666666666666667,10.3
resnet-101_result_report,4.75,9.24
resnet-101_result_report,4.833333333333333,9.34
resnet-101_result_report,4.916666666666667,7.45
resnet-101_result_report,5.0,9.18
resnet-101_result_report,5.083333333333333,8.18
resnet-101_result_report,5.166666666666667,8.34
resnet-101_result_report,5.25,8.9
resnet-101_result_report,5.333333333333333,9.71
resnet-101_result_report,5.416666666666667,9.19
resnet-101_result_report,5.5,9.14
resnet-101_result_report,5.583333333333333,8.41
resnet-101_result_report,5.666666666666667,11.7
resnet-101_result_report,5.75,9.47
resnet-101_result_report,5.833333333333333,57.3
resnet-101_result_report,5.916666666666667,10.6
resnet-101_result_report,6.0,35.8
