run,t_hours,rtt_ms
resnet-101_result_report,0.0,69.4
resnet-101_result_report,0.08333333333333333,197.0
resnet-101_result_report,0.16666666666666666,39.4
resnet-101_result_report,0.25,37.9
resnet-101_result_report,0.3333333333333333,38.7
resnet-101_result_report,0.4166666666666667,69.8
resnet-101_result_report,0.5,37.7
resnet-101_result_report,0.5833333333333334,37.8
resnet-101_result_report,0.6666666666666666,39.4
resnet-101_result_report,0.75,37.7
resnet-101_result_report,0.8333333333333334,37.8
resnet-101_result_report,0.9166666666666666,37.7
resnet-101_result_report,1.0,37.8
resnet-101_result_report,1.0833333333333333,38.6
resnet-101_result_report,1.1666666666666667,37.8
resnet-101_result_report,1.25,47.4
resnet-101_result_report,1.3333333333333333,134.0
resnet-101_result_report,1.4166666666666667,37.8
resnet-101_result_report,1.5,37.8
resnet-101_result_report,1.5833333333333333,38.5
resnet-101_result_report,1.6666666666666667,37.7
resnet-101_result_report,1.75,112.0
resnet-101_result_report,1.8333333333333333,37.7
resnet-101_result_report,1.9166666666666667,37.8
resnet-101_result_report,2.0,37.9
resnet-101_result_report,2.0833333333333335,37.8
resnet-101_result_report,2.1666666666666665,96.0
resnet-101_result_report,2.25,37.8
resnet-101_result_report,2.3333333333333335,92.9
resnet-101_result_report,2.4166666666666665,101.0
resnet-101_result_report,2.5,37.9
resnet-101_result_report,2.5833333333333335,41.5
resnet-101_result_report,2.6666666666666665,37.7
resnet-101_result_report,2.75,37.7
resnet-101_result_report,2.8333333333333335,90.2
resnet-101_result_report,2.9166666666666665,38.1
resnet-101_result_report,3.0,37.8
resnet-101_result_report,3.0833333333333335,38.1
resnet-101_result_report,3.1666666666666665,38.3
resnet-101_result_report,3.25,37.9
resnet-101_result_report,3.3333333333333335,38.1
resnet-101_result_report,3.4166666666666665,37.9
resnet-101_result_report,3.5,37.7
resnet-101_result_report,3.5833333333333335,39.3
resnet-101_result_report,3.6666666666666665,130.0
resnet-101_result_report,3.75,37.9
resnet-101_result_report,3.8333333333333335,39.2
resnet-101_result_report,3.9166666666666665,37.9
resnet-101_result_report,4.0,38.3
resnet-101_result_report,4.083333333333333,38.5
resnet-101_result_report,4.166666666666667,37.8
resnet-101_result_report,4.25,38.3
resnet-101_result_report,4.333333333333333,37.8
resnet-101_result_report,4.416666666666667,37.8
resnet-101_result_report,4.5,37.8
resnet-101_result_report,4.583333333333333,37.9
resnet-101_result_report,4.666666666666667,37.9
resnet-101_result_report,4.75,39.1
resnet-101_result_report,4.833333333333333,38.3
resnet-101_result_report,4.916666666666667,37.9
resnet-101_result_report,5.0,38.2
resnet-101_result_report,5.083333333333333,38.0
resnet-101_result_report,5.166666666666667,38.2
resnet-101_result_report,5.25,38.0
resnet-101_result_report,5.333333333333333,38.0
resnet-101_result_report,5.416666666666667,43.2
resnet-101_result_report,5.5,70.3
resnet-101_result_report,5.583333333333333,44.6
resnet-101_result_report,5.666666666666667,44.9
resnet-101_result_report,5.75,44.4
resnet-101_result_report,5.833333333333333,147.0
resnet-101_result_report,5.916666666666667,44.4
resnet-101_result_report,6.0,44.5
resnet-101_result_report,6.083333333333333,108.0
resnet-101_result_report,6.166666666666667,132.0
resnet-101_result_report,6.25,91.2
resnet-101_result_report,6.333333333333333,46.7
resnet-101_result_report,6.416666666666667,77.5
resnet-101_result_report,6.5,44.7
resnet-101_result_report,6.583333333333333,44.5
resnet-101_result_report,6.666666666666667,44.5
resnet-101_result_report,6.75,44.4
resnet-101_result_report,6.833333333333333,44.5
resnet-101_result_report,6.916666666666667,65.0
resnet-101_result_report,7.0,44.7
resnet-101_result_report,7.083333333333333,44.4
resnet-101_result_report,7.166666666666667,44.4
resnet-101_result_report,7.25,44.5
resnet-101_result_report,7.333333333333333,159.0
resnet-101_result_report,7.416666666666667,44.4
resnet-101_result_report,7.5,44.5
resnet-101_result_report,7.583333333333333,79.6
resnet-101_result_report,7.666666666666667,45.1
resnet-101_result_report,7.75,44.4
resnet-101_result_report,7.833333333333333,44.6
resnet-101_result_report,7.916666666666667,70.1
resnet-101_result_report,8.0,85.4
resnet-101_result_report,8.083333333333334,44.3
resnet-101_result_report,8.166666666666666,44.4
resnet-101_result_report,8.25,63.8
resnet-101_result_report,8.333333333333334,44.6
resnet-101_result_report,8.416666666666666,44.7
resnet-101_result_report,8.5,44.6
resnet-101_result_report,8.583333333333334,81.5
resnet-101_result_report,8.666666666666666,44.5
resnet-101_result_report,8.75,44.5
resnet-101_result_report,8.833333333333334,44.4
resnet-101_result_report,8.916666666666666,45.3
resnet-101_result_report,9.0,44.4
resnet-101_result_report,9.083333333333334,44.5
resnet-101_result_report,9.166666666666666,44.7
resnet-101_result_report,9.25,44.4
resnet-101_result_report,9.333333333333334,44.4
resnet-101_result_report,9.416666666666666,44.7
resnet-101_result_report,9.5,44.7
resnet-101_result_report,9.583333333333334,44.4
resnet-101_result_report,9.666666666666666,44.5
resnet-101_result_report,9.75,44.6
resnet-101_result_report,9.833333333333334,44.4
resnet-101_result_report,9.916666666666666,44.4
resnet-101_result_report,10.0,45.4
resnet-101_result_report,10.083333333333334,44.5
resnet-101_result_report,10.166666666666666,47.8
resnet-101_result_report,10.25,44.5
resnet-101_result_report,10.333333333333334,45.4
resnet-101_result_report,10.416666666666666,44.4
resnet-101_result_report,10.5,44.4
resnet-101_result_report,10.583333333333334,44.5
resnet-101_result_report,10.666666666666666,44.3
resnet-101_result_report,10.75,44.4
resnet-101_result_report,10.833333333333334,44.4
resnet-101_result_report,10.916666666666666,44.7
resnet-101_result_report,11.0,44.4
resnet-101_result_report,11.083333333333334,44.6
resnet-101_result_report,11.166666666666666,44.4
resnet-101_result_report,11.25,44.4
resnet-101_result_report,11.333333333333334,44.6
resnet-101_result_report,11.416666666666666,44.6
resnet-101_result_report,11.5,44.6
resnet-101_result_report,11.583333333333334,44.9
resnet-101_result_report,11.666666666666666,44.6
resnet-101_result_report,11.75,44.5
resnet-101_result_report,11.833333333333334,44.8
resnet-101_result_report,11.916666666666666,44.5
resnet-101_result_report,12.0,44.5
resnet-101_result_report,12.083333333333334,44.4
resnet-101_result_report,12.166666666666666,44.3
resnet-101_result_report,12.25,44.4
resnet-101_result_report,12.333333333333334,45.1
resnet-101_result_report,12.416666666666666,44.5
resnet-101_result_report,12.5,44.4
resnet-101_result_report,12.583333333333334,46.4
resnet-101_result_report,12.666666666666666,44.4
resnet-101_result_report,12.75,44.5
resnet-101_result_report,12.833333333333334,44.5
resnet-101_result_report,12.916666666666666,44.4
resnet-101_result_report,13.0,44.5
resnet-101_result_report,13.083333333333334,44.4
resnet-101_result_report,13.166666666666666,44.5
resnet-101_result_report,13.25,45.3
resnet-101_result_report,13.333333333333334,44.5
resnet-101_result_report,13.416666666666666,44.4
resnet-101_result_report,13.5,44.8
resnet-101_result_report,13.583333333333334,44.6
resnet-101_result_report,13.666666666666666,44.4
resnet-101_result_report,13.75,44.5
resnet-101_result_report,13.833333333333334,44.7
resnet-101_result_report,13.916666666666666,44.7
resnet-101_result_report,14.0,44.5
resnet-101_result_report,14.083333333333334,45.0
resnet-101_result_report,14.166666666666666,44.5
resnet-101_result_report,14.25,44.5
resnet-101_result_report,14.333333333333334,44.4
resnet-101_result_report,14.416666666666666,44.4
resnet-101_result_report,14.5,44.7
resnet-101_result_report,14.583333333333334,45.0
resnet-101_result_report,14.666666666666666,44.7
resnet-101_result_report,14.75,44.4
resnet-101_result_report,14.833333333333334,44.7
resnet-101_result_report,14.916666666666666,44.7
resnet-101_result_report,15.0,45.2
resnet-101_result_report,15.083333333333334,44.4
resnet-101_result_report,15.166666666666666,44.8
resnet-101_result_report,15.25,44.4
resnet-101_result_report,15.333333333333334,44.5
resnet-101_result_report,15.416666666666666,44.7
