run,t_hours,round_s
resnet-101_sliceredirect_report,0.0,8.28
resnet-101_sliceredirect_report,0.016666666666666666,8.83
resnet-101_sliceredirect_report,0.03333333333333333,10.6
resnet-101_sliceredirect_report,0.05,8.28
resnet-101_sliceredirect_report,0.06666666666666667,8.68
resnet-101_sliceredirect_report,0.08333333333333333,9.33
resnet-101_sliceredirect_report,0.1,10.0
resnet-101_sliceredirect_report,0.11666666666666667,9.57
resnet-101_sliceredirect_report,0.13333333333333333,71.39999999999999
resnet-101_sliceredirect_report,0.15,91.8
resnet-101_sliceredirect_report,0.16666666666666666,64.80000000000001
resnet-101_sliceredirect_report,0.18333333333333332,8.66
resnet-101_sliceredirect_report,0.2,12.3
resnet-101_sliceredirect_report,0.21666666666666667,26.7
resnet-101_sliceredirect_report,0.23333333333333334,15.7
resnet-101_sliceredirect_report,0.25,7.94
resnet-101_sliceredirect_report,0.26666666666666666,9.0
resnet-101_sliceredirect_report,0.2833333333333333,10.1
resnet-101_sliceredirect_report,0.3,9.67
resnet-101_sliceredirect_report,0.31666666666666665,10.6
resnet-101_sliceredirect_report,0.3333333333333333,9.62
resnet-101_sliceredirect_report,0.35,7.76
resnet-101_sliceredirect_report,0.36666666666666664,7.43
resnet-101_sliceredirect_report,0.38333333333333336,12.8
resnet-101_sliceredirect_report,0.4,8.63
resnet-101_sliceredirect_report,0.4166666666666667,9.37
resnet-101_sliceredirect_report,0.43333333333333335,10.6
resnet-101_sliceredirect_report,0.45,8.42
resnet-101_sliceredirect_report,0.4666666666666667,8.02
resnet-101_sliceredirect_report,0.48333333333333334,11.3
resnet-101_sliceredirect_report,0.5,9.74
resnet-101_sliceredirect_report,0.5166666666666667,10.2
resnet-101_sliceredirect_report,0.5333333333333333,9.26
resnet-101_sliceredirect_report,0.55,10.1
resnet-101_sliceredirect_report,0.5666666666666667,31.5
resnet-101_sliceredirect_report,0.5833333333333334,57.4
resnet-101_sliceredirect_report,0.6,23.7
resnet-101_sliceredirect_report,0.6166666666666667,7.85
resnet-101_sliceredirect_report,0.6333333333333333,9.64
resnet-101_sliceredirect_report,0.65,11.9
resnet-101_sliceredirect_report,0.6666666666666666,12.9
resnet-101_sliceredirect_report,0.6833333333333333,7.88
resnet-101_sliceredirect_report,0.7,10.0
resnet-101_sliceredirect_report,0.7166666666666667,8.25
resnet-101_sliceredirect_report,0.7333333333333333,7.63
resnet-101_sliceredirect_report,0.75,8.2
resnet-101_sliceredirect_report,0.7666666666666667,10.8
resnet-101_sliceredirect_report,0.7833333333333333,11.5
resnet-101_sliceredirect_report,0.8,7.53
resnet-101_sliceredirect_report,0.8166666666666667,10.8
resnet-101_sliceredirect_report,0.8333333333333334,8.45
resnet-101_sliceredirect_report,0.85,7.65
resnet-101_sliceredirect_report,0.8666666666666667,8.8
resnet-101_sliceredirect_report,0.8833333333333333,9.4
resnet-101_sliceredirect_report,0.9,7.52
resnet-101_sliceredirect_report,0.9166666666666666,8.36
resnet-101_sliceredirect_report,0.9333333333333333,22.1
resnet-101_sliceredirect_report,0.95,22.1
resnet-101_sliceredirect_report,0.9666666666666667,8.53
resnet-101_sliceredirect_report,0.9833333333333333,8.67
resnet-101_sliceredirect_report,1.0,9.41
resnet-101_sliceredirect_report,1.0166666666666666,9.51
resnet-101_sliceredirect_report,1.0333333333333334,8.07
resnet-101_sliceredirect_report,1.05,10.4
resnet-101_sliceredirect_report,1.0666666666666667,9.26
resnet-101_sliceredirect_report,1.0833333333333333,7.67
resnet-101_sliceredirect_report,1.1,8.56
resnet-101_sliceredirect_report,1.1166666666666667,9.9
resnet-101_sliceredirect_report,1.1333333333333333,7.3
resnet-101_sliceredirect_report,1.15,10.3
resnet-101_sliceredirect_report,1.1666666666666667,8.32
