run,t_hours,redirects
resnet-50_result_report,0.0,35.0
resnet-50_result_report,0.08333333333333333,35.0
resnet-50_result_report,0.16666666666666666,35.0
resnet-50_result_report,0.25,35.0
resnet-50_result_report,1.1666666666666667,32.0
resnet-50_result_report,1.25,83.0
resnet-50_result_report,1.3333333333333333,176.0
resnet-50_result_report,1.4166666666666667,349.0
resnet-50_result_report,1.5,496.0
resnet-50_result_report,1.5833333333333333,561.0
resnet-50_result_report,1.6666666666666667,561.0
resnet-50_result_report,1.75,596.0
resnet-50_result_report,1.8333333333333333,665.0
resnet-50_result_report,1.9166666666666667,789.0
resnet-50_result_report,2.0,833.0
resnet-50_result_report,2.0833333333333335,833.0
resnet-50_result_report,2.1666666666666665,820.0
resnet-50_result_report,2.25,857.0
resnet-50_result_report,2.3333333333333335,842.0
resnet-50_result_report,2.4166666666666665,669.0
resnet-50_result_report,2.5,522.0
resnet-50_result_report,2.5833333333333335,504.0
resnet-50_result_report,2.6666666666666665,565.0
resnet-50_result_report,2.75,530.0
resnet-50_result_report,2.8333333333333335,489.0
resnet-50_result_report,2.9166666666666665,412.0
resnet-50_result_report,3.0,446.0
resnet-50_result_report,3.0833333333333335,471.0
resnet-50_result_report,3.1666666666666665,452.0
resnet-50_result_report,3.25,388.0
resnet-50_result_report,3.3333333333333335,380.0
resnet-50_result_report,3.4166666666666665,382.0
resnet-50_result_report,3.5,382.0
resnet-50_result_report,3.5833333333333335,335.0
resnet-50_result_report,3.6666666666666665,274.0
resnet-50_result_report,3.75,274.0
resnet-50_result_report,3.8333333333333335,246.0
resnet-50_result_report,3.9166666666666665,199.0
resnet-50_result_report,4.0,121.0
resnet-50_result_report,4.083333333333333,96.0
resnet-50_result_report,4.166666666666667,96.0
resnet-50_result_report,4.25,72.0
resnet-50_result_report,4.333333333333333,2.0
resnet-50_result_report,4.583333333333333,431.0
resnet-50_result_report,4.666666666666667,431.0
resnet-50_result_report,4.75,431.0
resnet-50_result_report,4.833333333333333,659.0
resnet-50_result_report,4.916666666666667,1110.0
resnet-50_result_report,5.0,1210.0
resnet-50_result_report,5.083333333333333,1210.0
resnet-50_result_report,5.166666666666667,1210.0
resnet-50_result_report,5.25,1330.0
resnet-50_result_report,5.333333333333333,1330.0
resnet-50_result_report,5.416666666666667,1330.0
resnet-50_result_report,5.5,1330.0
resnet-50_result_report,5.583333333333333,946.0
resnet-50_result_report,5.666666666666667,946.0
resnet-50_result_report,5.75,946.0
resnet-50_result_report,5.833333333333333,742.0
resnet-50_result_report,5.916666666666667,305.0
resnet-50_result_report,6.0,260.0
resnet-50_result_report,6.083333333333333,309.0
resnet-50_result_report,6.166666666666667,352.0
resnet-50_result_report,6.25,364.0
resnet-50_result_report,6.333333333333333,404.0
resnet-50_result_report,6.416666666666667,449.0
resnet-50_result_report,6.5,485.0
resnet-50_result_report,6.583333333333333,491.0
resnet-50_result_report,6.666666666666667,534.0
resnet-50_result_report,6.75,585.0
resnet-50_result_report,6.833333333333333,761.0
resnet-50_result_report,6.916666666666667,773.0
resnet-50_result_report,7.0,716.0
resnet-50_result_report,7.083333333333333,695.0
resnet-50_result_report,7.166666666666667,686.0
resnet-50_result_report,7.25,610.0
resnet-50_result_report,7.333333333333333,660.0
resnet-50_result_report,7.416666666666667,615.0
resnet-50_result_report,7.5,586.0
resnet-50_result_report,7.583333333333333,580.0
resnet-50_result_report,7.666666666666667,585.0
resnet-50_result_report,7.75,567.0
resnet-50_result_report,7.833333333333333,413.0
resnet-50_result_report,7.916666666666667,512.0
resnet-50_result_report,8.0,512.0
resnet-50_result_report,8.083333333333334,484.0
resnet-50_result_report,8.166666666666666,501.0
resnet-50_result_report,8.25,507.0
resnet-50_result_report,8.333333333333334,476.0
resnet-50_result_report,8.416666666666666,476.0
resnet-50_result_report,8.5,486.0
resnet-50_result_report,8.583333333333334,487.0
resnet-50_result_report,8.666666666666666,489.0
resnet-50_result_report,8.75,456.0
resnet-50_result_report,8.833333333333334,424.0
resnet-50_result_report,8.916666666666666,334.0
resnet-50_result_report,9.0,334.0
resnet-50_result_report,9.083333333333334,334.0
resnet-50_result_report,9.166666666666666,335.0
resnet-50_result_report,9.25,354.0
resnet-50_result_report,9.333333333333334,301.0
resnet-50_result_report,9.416666666666666,301.0
resnet-50_result_report,9.5,308.0
resnet-50_result_report,9.583333333333334,271.0
resnet-50_result_report,9.666666666666666,221.0
resnet-50_result_report,9.75,249.0
resnet-50_result_report,9.833333333333334,261.0
resnet-50_result_report,9.916666666666666,225.0
resnet-50_result_report,10.0,230.0
resnet-50_result_report,10.083333333333334,265.0
resnet-50_result_report,10.166666666666666,213.0
resnet-50_result_report,10.25,133.0
resnet-50_result_report,10.333333333333334,140.0
resnet-50_result_report,10.416666666666666,140.0
resnet-50_result_report,10.5,155.0
resnet-50_result_report,10.583333333333334,146.0
resnet-50_result_report,10.666666666666666,146.0
resnet-50_result_report,10.75,149.0
resnet-50_result_report,10.833333333333334,123.0
resnet-50_result_report,10.916666666666666,148.0
resnet-50_result_report,11.0,143.0
resnet-50_result_report,11.083333333333334,108.0
resnet-50_result_report,11.166666666666666,129.0
resnet-50_result_report,11.25,129.0
resnet-50_result_report,11.333333333333334,134.0
resnet-50_result_report,11.416666666666666,134.0
resnet-50_result_report,11.5,95.0
resnet-50_result_report,11.583333333333334,114.0
resnet-50_result_report,11.666666666666666,114.0
resnet-50_result_report,11.75,92.0
resnet-50_result_report,11.833333333333334,112.0
resnet-50_result_report,11.916666666666666,87.0
resnet-50_result_report,12.0,166.0
resnet-50_result_report,12.083333333333334,166.0
resnet-50_result_report,12.166666666666666,145.0
resnet-50_result_report,12.25,192.0
resnet-50_result_report,12.333333333333334,174.0
resnet-50_result_report,12.416666666666666,203.0
resnet-50_result_report,12.5,203.0
resnet-50_result_report,12.583333333333334,184.0
resnet-50_result_report,12.666666666666666,217.0
resnet-50_result_report,12.75,208.0
resnet-50_result_report,12.833333333333334,232.0
resnet-50_result_report,12.916666666666666,232.0
resnet-50_result_report,13.0,153.0
resnet-50_result_report,13.083333333333334,205.0
resnet-50_result_report,13.166666666666666,205.0
resnet-50_result_report,13.25,185.0
resnet-50_result_report,13.333333333333334,185.0
resnet-50_result_report,13.416666666666666,156.0
resnet-50_result_report,13.5,176.0
resnet-50_result_report,13.583333333333334,176.0
resnet-50_result_report,13.666666666666666,151.0
resnet-50_result_report,13.75,161.0
resnet-50_result_report,13.833333333333334,117.0
resnet-50_result_report,13.916666666666666,136.0
resnet-50_result_report,14.0,136.0
resnet-50_result_report,14.083333333333334,93.0
resnet-50_result_report,14.166666666666666,93.0
resnet-50_result_report,14.25,66.0
resnet-50_result_report,14.333333333333334,73.0
resnet-50_result_report,14.416666666666666,73.0
resnet-50_result_report,14.5,53.0
resnet-50_result_report,14.583333333333334,135.0
resnet-50_result_report,14.666666666666666,127.0
resnet-50_result_report,14.75,233.0
resnet-50_result_report,14.833333333333334,256.0
resnet-50_result_report,14.916666666666666,237.0
resnet-50_result_report,15.0,316.0
resnet-50_result_report,15.083333333333334,308.0
resnet-50_result_report,15.166666666666666,308.0
resnet-50_result_report,15.25,334.0
resnet-50_result_report,15.333333333333334,327.0
resnet-50_result_report,15.416666666666666,437.0
resnet-50_result_report,15.5,439.0
resnet-50_result_report,15.583333333333334,357.0
resnet-50_result_report,15.666666666666666,423.0
resnet-50_result_report,15.75,307.0
resnet-50_result_report,15.833333333333334,349.0
resnet-50_result_report,15.916666666666666,349.0
resnet-50_result_report,16.0,270.0
resnet-50_result_report,16.083333333333332,276.0
resnet-50_result_report,16.166666666666668,276.0
resnet-50_result_report,16.25,252.0
resnet-50_result_report,16.333333333333332,252.0
resnet-50_result_report,16.416666666666668,142.0
resnet-50_result_report,16.5,182.0
resnet-50_result_report,16.583333333333332,182.0
resnet-50_result_report,16.666666666666668,138.0
resnet-50_result_report,16.75,138.0
resnet-50_result_report,16.833333333333332,73.0
resnet-50_result_report,16.916666666666668,86.0
resnet-50_result_report,17.0,86.0
resnet-50_result_report,17.083333333333332,79.0
resnet-50_result_report,17.166666666666668,108.0
resnet-50_result_report,17.25,106.0
resnet-50_result_report,17.333333333333332,106.0
resnet-50_result_report,17.416666666666668,126.0
resnet-50_result_report,17.5,84.0
resnet-50_result_report,17.583333333333332,84.0
resnet-50_result_report,17.666666666666668,112.0
resnet-50_result_report,17.75,112.0
resnet-50_result_report,17.833333333333332,112.0
resnet-50_result_report,17.916666666666668,136.0
resnet-50_result_report,18.0,136.0
resnet-50_result_report,18.083333333333332,136.0
resnet-50_result_report,18.166666666666668,107.0
resnet-50_result_report,18.25,158.0
resnet-50_result_report,18.333333333333332,158.0
resnet-50_result_report,18.416666666666668,138.0
resnet-50_result_report,18.5,195.0
resnet-50_result_report,18.583333333333332,195.0
resnet-50_result_report,18.666666666666668,145.0
resnet-50_result_report,18.75,253.0
resnet-50_result_report,18.833333333333332,253.0
resnet-50_result_report,18.916666666666668,216.0
resnet-50_result_report,19.0,292.0
resnet-50_result_report,19.083333333333332,292.0
resnet-50_result_report,19.166666666666668,292.0
resnet-50_result_report,19.25,241.0
resnet-50_result_report,19.333333333333332,245.0
resnet-50_result_report,19.416666666666668,245.0
resnet-50_result_report,19.5,188.0
resnet-50_result_report,19.583333333333332,208.0
resnet-50_result_report,19.666666666666668,208.0
resnet-50_result_report,19.75,100.0
resnet-50_result_report,19.833333333333332,110.0
resnet-50_result_report,19.916666666666668,110.0
resnet-50_result_report,20.0,34.0
resnet-50_result_report,20.083333333333332,84.0
resnet-50_result_report,20.166666666666668,84.0
resnet-50_result_report,20.25,84.0
resnet-50_result_report,20.333333333333332,107.0
resnet-50_result_report,20.416666666666668,107.0
resnet-50_result_report,20.5,107.0
resnet-50_result_report,20.583333333333332,87.0
resnet-50_result_report,20.666666666666668,106.0
resnet-50_result_report,20.75,106.0
resnet-50_result_report,20.833333333333332,96.0
resnet-50_result_report,20.916666666666668,138.0
resnet-50_result_report,21.0,138.0
resnet-50_result_report,21.083333333333332,88.0
resnet-50_result_report,21.166666666666668,88.0
resnet-50_result_report,21.25,171.0
resnet-50_result_report,21.333333333333332,144.0
resnet-50_result_report,21.416666666666668,144.0
resnet-50_result_report,21.5,144.0
resnet-50_result_report,21.583333333333332,144.0
resnet-50_result_report,21.666666666666668,194.0
resnet-50_result_report,21.75,194.0
resnet-50_result_report,21.833333333333332,315.0
resnet-50_result_report,21.916666666666668,300.0
resnet-50_result_report,22.0,300.0
resnet-50_result_report,22.083333333333332,300.0
resnet-50_result_report,22.166666666666668,348.0
resnet-50_result_report,22.25,265.0
resnet-50_result_report,22.333333333333332,265.0
resnet-50_result_report,22.416666666666668,344.0
resnet-50_result_report,22.5,344.0
resnet-50_result_report,22.583333333333332,344.0
resnet-50_result_report,22.666666666666668,367.0
resnet-50_result_report,22.75,367.0
resnet-50_result_report,22.833333333333332,257.0
resnet-50_result_report,22.916666666666668,230.0
resnet-50_result_report,23.0,230.0
resnet-50_result_report,23.083333333333332,269.0
resnet-50_result_report,23.166666666666668,221.0
resnet-50_result_report,23.25,221.0
resnet-50_result_report,23.333333333333332,275.0
resnet-50_result_report,23.416666666666668,196.0
resnet-50_result_report,23.5,196.0
resnet-50_result_report,23.583333333333332,196.0
resnet-50_result_report,23.666666666666668,157.0
resnet-50_result_report,23.75,157.0
resnet-50_result_report,23.833333333333332,146.0
resnet-50_result_report,23.916666666666668,170.0
resnet-50_result_report,24.0,170.0
resnet-50_result_report,24.083333333333332,131.0
resnet-50_result_report,24.166666666666668,149.0
resnet-50_result_report,24.25,149.0
resnet-50_result_report,24.333333333333332,95.0
resnet-50_result_report,24.416666666666668,142.0
resnet-50_result_report,24.5,142.0
resnet-50_result_report,24.583333333333332,142.0
resnet-50_result_report,24.666666666666668,116.0
resnet-50_result_report,24.75,116.0
resnet-50_result_report,24.833333333333332,116.0
resnet-50_result_report,24.916666666666668,92.0
resnet-50_result_report,25.0,131.0
resnet-50_result_report,25.083333333333332,131.0
resnet-50_result_report,25.166666666666668,113.0
resnet-50_result_report,25.25,185.0
resnet-50_result_report,25.333333333333332,185.0
resnet-50_result_report,25.416666666666668,138.0
resnet-50_result_report,25.5,197.0
resnet-50_result_report,25.583333333333332,197.0
resnet-50_result_report,25.666666666666668,170.0
resnet-50_result_report,25.75,275.0
resnet-50_result_report,25.833333333333332,275.0
resnet-50_result_report,25.916666666666668,275.0
resnet-50_result_report,26.0,251.0
resnet-50_result_report,26.083333333333332,266.0
resnet-50_result_report,26.166666666666668,266.0
resnet-50_result_report,26.25,194.0
resnet-50_result_report,26.333333333333332,270.0
resnet-50_result_report,26.416666666666668,270.0
resnet-50_result_report,26.5,211.0
resnet-50_result_report,26.583333333333332,226.0
resnet-50_result_report,26.666666666666668,226.0
resnet-50_result_report,26.75,121.0
resnet-50_result_report,26.833333333333332,131.0
resnet-50_result_report,26.916666666666668,131.0
resnet-50_result_report,27.0,116.0
resnet-50_result_report,27.083333333333332,110.0
resnet-50_result_report,27.166666666666668,110.0
resnet-50_result_report,27.25,110.0
resnet-50_result_report,27.333333333333332,56.0
resnet-50_result_report,27.416666666666668,56.0
resnet-50_result_report,27.5,56.0
resnet-50_result_report,27.583333333333332,41.0
resnet-50_result_report,27.666666666666668,91.0
resnet-50_result_report,27.75,91.0
resnet-50_result_report,27.833333333333332,81.0
resnet-50_result_report,27.916666666666668,93.0
resnet-50_result_report,28.0,93.0
