run,t_hours,round_s
resnet-50_woker_offline_report,0.0,6.51
resnet-50_woker_offline_report,0.016666666666666666,29.4
resnet-50_woker_offline_report,0.03333333333333333,11.4
resnet-50_woker_offline_report,0.05,15.3
resnet-50_woker_offline_report,0.06666666666666667,26.6
resnet-50_woker_offline_report,0.08333333333333333,27.9
resnet-50_woker_offline_report,0.1,25.0
resnet-50_woker_offline_report,0.11666666666666667,19.8
resnet-50_woker_offline_report,0.13333333333333333,10.2
resnet-50_woker_offline_report,0.15,21.8
resnet-50_woker_offline_report,0.16666666666666666,9.91
resnet-50_woker_offline_report,0.18333333333333332,19.2
resnet-50_woker_offline_report,0.2,55.0
resnet-50_woker_offline_report,0.21666666666666667,11.2
resnet-50_woker_offline_report,0.23333333333333334,51.7
resnet-50_woker_offline_report,0.25,17.2
resnet-50_woker_offline_report,0.26666666666666666,8.68
resnet-50_woker_offline_report,0.2833333333333333,5.61
resnet-50_woker_offline_report,0.3,6.3
resnet-50_woker_offline_report,0.31666666666666665,5.72
resnet-50_woker_offline_report,0.3333333333333333,6.38
resnet-50_woker_offline_report,0.35,5.61
resnet-50_woker_offline_report,0.36666666666666664,6.36
resnet-50_woker_offline_report,0.38333333333333336,6.54
resnet-50_woker_offline_report,0.4,6.55
resnet-50_woker_offline_report,0.4166666666666667,5.6
resnet-50_woker_offline_report,0.43333333333333335,5.59
resnet-50_woker_offline_report,0.45,17.0
resnet-50_woker_offline_report,0.4666666666666667,21.0
resnet-50_woker_offline_report,0.48333333333333334,26.9
resnet-50_woker_offline_report,0.5,13.7
resnet-50_woker_offline_report,0.5166666666666667,37.6
resnet-50_woker_offline_report,0.5333333333333333,5.55
resnet-50_woker_offline_report,0.55,7.03
resnet-50_woker_offline_report,0.5666666666666667,7.45
resnet-50_woker_offline_report,0.5833333333333334,9.64
resnet-50_woker_offline_report,0.6,5.96
resnet-50_woker_offline_report,0.6166666666666667,35.3
resnet-50_woker_offline_report,0.6333333333333333,16.2
resnet-50_woker_offline_report,0.65,41.5
resnet-50_woker_offline_report,0.6666666666666666,16.0
resnet-50_woker_offline_report,0.6833333333333333,6.57
resnet-50_woker_offline_report,0.7,5.54
resnet-50_woker_offline_report,0.7166666666666667,7.42
resnet-50_woker_offline_report,0.7333333333333333,5.56
resnet-50_woker_offline_report,0.75,6.21
resnet-50_woker_offline_report,0.7666666666666667,5.75
resnet-50_woker_offline_report,0.7833333333333333,6.55
resnet-50_woker_offline_report,0.8,8.14
resnet-50_woker_offline_report,0.8166666666666667,6.46
resnet-50_woker_offline_report,0.8333333333333334,6.28
resnet-50_woker_offline_report,0.85,6.41
resnet-50_woker_offline_report,0.8666666666666667,6.53
resnet-50_woker_offline_report,0.8833333333333333,42.8
resnet-50_woker_offline_report,0.9,12.3
resnet-50_woker_offline_report,0.9166666666666666,11.1
resnet-50_woker_offline_report,0.9333333333333333,8.82
resnet-50_woker_offline_report,0.95,45.7
resnet-50_woker_offline_report,0.9666666666666667,12.2
resnet-50_woker_offline_report,0.9833333333333333,36.3
resnet-50_woker_offline_report,1.0,22.5
resnet-50_woker_offline_report,1.0166666666666666,23.6
resnet-50_woker_offline_report,1.0333333333333334,5.75
resnet-50_woker_offline_report,1.05,5.93
resnet-50_woker_offline_report,1.0666666666666667,7.48
resnet-50_woker_offline_report,1.0833333333333333,5.89
resnet-50_woker_offline_report,1.1,8.84
resnet-50_woker_offline_report,1.1166666666666667,6.11
resnet-50_woker_offline_report,1.1333333333333333,6.24
resnet-50_woker_offline_report,1.15,5.51
resnet-50_woker_offline_report,1.1666666666666667,5.47
resnet-50_woker_offline_report,1.1833333333333333,5.48
resnet-50_woker_offline_report,1.2,5.74
resnet-50_woker_offline_report,1.2166666666666666,6.63
resnet-50_woker_offline_report,1.2333333333333334,6.3
resnet-50_woker_offline_report,1.25,21.0
resnet-50_woker_offline_report,1.2666666666666666,46.9
resnet-50_woker_offline_report,1.2833333333333334,9.19
resnet-50_woker_offline_report,1.3,43.6
resnet-50_woker_offline_report,1.3166666666666667,20.4
resnet-50_woker_offline_report,1.3333333333333333,20.5
resnet-50_woker_offline_report,1.35,5.65
resnet-50_woker_offline_report,1.3666666666666667,6.19
resnet-50_woker_offline_report,1.3833333333333333,5.96
resnet-50_woker_offline_report,1.4,6.39
resnet-50_woker_offline_report,1.4166666666666667,6.0
resnet-50_woker_offline_report,1.4333333333333333,5.78
resnet-50_woker_offline_report,1.45,5.51
resnet-50_woker_offline_report,1.4666666666666666,6.27
resnet-50_woker_offline_report,1.4833333333333334,12.1
resnet-50_woker_offline_report,1.5,7.7
resnet-50_woker_offline_report,1.5166666666666666,5.47
resnet-50_woker_offline_report,1.5333333333333334,25.8
resnet-50_woker_offline_report,1.55,25.8
resnet-50_woker_offline_report,1.5666666666666667,43.4
resnet-50_woker_offline_report,1.5833333333333333,19.5
resnet-50_woker_offline_report,1.6,7.23
resnet-50_woker_offline_report,1.6166666666666667,48.6
resnet-50_woker_offline_report,1.6333333333333333,45.1
resnet-50_woker_offline_report,1.65,42.0
resnet-50_woker_offline_report,1.6666666666666667,11.9
resnet-50_woker_offline_report,1.6833333333333333,41.0
resnet-50_woker_offline_report,1.7,40.6
resnet-50_woker_offline_report,1.7166666666666666,5.64
resnet-50_woker_offline_report,1.7333333333333334,11.4
resnet-50_woker_offline_report,1.75,6.76
resnet-50_woker_offline_report,1.7666666666666666,6.49
resnet-50_woker_offline_report,1.7833333333333334,5.68
resnet-50_woker_offline_report,1.8,6.7
resnet-50_woker_offline_report,1.8166666666666667,5.86
resnet-50_woker_offline_report,1.8333333333333333,6.86
resnet-50_woker_offline_report,1.85,5.76
resnet-50_woker_offline_report,1.8666666666666667,6.64
resnet-50_woker_offline_report,1.8833333333333333,6.04
resnet-50_woker_offline_report,1.9,5.34
resnet-50_woker_offline_report,1.9166666666666667,5.41
resnet-50_woker_offline_report,1.9333333333333333,6.67
resnet-50_woker_offline_report,1.95,38.6
resnet-50_woker_offline_report,1.9666666666666666,7.21
resnet-50_woker_offline_report,1.9833333333333334,17.0
resnet-50_woker_offline_report,2.0,10.1
resnet-50_woker_offline_report,2.0166666666666666,10.1
resnet-50_woker_offline_report,2.033333333333333,25.9
resnet-50_woker_offline_report,2.05,16.3
resnet-50_woker_offline_report,2.066666666666667,11.7
resnet-50_woker_offline_report,2.0833333333333335,6.88
resnet-50_woker_offline_report,2.1,5.79
resnet-50_woker_offline_report,2.1166666666666667,9.54
resnet-50_woker_offline_report,2.1333333333333333,5.58
resnet-50_woker_offline_report,2.15,6.23
resnet-50_woker_offline_report,2.1666666666666665,5.65
resnet-50_woker_offline_report,2.183333333333333,9.26
resnet-50_woker_offline_report,2.2,7.32
resnet-50_woker_offline_report,2.216666666666667,7.32
resnet-50_woker_offline_report,2.2333333333333334,36.6
resnet-50_woker_offline_report,2.25,36.8
resnet-50_woker_offline_report,2.2666666666666666,36.8
resnet-50_woker_offline_report,2.283333333333333,36.8
resnet-50_woker_offline_report,2.3,65.4
resnet-50_woker_offline_report,2.316666666666667,11.3
resnet-50_woker_offline_report,2.3333333333333335,11.3
resnet-50_woker_offline_report,2.35,11.3
resnet-50_woker_offline_report,2.3666666666666667,11.3
resnet-50_woker_offline_report,2.3833333333333333,72.6
resnet-50_woker_offline_report,2.4,72.6
resnet-50_woker_offline_report,2.4166666666666665,72.6
resnet-50_woker_offline_report,2.433333333333333,72.6
resnet-50_woker_offline_report,2.45,72.6
resnet-50_woker_offline_report,2.466666666666667,72.6
resnet-50_woker_offline_report,2.4833333333333334,72.6
resnet-50_woker_offline_report,2.5,72.6
resnet-50_woker_offline_report,2.5166666666666666,72.6
resnet-50_woker_offline_report,2.533333333333333,72.6
resnet-50_woker_offline_report,2.55,72.0
resnet-50_woker_offline_report,2.566666666666667,72.0
resnet-50_woker_offline_report,2.5833333333333335,72.0
resnet-50_woker_offline_report,2.6,51.8
resnet-50_woker_offline_report,2.6166666666666667,51.8
resnet-50_woker_offline_report,2.6333333333333333,51.8
resnet-50_woker_offline_report,2.65,51.8
resnet-50_woker_offline_report,2.6666666666666665,64.2
resnet-50_woker_offline_report,2.683333333333333,64.2
resnet-50_woker_offline_report,2.7,64.2
resnet-50_woker_offline_report,2.716666666666667,64.2
resnet-50_woker_offline_report,2.7333333333333334,72.0
resnet-50_woker_offline_report,2.75,72.0
resnet-50_woker_offline_report,2.7666666666666666,72.0
resnet-50_woker_offline_report,2.783333333333333,72.0
resnet-50_woker_offline_report,2.8,72.0
resnet-50_woker_offline_report,2.816666666666667,72.0
resnet-50_woker_offline_report,2.8333333333333335,72.0
resnet-50_woker_offline_report,2.85,72.0
resnet-50_woker_offline_report,2.8666666666666667,72.0
