run,t_hours,in_mb,out_mb,sum_mb
resnet_50_145ac6a_report,0.0,0.0,0.0,0.0
resnet_50_145ac6a_report,0.16666666666666666,29696.0,1208.3199999999997,31744.0
resnet_50_145ac6a_report,0.3333333333333333,57344.0,2723.8399999999992,61440.0
resnet_50_145ac6a_report,0.5,84992.0,4198.400000000001,90112.0
resnet_50_145ac6a_report,0.6666666666666666,114688.0,5836.8,120832.0
resnet_50_145ac6a_report,0.8333333333333334,148480.0,7577.599999999999,156672.0
resnet_50_145ac6a_report,1.0,175104.0,9216.0,185344.0
resnet_50_145ac6a_report,1.1666666666666667,203776.0,10752.0,216064.0
resnet_50_145ac6a_report,1.3333333333333333,232448.0,12390.400000000001,245760.0
resnet_50_145ac6a_report,1.5,259072.0,13721.600000000002,273408.0
resnet_50_145ac6a_report,1.6666666666666667,288768.0,15462.400000000001,305152.0
resnet_50_145ac6a_report,1.8333333333333333,320512.0,17203.2,337920.0
resnet_50_145ac6a_report,2.0,350208.0,18739.2,369664.0
resnet_50_145ac6a_report,2.1666666666666665,378880.0,20480.0,400384.0
resnet_50_145ac6a_report,2.3333333333333335,386048.0,25804.8,411648.0
resnet_50_145ac6a_report,2.5,390144.0,28876.8,419840.0
resnet_50_145ac6a_report,2.6666666666666665,393216.0,30515.2,424960.0
resnet_50_145ac6a_report,2.8333333333333335,397312.0,31948.8,430080.0
resnet_50_145ac6a_report,3.0,401408.0,33689.600000000006,435200.0
resnet_50_145ac6a_report,3.1666666666666665,404480.0,35123.200000000004,440320.0
resnet_50_145ac6a_report,3.3333333333333335,408576.0,36556.8,445440.0
resnet_50_145ac6a_report,3.5,411648.0,38195.200000000004,450560.0
resnet_50_145ac6a_report,3.6666666666666665,415744.0,39833.600000000006,456704.0
resnet_50_145ac6a_report,3.8333333333333335,420864.0,44339.200000000004,465920.0
resnet_50_145ac6a_report,4.0,425984.0,49766.4,477184.0
resnet_50_145ac6a_report,4.166666666666667,431104.0,53452.8,485376.0
resnet_50_145ac6a_report,4.333333333333333,435200.0,55091.200000000004,490496.0
resnet_50_145ac6a_report,4.5,438272.0,56729.600000000006,495616.0
resnet_50_145ac6a_report,4.666666666666667,442368.0,58265.600000000006,500736.0
resnet_50_145ac6a_report,4.833333333333333,445440.0,59699.200000000004,505856.0
resnet_50_145ac6a_report,5.0,449536.0,63385.6,514048.0
resnet_50_145ac6a_report,5.166666666666667,454656.0,68300.80000000002,523264.0
resnet_50_145ac6a_report,5.333333333333333,459776.0,73523.20000000001,534528.0
resnet_50_145ac6a_report,5.5,463872.0,76185.6,540672.0
