run,t_hours,rounds
wav2vec2_4ba6b0ef_other_reports,0.0,2.0
wav2vec2_4ba6b0ef_other_reports,0.016666666666666666,3.0
wav2vec2_4ba6b0ef_other_reports,0.03333333333333333,4.0
wav2vec2_4ba6b0ef_other_reports,0.05,6.0
wav2vec2_4ba6b0ef_other_reports,0.06666666666666667,7.0
wav2vec2_4ba6b0ef_other_reports,0.08333333333333333,8.0
wav2vec2_4ba6b0ef_other_reports,0.1,9.0
wav2vec2_4ba6b0ef_other_reports,0.11666666666666667,10.0
wav2vec2_4ba6b0ef_other_reports,0.13333333333333333,10.0
wav2vec2_4ba6b0ef_other_reports,0.15,12.0
wav2vec2_4ba6b0ef_other_reports,0.16666666666666666,12.0
wav2vec2_4ba6b0ef_other_reports,0.18333333333333332,13.0
wav2vec2_4ba6b0ef_other_reports,0.2,15.0
wav2vec2_4ba6b0ef_other_reports,0.21666666666666667,16.0
wav2vec2_4ba6b0ef_other_reports,0.23333333333333334,18.0
wav2vec2_4ba6b0ef_other_reports,0.25,19.0
wav2vec2_4ba6b0ef_other_reports,0.26666666666666666,21.0
wav2vec2_4ba6b0ef_other_reports,0.2833333333333333,22.0
wav2vec2_4ba6b0ef_other_reports,0.3,24.0
wav2vec2_4ba6b0ef_other_reports,0.31666666666666665,26.0
wav2vec2_4ba6b0ef_other_reports,0.3333333333333333,27.0
wav2vec2_4ba6b0ef_other_reports,0.35,29.0
wav2vec2_4ba6b0ef_other_reports,0.36666666666666664,31.0
wav2vec2_4ba6b0ef_other_reports,0.38333333333333336,33.0
wav2vec2_4ba6b0ef_other_reports,0.4,35.0
wav2vec2_4ba6b0ef_other_reports,0.4166666666666667,36.0
wav2vec2_4ba6b0ef_other_reports,0.43333333333333335,38.0
wav2vec2_4ba6b0ef_other_reports,0.45,40.0
wav2vec2_4ba6b0ef_other_reports,0.4666666666666667,42.0
wav2vec2_4ba6b0ef_other_reports,0.48333333333333334,44.0
wav2vec2_4ba6b0ef_other_reports,0.5,46.0
wav2vec2_4ba6b0ef_other_reports,0.5166666666666667,47.0
wav2vec2_4ba6b0ef_other_reports,0.5333333333333333,48.0
wav2vec2_4ba6b0ef_other_reports,0.55,49.0
wav2vec2_4ba6b0ef_other_reports,0.5666666666666667,51.0
wav2vec2_4ba6b0ef_other_reports,0.5833333333333334,51.0
wav2vec2_4ba6b0ef_other_reports,0.6,52.0
wav2vec2_4ba6b0ef_other_reports,0.6166666666666667,54.0
wav2vec2_4ba6b0ef_other_reports,0.6333333333333333,55.0
wav2vec2_4ba6b0ef_other_reports,0.65,56.0
wav2vec2_4ba6b0ef_other_reports,0.6666666666666666,57.0
wav2vec2_4ba6b0ef_other_reports,0.6833333333333333,59.0
wav2vec2_4ba6b0ef_other_reports,0.7,61.0
wav2vec2_4ba6b0ef_other_reports,0.7166666666666667,62.0
wav2vec2_4ba6b0ef_other_reports,0.7333333333333333,64.0
wav2vec2_4ba6b0ef_other_reports,0.75,65.0
wav2vec2_4ba6b0ef_other_reports,0.7666666666666667,66.0
wav2vec2_4ba6b0ef_other_reports,0.7833333333333333,67.0
wav2vec2_4ba6b0ef_other_reports,0.8,69.0
wav2vec2_4ba6b0ef_other_reports,0.8166666666666667,71.0
wav2vec2_4ba6b0ef_other_reports,0.8333333333333334,73.0
wav2vec2_4ba6b0ef_other_reports,0.85,74.0
wav2vec2_4ba6b0ef_other_reports,0.8666666666666667,76.0
wav2vec2_4ba6b0ef_other_reports,0.8833333333333333,77.0
wav2vec2_4ba6b0ef_other_reports,0.9,79.0
wav2vec2_4ba6b0ef_other_reports,0.9166666666666666,81.0
wav2vec2_4ba6b0ef_other_reports,0.9333333333333333,83.0
wav2vec2_4ba6b0ef_other_reports,0.95,84.0
wav2vec2_4ba6b0ef_other_reports,0.9666666666666667,85.0
wav2vec2_4ba6b0ef_other_reports,0.9833333333333333,86.0
wav2vec2_4ba6b0ef_other_reports,1.0,86.0
wav2vec2_4ba6b0ef_other_reports,1.0166666666666666,87.0
