run,t_hours,rtt_ms
wav2vec2_4ba6b0ef_other_reports,0.0,61.5
wav2vec2_4ba6b0ef_other_reports,0.016666666666666666,61.6
wav2vec2_4ba6b0ef_other_reports,0.03333333333333333,61.5
wav2vec2_4ba6b0ef_other_reports,0.05,72.7
wav2vec2_4ba6b0ef_other_reports,0.06666666666666667,61.6
wav2vec2_4ba6b0ef_other_reports,0.08333333333333333,61.6
wav2vec2_4ba6b0ef_other_reports,0.1,142.0
wav2vec2_4ba6b0ef_other_reports,0.11666666666666667,131.0
wav2vec2_4ba6b0ef_other_reports,0.13333333333333333,61.5
wav2vec2_4ba6b0ef_other_reports,0.15,100.0
wav2vec2_4ba6b0ef_other_reports,0.16666666666666666,61.8
wav2vec2_4ba6b0ef_other_reports,0.18333333333333332,106.0
wav2vec2_4ba6b0ef_other_reports,0.2,61.4
wav2vec2_4ba6b0ef_other_reports,0.21666666666666667,61.5
wav2vec2_4ba6b0ef_other_reports,0.23333333333333334,77.9
wav2vec2_4ba6b0ef_other_reports,0.25,61.6
wav2vec2_4ba6b0ef_other_reports,0.26666666666666666,61.6
wav2vec2_4ba6b0ef_other_reports,0.2833333333333333,61.4
wav2vec2_4ba6b0ef_other_reports,0.3,61.4
wav2vec2_4ba6b0ef_other_reports,0.31666666666666665,61.4
wav2vec2_4ba6b0ef_other_reports,0.3333333333333333,61.8
wav2vec2_4ba6b0ef_other_reports,0.35,61.5
wav2vec2_4ba6b0ef_other_reports,0.36666666666666664,61.4
wav2vec2_4ba6b0ef_other_reports,0.38333333333333336,61.5
wav2vec2_4ba6b0ef_other_reports,0.4,61.5
wav2vec2_4ba6b0ef_other_reports,0.4166666666666667,62.6
wav2vec2_4ba6b0ef_other_reports,0.43333333333333335,61.5
wav2vec2_4ba6b0ef_other_reports,0.45,61.4
wav2vec2_4ba6b0ef_other_reports,0.4666666666666667,61.5
wav2vec2_4ba6b0ef_other_reports,0.48333333333333334,61.5
wav2vec2_4ba6b0ef_other_reports,0.5,61.6
wav2vec2_4ba6b0ef_other_reports,0.5166666666666667,61.5
