run,t_hours,in_mb,out_mb,sum_mb
wav2vec2_4ba6b0ef_other_reports,0.0,0.0,0.0,0.0
wav2vec2_4ba6b0ef_other_reports,0.016666666666666666,793.279296875,0.0,793.41
wav2vec2_4ba6b0ef_other_reports,0.03333333333333333,1760.559296875,0.09375,1759.69
wav2vec2_4ba6b0ef_other_reports,0.05,3491.119296875,755.2001953125,4258.25
wav2vec2_4ba6b0ef_other_reports,0.06666666666666667,4740.399296875,1545.4401953125,6285.7699999999995
wav2vec2_4ba6b0ef_other_reports,0.08333333333333333,5651.759296875,2323.6801953125,7975.37
wav2vec2_4ba6b0ef_other_reports,0.1,7535.919296875,3091.6801953125,10648.01
wav2vec2_4ba6b0ef_other_reports,0.11666666666666667,10095.919296875,3900.6401953125,14027.21
wav2vec2_4ba6b0ef_other_reports,0.13333333333333333,12082.479296875,5180.6401953125,17304.01
wav2vec2_4ba6b0ef_other_reports,0.15,13925.679296875,5805.2801953125,19659.21
wav2vec2_4ba6b0ef_other_reports,0.16666666666666666,15973.679296875,6962.4001953125,22936.01
wav2vec2_4ba6b0ef_other_reports,0.18333333333333332,17304.879296875,6962.4001953125,24267.21
wav2vec2_4ba6b0ef_other_reports,0.2,19148.079296875,7740.6401953125,26827.21
wav2vec2_4ba6b0ef_other_reports,0.21666666666666667,20274.479296875,8508.6401953125,28772.81
wav2vec2_4ba6b0ef_other_reports,0.23333333333333334,23141.679296875,9747.6801953125,32868.81
wav2vec2_4ba6b0ef_other_reports,0.25,24370.479296875,10054.8801953125,34507.21
wav2vec2_4ba6b0ef_other_reports,0.26666666666666666,26930.479296875,11263.2001953125,38193.60999999999
wav2vec2_4ba6b0ef_other_reports,0.2833333333333333,29183.279296875,12389.6001953125,41572.81
wav2vec2_4ba6b0ef_other_reports,0.3,32357.679296875,13618.4001953125,45976.009999999995
wav2vec2_4ba6b0ef_other_reports,0.31666666666666665,34815.279296875,14744.8001953125,49457.60999999999
wav2vec2_4ba6b0ef_other_reports,0.3333333333333333,37477.679296875,15461.6001953125,52939.21
wav2vec2_4ba6b0ef_other_reports,0.35,38911.279296875,16792.8001953125,55704.009999999995
wav2vec2_4ba6b0ef_other_reports,0.36666666666666664,40037.679296875,18226.4001953125,58264.009999999995
wav2vec2_4ba6b0ef_other_reports,0.38333333333333336,41368.879296875,19352.8001953125,60721.60999999999
wav2vec2_4ba6b0ef_other_reports,0.4,43007.279296875,20888.8001953125,63896.009999999995
wav2vec2_4ba6b0ef_other_reports,0.4166666666666667,44338.479296875,22117.6001953125,66456.01000000001
wav2vec2_4ba6b0ef_other_reports,0.43333333333333335,45464.879296875,23244.0001953125,68708.81
wav2vec2_4ba6b0ef_other_reports,0.45,46796.079296875,24780.0001953125,71576.01000000001
wav2vec2_4ba6b0ef_other_reports,0.4666666666666667,48332.079296875,26316.0001953125,74648.01000000001
wav2vec2_4ba6b0ef_other_reports,0.48333333333333334,49765.679296875,27852.0001953125,77617.61
wav2vec2_4ba6b0ef_other_reports,0.5,50892.079296875,29080.8001953125,79972.81
wav2vec2_4ba6b0ef_other_reports,0.5166666666666667,53656.879296875,30616.8001953125,84273.61
wav2vec2_4ba6b0ef_other_reports,0.5333333333333333,56524.079296875,32050.4001953125,88574.41
wav2vec2_4ba6b0ef_other_reports,0.55,58367.279296875,33688.8001953125,91953.61
wav2vec2_4ba6b0ef_other_reports,0.5666666666666667,60108.079296875,34815.2001953125,94923.21
wav2vec2_4ba6b0ef_other_reports,0.5833333333333334,61029.679296875,35634.4001953125,96766.41
wav2vec2_4ba6b0ef_other_reports,0.6,61848.879296875,37068.0001953125,98916.81
wav2vec2_4ba6b0ef_other_reports,0.6166666666666667,62872.879296875,37887.2001953125,100760.01000000001
wav2vec2_4ba6b0ef_other_reports,0.6333333333333333,63692.079296875,38706.4001953125,102398.41
wav2vec2_4ba6b0ef_other_reports,0.65,64408.879296875,39423.2001953125,103422.41
wav2vec2_4ba6b0ef_other_reports,0.6666666666666666,65228.079296875,40242.4001953125,105470.41
wav2vec2_4ba6b0ef_other_reports,0.6833333333333333,66559.279296875,41471.2001953125,107518.41
wav2vec2_4ba6b0ef_other_reports,0.7,67480.879296875,42495.2001953125,109566.41
wav2vec2_4ba6b0ef_other_reports,0.7166666666666667,68197.679296875,43109.6001953125,111614.41
