"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""big_gan_b00259e3""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""big_gan_b00259e3""}[4m0s])
)  * 8 "
2026-01-27 14:12:00,58.6 Mb/s
2026-01-27 14:14:00,26.4 Gb/s
2026-01-27 14:16:00,36.6 Gb/s
2026-01-27 14:18:00,36.7 Gb/s
2026-01-27 14:20:00,36.7 Gb/s
2026-01-27 14:22:00,36.8 Gb/s
2026-01-27 14:24:00,36.8 Gb/s
2026-01-27 14:26:00,36.9 Gb/s
2026-01-27 14:28:00,37.0 Gb/s
2026-01-27 14:30:00,37.0 Gb/s
2026-01-27 14:32:00,37.1 Gb/s
2026-01-27 14:34:00,37.1 Gb/s
2026-01-27 14:36:00,37.2 Gb/s
2026-01-27 14:38:00,37.3 Gb/s
2026-01-27 14:40:00,37.3 Gb/s
2026-01-27 14:42:00,37.4 Gb/s
2026-01-27 14:44:00,37.4 Gb/s
2026-01-27 14:46:00,37.5 Gb/s
2026-01-27 14:48:00,37.5 Gb/s
2026-01-27 14:50:00,37.4 Gb/s
2026-01-27 14:52:00,37.5 Gb/s
2026-01-27 14:54:00,37.5 Gb/s
2026-01-27 14:56:00,37.5 Gb/s
2026-01-27 14:58:00,37.6 Gb/s
2026-01-27 15:00:00,37.5 Gb/s
2026-01-27 15:02:00,37.6 Gb/s
2026-01-27 15:04:00,37.6 Gb/s
2026-01-27 15:06:00,37.6 Gb/s
2026-01-27 15:08:00,37.7 Gb/s
2026-01-27 15:10:00,37.7 Gb/s
2026-01-27 15:12:00,37.6 Gb/s
2026-01-27 15:14:00,37.7 Gb/s
2026-01-27 15:16:00,37.7 Gb/s
2026-01-27 15:18:00,37.8 Gb/s
2026-01-27 15:20:00,39.3 Gb/s
2026-01-27 15:22:00,40.7 Gb/s
2026-01-27 15:24:00,40.0 Gb/s
2026-01-27 15:26:00,40.1 Gb/s
2026-01-27 15:28:00,40.8 Gb/s
2026-01-27 15:30:00,40.9 Gb/s
2026-01-27 15:32:00,40.8 Gb/s
2026-01-27 15:34:00,40.2 Gb/s
2026-01-27 15:36:00,40.2 Gb/s
2026-01-27 15:38:00,40.9 Gb/s
2026-01-27 15:40:00,41.0 Gb/s
2026-01-27 15:42:00,41.0 Gb/s
2026-01-27 15:44:00,41.0 Gb/s
2026-01-27 15:46:00,40.3 Gb/s
2026-01-27 15:48:00,40.3 Gb/s
2026-01-27 15:50:00,41.1 Gb/s
2026-01-27 15:52:00,40.5 Gb/s
2026-01-27 15:54:00,38.9 Gb/s
2026-01-27 15:56:00,38.1 Gb/s
2026-01-27 15:58:00,38.2 Gb/s
2026-01-27 16:00:00,38.2 Gb/s
2026-01-27 16:02:00,38.2 Gb/s
2026-01-27 16:04:00,38.3 Gb/s
2026-01-27 16:06:00,38.3 Gb/s
2026-01-27 16:08:00,38.2 Gb/s
2026-01-27 16:10:00,38.3 Gb/s
2026-01-27 16:12:00,38.3 Gb/s
2026-01-27 16:14:00,38.3 Gb/s
2026-01-27 16:16:00,38.4 Gb/s
2026-01-27 16:18:00,38.3 Gb/s
2026-01-27 16:20:00,38.4 Gb/s
2026-01-27 16:22:00,38.5 Gb/s
2026-01-27 16:24:00,38.4 Gb/s
2026-01-27 16:26:00,38.5 Gb/s
2026-01-27 16:28:00,38.5 Gb/s
2026-01-27 16:30:00,38.5 Gb/s
2026-01-27 16:32:00,38.6 Gb/s
2026-01-27 16:34:00,38.5 Gb/s
2026-01-27 16:36:00,38.6 Gb/s
2026-01-27 16:38:00,38.6 Gb/s
2026-01-27 16:40:00,38.6 Gb/s
2026-01-27 16:42:00,38.7 Gb/s
2026-01-27 16:44:00,38.7 Gb/s
2026-01-27 16:46:00,38.6 Gb/s
2026-01-27 16:48:00,38.7 Gb/s
2026-01-27 16:50:00,38.7 Gb/s
2026-01-27 16:52:00,38.7 Gb/s
2026-01-27 16:54:00,38.8 Gb/s
2026-01-27 16:56:00,38.7 Gb/s
2026-01-27 16:58:00,38.8 Gb/s
2026-01-27 17:00:00,38.8 Gb/s
2026-01-27 17:02:00,38.8 Gb/s
2026-01-27 17:04:00,38.8 Gb/s
2026-01-27 17:06:00,38.7 Gb/s
2026-01-27 17:08:00,38.7 Gb/s
2026-01-27 17:10:00,38.8 Gb/s
2026-01-27 17:12:00,38.9 Gb/s
2026-01-27 17:14:00,38.9 Gb/s
2026-01-27 17:16:00,39.0 Gb/s
2026-01-27 17:18:00,39.1 Gb/s
2026-01-27 17:20:00,39.0 Gb/s
2026-01-27 17:22:00,40.2 Gb/s
2026-01-27 17:24:00,40.3 Gb/s
2026-01-27 17:26:00,39.2 Gb/s
2026-01-27 17:28:00,39.4 Gb/s
2026-01-27 17:30:00,39.4 Gb/s
2026-01-27 17:32:00,39.5 Gb/s
2026-01-27 17:34:00,39.6 Gb/s
2026-01-27 17:36:00,39.6 Gb/s
2026-01-27 17:38:00,41.0 Gb/s
2026-01-27 17:40:00,42.4 Gb/s
2026-01-27 17:42:00,42.5 Gb/s
2026-01-27 17:44:00,41.0 Gb/s
2026-01-27 17:46:00,39.6 Gb/s
2026-01-27 17:48:00,39.6 Gb/s
2026-01-27 17:50:00,39.6 Gb/s
2026-01-27 17:52:00,39.6 Gb/s
2026-01-27 17:54:00,39.6 Gb/s
2026-01-27 17:56:00,39.7 Gb/s
2026-01-27 17:58:00,39.6 Gb/s
2026-01-27 18:00:00,39.7 Gb/s
2026-01-27 18:02:00,39.7 Gb/s
2026-01-27 18:04:00,39.7 Gb/s
2026-01-27 18:06:00,39.8 Gb/s
2026-01-27 18:08:00,39.8 Gb/s
2026-01-27 18:10:00,39.8 Gb/s
2026-01-27 18:12:00,39.8 Gb/s
2026-01-27 18:14:00,39.8 Gb/s
2026-01-27 18:16:00,39.9 Gb/s
2026-01-27 18:18:00,39.9 Gb/s
2026-01-27 18:20:00,39.9 Gb/s
2026-01-27 18:22:00,40.1 Gb/s
2026-01-27 18:24:00,40.1 Gb/s
2026-01-27 18:26:00,40.2 Gb/s
2026-01-27 18:28:00,40.2 Gb/s
2026-01-27 18:30:00,40.2 Gb/s
2026-01-27 18:32:00,40.3 Gb/s
2026-01-27 18:34:00,40.4 Gb/s
2026-01-27 18:36:00,40.4 Gb/s
2026-01-27 18:38:00,40.5 Gb/s
2026-01-27 18:40:00,40.5 Gb/s
2026-01-27 18:42:00,40.6 Gb/s
2026-01-27 18:44:00,44.7 Gb/s
2026-01-27 18:46:00,48.6 Gb/s
2026-01-27 18:48:00,46.7 Gb/s
2026-01-27 18:50:00,42.7 Gb/s
2026-01-27 18:52:00,40.7 Gb/s
2026-01-27 18:54:00,42.9 Gb/s
2026-01-27 18:56:00,42.9 Gb/s
2026-01-27 18:58:00,42.9 Gb/s
2026-01-27 19:00:00,47.1 Gb/s
2026-01-27 19:02:00,49.3 Gb/s
2026-01-27 19:04:00,49.3 Gb/s
2026-01-27 19:06:00,49.3 Gb/s
2026-01-27 19:08:00,49.3 Gb/s
2026-01-27 19:10:00,49.3 Gb/s
2026-01-27 19:12:00,47.3 Gb/s
2026-01-27 19:14:00,47.3 Gb/s
2026-01-27 19:16:00,49.4 Gb/s
2026-01-27 19:18:00,47.4 Gb/s
2026-01-27 19:20:00,47.3 Gb/s
2026-01-27 19:22:00,47.4 Gb/s
2026-01-27 19:24:00,47.4 Gb/s
2026-01-27 19:26:00,49.5 Gb/s
2026-01-27 19:28:00,49.6 Gb/s
2026-01-27 19:30:00,49.7 Gb/s
2026-01-27 19:32:00,49.6 Gb/s
2026-01-27 19:34:00,47.6 Gb/s
2026-01-27 19:36:00,47.6 Gb/s
2026-01-27 19:38:00,49.8 Gb/s
2026-01-27 19:40:00,49.9 Gb/s
2026-01-27 19:42:00,49.9 Gb/s
2026-01-27 19:44:00,49.9 Gb/s
2026-01-27 19:46:00,50.0 Gb/s
2026-01-27 19:48:00,49.9 Gb/s
2026-01-27 19:50:00,50.1 Gb/s
2026-01-27 19:52:00,50.1 Gb/s
2026-01-27 19:54:00,50.0 Gb/s
2026-01-27 19:56:00,50.1 Gb/s
2026-01-27 19:58:00,50.1 Gb/s
2026-01-27 20:00:00,50.2 Gb/s
2026-01-27 20:02:00,50.2 Gb/s
2026-01-27 20:04:00,50.2 Gb/s
2026-01-27 20:06:00,50.2 Gb/s
2026-01-27 20:08:00,50.3 Gb/s
2026-01-27 20:10:00,50.3 Gb/s
2026-01-27 20:12:00,50.3 Gb/s
2026-01-27 20:14:00,50.3 Gb/s
2026-01-27 20:16:00,50.3 Gb/s
2026-01-27 20:18:00,48.1 Gb/s
2026-01-27 20:20:00,48.1 Gb/s
2026-01-27 20:22:00,50.3 Gb/s
2026-01-27 20:24:00,50.3 Gb/s
2026-01-27 20:26:00,50.4 Gb/s
2026-01-27 20:28:00,50.4 Gb/s
2026-01-27 20:30:00,50.4 Gb/s
2026-01-27 20:32:00,48.2 Gb/s
2026-01-27 20:34:00,48.3 Gb/s
2026-01-27 20:36:00,50.5 Gb/s
2026-01-27 20:38:00,48.3 Gb/s
2026-01-27 20:40:00,48.3 Gb/s
2026-01-27 20:42:00,50.6 Gb/s
2026-01-27 20:44:00,50.7 Gb/s
2026-01-27 20:46:00,50.6 Gb/s
2026-01-27 20:48:00,48.5 Gb/s
2026-01-27 20:50:00,48.5 Gb/s
2026-01-27 20:52:00,50.8 Gb/s
2026-01-27 20:54:00,50.8 Gb/s
2026-01-27 20:56:00,50.8 Gb/s
2026-01-27 20:58:00,50.8 Gb/s
2026-01-27 21:00:00,50.8 Gb/s
2026-01-27 21:02:00,50.9 Gb/s
2026-01-27 21:04:00,50.9 Gb/s
2026-01-27 21:06:00,50.9 Gb/s
2026-01-27 21:08:00,51.0 Gb/s
2026-01-27 21:10:00,51.0 Gb/s
2026-01-27 21:12:00,51.0 Gb/s
2026-01-27 21:14:00,51.1 Gb/s
2026-01-27 21:16:00,51.0 Gb/s
2026-01-27 21:18:00,51.1 Gb/s
2026-01-27 21:20:00,51.2 Gb/s
2026-01-27 21:22:00,51.1 Gb/s
2026-01-27 21:24:00,51.2 Gb/s
2026-01-27 21:26:00,51.2 Gb/s
2026-01-27 21:28:00,51.3 Gb/s
2026-01-27 21:30:00,51.3 Gb/s
2026-01-27 21:32:00,51.3 Gb/s
2026-01-27 21:34:00,51.3 Gb/s
2026-01-27 21:36:00,51.3 Gb/s
2026-01-27 21:38:00,51.4 Gb/s
2026-01-27 21:40:00,51.4 Gb/s
2026-01-27 21:42:00,51.4 Gb/s
2026-01-27 21:44:00,51.5 Gb/s
2026-01-27 21:46:00,51.5 Gb/s
2026-01-27 21:48:00,51.5 Gb/s
2026-01-27 21:50:00,51.6 Gb/s
2026-01-27 21:52:00,51.5 Gb/s
2026-01-27 21:54:00,51.6 Gb/s
2026-01-27 21:56:00,51.7 Gb/s
2026-01-27 21:58:00,51.6 Gb/s
2026-01-27 22:00:00,51.7 Gb/s
2026-01-27 22:02:00,51.7 Gb/s
2026-01-27 22:04:00,51.7 Gb/s
2026-01-27 22:06:00,51.8 Gb/s
2026-01-27 22:08:00,51.8 Gb/s
2026-01-27 22:10:00,51.8 Gb/s
2026-01-27 22:12:00,51.9 Gb/s
2026-01-27 22:14:00,51.9 Gb/s
2026-01-27 22:16:00,52.0 Gb/s
2026-01-27 22:18:00,52.0 Gb/s
2026-01-27 22:20:00,52.0 Gb/s
2026-01-27 22:22:00,52.1 Gb/s
2026-01-27 22:24:00,52.0 Gb/s
2026-01-27 22:26:00,52.1 Gb/s
2026-01-27 22:28:00,52.2 Gb/s
2026-01-27 22:30:00,52.1 Gb/s
2026-01-27 22:32:00,52.2 Gb/s
2026-01-27 22:34:00,52.2 Gb/s
2026-01-27 22:36:00,52.2 Gb/s
2026-01-27 22:38:00,49.8 Gb/s
2026-01-27 22:40:00,45.0 Gb/s
2026-01-27 22:42:00,42.7 Gb/s
2026-01-27 22:44:00,42.6 Gb/s
2026-01-27 22:46:00,42.7 Gb/s
2026-01-27 22:48:00,42.7 Gb/s
2026-01-27 22:50:00,42.7 Gb/s
2026-01-27 22:52:00,42.8 Gb/s
2026-01-27 22:54:00,42.7 Gb/s
2026-01-27 22:56:00,42.8 Gb/s
2026-01-27 22:58:00,42.8 Gb/s
2026-01-27 23:00:00,42.8 Gb/s
2026-01-27 23:02:00,42.9 Gb/s
2026-01-27 23:04:00,42.9 Gb/s
2026-01-27 23:06:00,42.8 Gb/s
2026-01-27 23:08:00,42.9 Gb/s
2026-01-27 23:10:00,42.9 Gb/s
2026-01-27 23:12:00,45.4 Gb/s
2026-01-27 23:14:00,50.3 Gb/s
2026-01-27 23:16:00,52.8 Gb/s
2026-01-27 23:18:00,50.4 Gb/s
2026-01-27 23:20:00,50.4 Gb/s
2026-01-27 23:22:00,52.8 Gb/s
2026-01-27 23:24:00,50.5 Gb/s
2026-01-27 23:26:00,50.5 Gb/s
2026-01-27 23:28:00,50.5 Gb/s
2026-01-27 23:30:00,50.6 Gb/s
2026-01-27 23:32:00,53.0 Gb/s
2026-01-27 23:34:00,50.6 Gb/s
2026-01-27 23:36:00,50.6 Gb/s
2026-01-27 23:38:00,53.1 Gb/s
2026-01-27 23:40:00,50.7 Gb/s
2026-01-27 23:42:00,50.7 Gb/s
2026-01-27 23:44:00,53.2 Gb/s
2026-01-27 23:46:00,50.8 Gb/s
2026-01-27 23:48:00,50.8 Gb/s
2026-01-27 23:50:00,50.8 Gb/s
2026-01-27 23:52:00,50.9 Gb/s
2026-01-27 23:54:00,53.3 Gb/s
2026-01-27 23:56:00,50.9 Gb/s
2026-01-27 23:58:00,51.0 Gb/s
2026-01-28 00:00:00,53.4 Gb/s
2026-01-28 00:02:00,51.0 Gb/s
2026-01-28 00:04:00,51.0 Gb/s
2026-01-28 00:06:00,53.5 Gb/s
2026-01-28 00:08:00,53.6 Gb/s
2026-01-28 00:10:00,53.6 Gb/s
2026-01-28 00:12:00,51.1 Gb/s
2026-01-28 00:14:00,51.2 Gb/s
2026-01-28 00:16:00,53.7 Gb/s
2026-01-28 00:18:00,53.8 Gb/s
2026-01-28 00:20:00,53.8 Gb/s
2026-01-28 00:22:00,53.8 Gb/s
2026-01-28 00:24:00,51.3 Gb/s
2026-01-28 00:26:00,51.3 Gb/s
2026-01-28 00:28:00,53.9 Gb/s
2026-01-28 00:30:00,54.0 Gb/s
2026-01-28 00:32:00,53.9 Gb/s
2026-01-28 00:34:00,54.0 Gb/s
2026-01-28 00:36:00,54.0 Gb/s
2026-01-28 00:38:00,54.0 Gb/s
2026-01-28 00:40:00,51.5 Gb/s
2026-01-28 00:42:00,51.5 Gb/s
2026-01-28 00:44:00,51.5 Gb/s
2026-01-28 00:46:00,51.6 Gb/s
2026-01-28 00:48:00,54.2 Gb/s
2026-01-28 00:50:00,54.3 Gb/s
2026-01-28 00:52:00,54.3 Gb/s
2026-01-28 00:54:00,54.3 Gb/s
2026-01-28 00:56:00,54.4 Gb/s
2026-01-28 00:58:00,54.4 Gb/s
2026-01-28 01:00:00,54.4 Gb/s
2026-01-28 01:02:00,54.5 Gb/s
2026-01-28 01:04:00,54.4 Gb/s
2026-01-28 01:06:00,54.5 Gb/s
2026-01-28 01:08:00,54.6 Gb/s
2026-01-28 01:10:00,54.5 Gb/s
