"Time","gateway1","scheduler","worker1","worker2","worker4","worker5","worker6","worker7","worker8"
2026-01-27 14:10:00,10.1 kb/s,,3.78 kb/s,6.41 kb/s,7.52 kb/s,7.93 kb/s,1.87 kb/s,,8.40 Gb/s
2026-01-27 14:15:00,37.3 kb/s,5.41 kb/s,20.1 Mb/s,17.5 Mb/s,18.3 Mb/s,19.3 Mb/s,10.2 kb/s,,24.8 Gb/s
2026-01-27 14:20:00,18.1 kb/s,24.2 kb/s,20.5 Mb/s,29.2 Mb/s,30.3 Mb/s,25.3 Mb/s,6.17 kb/s,,40.0 Gb/s
2026-01-27 14:25:00,8.54 kb/s,33.8 kb/s,39.7 Mb/s,30.7 Mb/s,25.5 Mb/s,30.7 Mb/s,5.70 kb/s,,40.1 Gb/s
2026-01-27 14:30:00,7.85 kb/s,32.5 kb/s,21.4 Mb/s,25.5 Mb/s,30.7 Mb/s,25.5 Mb/s,5.72 kb/s,,40.2 Gb/s
2026-01-27 14:35:00,7.90 kb/s,32.0 kb/s,30.7 Mb/s,30.7 Mb/s,25.5 Mb/s,30.7 Mb/s,5.72 kb/s,,40.3 Gb/s
2026-01-27 14:40:00,7.93 kb/s,31.8 kb/s,30.7 Mb/s,25.5 Mb/s,30.7 Mb/s,30.8 Mb/s,5.75 kb/s,,40.4 Gb/s
2026-01-27 14:45:00,7.87 kb/s,32.5 kb/s,30.7 Mb/s,30.7 Mb/s,30.7 Mb/s,30.7 Mb/s,5.69 kb/s,,40.6 Gb/s
2026-01-27 14:50:00,8.00 kb/s,31.2 kb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,5.75 kb/s,,40.6 Gb/s
2026-01-27 14:55:00,7.89 kb/s,34.1 kb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,5.52 kb/s,,40.7 Gb/s
2026-01-27 15:00:00,7.88 kb/s,34.6 kb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,5.53 kb/s,,40.7 Gb/s
2026-01-27 15:05:00,7.99 kb/s,33.3 kb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,5.58 kb/s,,40.8 Gb/s
2026-01-27 15:10:00,7.96 kb/s,31.4 kb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,5.71 kb/s,,40.8 Gb/s
2026-01-27 15:15:00,7.95 kb/s,34.0 kb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,5.71 kb/s,,40.9 Gb/s
2026-01-27 15:20:00,7.95 kb/s,34.4 kb/s,10.4 Mb/s,15.5 Mb/s,10.4 Mb/s,10.4 Mb/s,5.72 kb/s,,41.9 Gb/s
2026-01-27 15:25:00,7.95 kb/s,34.2 kb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,5.72 kb/s,,43.4 Gb/s
2026-01-27 15:30:00,7.95 kb/s,34.5 kb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,5.72 kb/s,,43.9 Gb/s
2026-01-27 15:35:00,7.87 kb/s,31.7 kb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,5.58 kb/s,,43.5 Gb/s
2026-01-27 15:40:00,7.92 kb/s,29.9 kb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,5.58 kb/s,,44.1 Gb/s
2026-01-27 15:45:00,8.02 kb/s,32.2 kb/s,5.23 Mb/s,10.4 Mb/s,9.43 Mb/s,5.23 Mb/s,5.51 kb/s,,43.7 Gb/s
2026-01-27 15:50:00,7.82 kb/s,33.9 kb/s,5.23 Mb/s,10.3 Mb/s,11.2 Mb/s,12.8 Mb/s,5.73 kb/s,,43.7 Gb/s
2026-01-27 15:55:00,7.92 kb/s,39.1 kb/s,10.4 Mb/s,5.23 Mb/s,10.4 Mb/s,10.4 Mb/s,5.61 kb/s,,42.3 Gb/s
2026-01-27 16:00:00,7.96 kb/s,38.3 kb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,10.4 Mb/s,5.79 kb/s,,41.3 Gb/s
