"Time","in:big_gan_b00259e3/gateway1","in:big_gan_b00259e3/scheduler","in:big_gan_b00259e3/worker1","in:big_gan_b00259e3/worker2","in:big_gan_b00259e3/worker4","in:big_gan_b00259e3/worker5","in:big_gan_b00259e3/worker6","in:big_gan_b00259e3/worker7","in:big_gan_b00259e3/worker8","out:big_gan_b00259e3/gateway1","out:big_gan_b00259e3/scheduler","out:big_gan_b00259e3/worker1","out:big_gan_b00259e3/worker2","out:big_gan_b00259e3/worker4","out:big_gan_b00259e3/worker5","out:big_gan_b00259e3/worker6","out:big_gan_b00259e3/worker7","out:big_gan_b00259e3/worker8","sum:big_gan_b00259e3/gateway1","sum:big_gan_b00259e3/scheduler","sum:big_gan_b00259e3/worker1","sum:big_gan_b00259e3/worker2","sum:big_gan_b00259e3/worker4","sum:big_gan_b00259e3/worker5","sum:big_gan_b00259e3/worker6","sum:big_gan_b00259e3/worker7","sum:big_gan_b00259e3/worker8"
2026-01-27 14:10:00,150 kB,,63.3 kB,80.3 kB,101 kB,107 kB,850 GB,,180 GB,179 kB,,93.9 kB,99.5 kB,83.1 kB,73.5 kB,850 GB,,169 GB,329 kB,,157 kB,180 kB,185 kB,181 kB,1.70 TB,,348 GB
2026-01-27 14:15:00,873 kB,337 kB,760 MB,762 MB,760 MB,760 MB,178 kB,,1.52 GB,857 kB,375 kB,329 kB,390 kB,337 kB,301 kB,220 kB,,418 kB,1.73 MB,712 kB,760 MB,762 MB,761 MB,760 MB,398 kB,,1.52 GB
2026-01-27 14:20:00,1.22 MB,742 kB,1.53 GB,1.72 GB,1.72 GB,1.52 GB,271 kB,,3.62 GB,1.19 MB,891 kB,532 kB,196 MB,196 MB,196 MB,359 kB,,196 MB,2.41 MB,1.63 MB,1.53 GB,1.91 GB,1.91 GB,1.72 GB,630 kB,,3.82 GB
2026-01-27 14:25:00,1.39 MB,1.35 MB,2.83 GB,2.67 GB,2.48 GB,2.48 GB,364 kB,,6.86 GB,1.34 MB,1.55 MB,196 MB,392 MB,392 MB,392 MB,480 kB,,392 MB,2.73 MB,2.90 MB,3.02 GB,3.06 GB,2.87 GB,2.87 GB,843 kB,,7.25 GB
2026-01-27 14:30:00,1.56 MB,1.93 MB,3.43 GB,3.43 GB,3.43 GB,3.44 GB,457 kB,,10.7 GB,1.47 MB,2.18 MB,392 MB,588 MB,588 MB,392 MB,601 kB,,588 MB,3.02 MB,4.12 MB,3.82 GB,4.02 GB,4.02 GB,3.83 GB,1.06 MB,,11.3 GB
2026-01-27 14:35:00,1.72 MB,2.51 MB,4.39 GB,4.39 GB,4.39 GB,4.39 GB,551 kB,,14.5 GB,1.60 MB,2.81 MB,588 MB,784 MB,588 MB,588 MB,721 kB,,784 MB,3.32 MB,5.32 MB,4.98 GB,5.17 GB,4.98 GB,4.98 GB,1.27 MB,,15.3 GB
2026-01-27 14:40:00,1.88 MB,3.08 MB,5.34 GB,5.35 GB,5.35 GB,5.35 GB,645 kB,,18.0 GB,1.73 MB,3.43 MB,784 MB,784 MB,784 MB,784 MB,842 kB,,784 MB,3.62 MB,6.51 MB,6.13 GB,6.13 GB,6.13 GB,6.13 GB,1.49 MB,,18.7 GB
2026-01-27 14:45:00,2.05 MB,3.66 MB,6.30 GB,6.30 GB,6.30 GB,6.30 GB,738 kB,,21.9 GB,1.86 MB,4.07 MB,980 MB,980 MB,980 MB,979 MB,963 kB,,980 MB,3.91 MB,7.73 MB,7.28 GB,7.28 GB,7.28 GB,7.28 GB,1.70 MB,,22.9 GB
2026-01-27 14:50:00,2.21 MB,4.22 MB,6.50 GB,6.50 GB,6.50 GB,6.50 GB,832 kB,,22.6 GB,2.00 MB,4.68 MB,1.18 GB,1.18 GB,1.18 GB,1.18 GB,1.08 MB,,1.18 GB,4.21 MB,8.90 MB,7.67 GB,7.67 GB,7.67 GB,7.67 GB,1.92 MB,,23.7 GB
2026-01-27 14:55:00,2.38 MB,4.84 MB,6.69 GB,6.69 GB,6.69 GB,6.69 GB,919 kB,,22.8 GB,2.13 MB,5.34 MB,1.37 GB,1.37 GB,1.37 GB,1.37 GB,1.20 MB,,1.37 GB,4.51 MB,10.2 MB,8.06 GB,8.07 GB,8.07 GB,8.07 GB,2.12 MB,,24.1 GB
2026-01-27 15:00:00,2.54 MB,5.46 MB,6.89 GB,6.89 GB,6.89 GB,6.89 GB,1.01 MB,,23.0 GB,2.26 MB,6.02 MB,1.57 GB,1.57 GB,1.57 GB,1.57 GB,1.32 MB,,1.57 GB,4.80 MB,11.5 MB,8.45 GB,8.46 GB,8.46 GB,8.46 GB,2.33 MB,,24.5 GB
