"Time","in:big_gan_b00259e3","out:big_gan_b00259e3","sum:big_gan_b00259e3"
2026-01-27 14:12:00,1.47 GB,2.82 MB,1.48 GB
2026-01-27 14:14:00,3.08 GB,3.02 MB,3.08 GB
2026-01-27 14:16:00,4.83 GB,3.82 MB,4.84 GB
2026-01-27 14:18:00,7.99 GB,4.51 MB,7.99 GB
2026-01-27 14:20:00,10.1 GB,787 MB,10.9 GB
2026-01-27 14:22:00,13.2 GB,984 MB,14.2 GB
2026-01-27 14:24:00,16.6 GB,985 MB,17.6 GB
2026-01-27 14:26:00,19.7 GB,1.96 GB,21.7 GB
2026-01-27 14:28:00,22.1 GB,1.96 GB,24.1 GB
2026-01-27 14:30:00,24.4 GB,2.55 GB,27.0 GB
2026-01-27 14:32:00,28.0 GB,2.94 GB,31.0 GB
2026-01-27 14:34:00,31.1 GB,2.94 GB,34.0 GB
2026-01-27 14:36:00,34.1 GB,3.92 GB,38.0 GB
2026-01-27 14:38:00,36.2 GB,3.92 GB,40.2 GB
2026-01-27 14:40:00,39.4 GB,3.92 GB,43.3 GB
2026-01-27 14:42:00,43.3 GB,4.90 GB,48.2 GB
2026-01-27 14:44:00,45.8 GB,4.90 GB,50.7 GB
2026-01-27 14:46:00,47.9 GB,5.69 GB,53.6 GB
2026-01-27 14:48:00,48.6 GB,5.88 GB,54.5 GB
2026-01-27 14:50:00,48.6 GB,5.88 GB,54.5 GB
2026-01-27 14:52:00,49.5 GB,6.86 GB,56.4 GB
2026-01-27 14:54:00,49.5 GB,6.86 GB,56.4 GB
2026-01-27 14:56:00,49.5 GB,7.26 GB,56.8 GB
2026-01-27 14:58:00,50.5 GB,7.84 GB,58.4 GB
2026-01-27 15:00:00,50.5 GB,7.84 GB,58.4 GB
2026-01-27 15:02:00,51.0 GB,8.82 GB,59.8 GB
2026-01-27 15:04:00,51.5 GB,8.82 GB,60.3 GB
2026-01-27 15:06:00,51.5 GB,8.83 GB,60.3 GB
2026-01-27 15:08:00,52.4 GB,9.80 GB,62.2 GB
2026-01-27 15:10:00,52.5 GB,9.80 GB,62.3 GB
2026-01-27 15:12:00,52.5 GB,10.2 GB,62.7 GB
2026-01-27 15:14:00,53.5 GB,10.8 GB,64.3 GB
2026-01-27 15:16:00,54.0 GB,10.8 GB,64.8 GB
2026-01-27 15:18:00,55.3 GB,11.6 GB,66.8 GB
2026-01-27 15:20:00,56.0 GB,11.8 GB,67.7 GB
2026-01-27 15:22:00,56.0 GB,11.8 GB,67.7 GB
2026-01-27 15:24:00,56.9 GB,12.7 GB,69.7 GB
2026-01-27 15:26:00,56.9 GB,12.7 GB,69.7 GB
2026-01-27 15:28:00,56.9 GB,13.2 GB,70.1 GB
2026-01-27 15:30:00,57.9 GB,13.7 GB,71.7 GB
2026-01-27 15:32:00,57.9 GB,13.7 GB,71.7 GB
2026-01-27 15:34:00,58.5 GB,14.7 GB,73.2 GB
2026-01-27 15:36:00,58.9 GB,14.7 GB,73.6 GB
2026-01-27 15:38:00,58.9 GB,14.7 GB,73.6 GB
2026-01-27 15:40:00,59.9 GB,15.7 GB,75.6 GB
2026-01-27 15:42:00,59.9 GB,15.7 GB,75.6 GB
2026-01-27 15:44:00,59.9 GB,15.9 GB,75.7 GB
2026-01-27 15:46:00,60.9 GB,16.7 GB,77.5 GB
2026-01-27 15:48:00,60.9 GB,16.7 GB,77.5 GB
2026-01-27 15:50:00,61.7 GB,17.1 GB,78.8 GB
2026-01-27 15:52:00,63.1 GB,17.6 GB,80.8 GB
2026-01-27 15:54:00,63.3 GB,17.6 GB,80.9 GB
2026-01-27 15:56:00,63.4 GB,17.6 GB,81.0 GB
2026-01-27 15:58:00,64.2 GB,18.6 GB,82.9 GB
2026-01-27 16:00:00,64.4 GB,18.6 GB,83.1 GB
2026-01-27 16:02:00,64.4 GB,18.6 GB,83.1 GB
2026-01-27 16:04:00,65.4 GB,19.6 GB,85.0 GB
2026-01-27 16:06:00,65.4 GB,19.6 GB,85.0 GB
2026-01-27 16:08:00,65.4 GB,19.8 GB,85.2 GB
2026-01-27 16:10:00,66.4 GB,20.6 GB,87.0 GB
2026-01-27 16:12:00,66.4 GB,20.6 GB,87.0 GB
2026-01-27 16:14:00,66.8 GB,21.4 GB,88.2 GB
2026-01-27 16:16:00,67.4 GB,21.6 GB,89.0 GB
2026-01-27 16:18:00,67.4 GB,21.6 GB,89.0 GB
2026-01-27 16:20:00,68.2 GB,22.5 GB,90.7 GB
2026-01-27 16:22:00,68.4 GB,22.5 GB,90.9 GB
2026-01-27 16:24:00,69.2 GB,22.5 GB,91.8 GB
2026-01-27 16:26:00,71.2 GB,23.5 GB,94.8 GB
2026-01-27 16:28:00,71.2 GB,23.5 GB,94.8 GB
2026-01-27 16:30:00,71.6 GB,24.3 GB,95.9 GB
2026-01-27 16:32:00,72.2 GB,24.5 GB,96.7 GB
2026-01-27 16:34:00,72.2 GB,24.5 GB,96.7 GB
2026-01-27 16:36:00,73.0 GB,25.5 GB,98.5 GB
2026-01-27 16:38:00,73.2 GB,25.5 GB,98.7 GB
2026-01-27 16:40:00,73.2 GB,25.5 GB,98.7 GB
2026-01-27 16:42:00,74.2 GB,26.5 GB,101 GB
2026-01-27 16:44:00,74.2 GB,26.5 GB,101 GB
2026-01-27 16:46:00,74.2 GB,27.1 GB,101 GB
2026-01-27 16:48:00,75.2 GB,27.4 GB,103 GB
2026-01-27 16:50:00,75.2 GB,27.4 GB,103 GB
2026-01-27 16:52:00,75.6 GB,28.2 GB,104 GB
2026-01-27 16:54:00,76.1 GB,28.4 GB,105 GB
2026-01-27 16:56:00,76.1 GB,28.4 GB,105 GB
2026-01-27 16:58:00,76.7 GB,29.4 GB,106 GB
2026-01-27 17:00:00,77.6 GB,29.4 GB,107 GB
2026-01-27 17:02:00,78.8 GB,29.4 GB,108 GB
2026-01-27 17:04:00,79.0 GB,29.4 GB,108 GB
2026-01-27 17:06:00,79.0 GB,29.4 GB,108 GB
2026-01-27 17:08:00,79.0 GB,29.4 GB,108 GB
2026-01-27 17:10:00,79.2 GB,29.8 GB,109 GB
2026-01-27 17:12:00,80.4 GB,30.4 GB,111 GB
2026-01-27 17:14:00,81.7 GB,30.4 GB,112 GB
2026-01-27 17:16:00,83.1 GB,31.2 GB,114 GB
2026-01-27 17:18:00,84.6 GB,31.4 GB,116 GB
2026-01-27 17:20:00,86.1 GB,31.4 GB,117 GB
2026-01-27 17:22:00,87.8 GB,32.4 GB,120 GB
2026-01-27 17:24:00,89.0 GB,32.4 GB,121 GB
2026-01-27 17:26:00,90.1 GB,32.7 GB,123 GB
2026-01-27 17:28:00,92.3 GB,33.3 GB,126 GB
2026-01-27 17:30:00,93.4 GB,33.3 GB,127 GB
2026-01-27 17:32:00,95.3 GB,34.1 GB,129 GB
