"Time","457b1d20-87c4-4a70-a0cb-c1da37d3929e"
2026-01-27 14:20:00,8.42 mins
2026-01-27 14:22:00,8.42 mins
2026-01-27 14:24:00,8.42 mins
2026-01-27 14:26:00,4.95 mins
2026-01-27 14:28:00,4.95 mins
2026-01-27 14:30:00,4.89 mins
2026-01-27 14:32:00,4.88 mins
2026-01-27 14:34:00,4.88 mins
2026-01-27 14:36:00,4.91 mins
2026-01-27 14:38:00,4.91 mins
2026-01-27 14:40:00,4.91 mins
2026-01-27 14:42:00,4.88 mins
2026-01-27 14:44:00,4.88 mins
2026-01-27 14:46:00,4.87 mins
2026-01-27 14:48:00,4.87 mins
2026-01-27 14:50:00,4.87 mins
2026-01-27 14:52:00,4.89 mins
2026-01-27 14:54:00,4.89 mins
2026-01-27 14:56:00,4.88 mins
2026-01-27 14:58:00,4.87 mins
2026-01-27 15:00:00,4.87 mins
2026-01-27 15:02:00,4.93 mins
2026-01-27 15:04:00,4.93 mins
2026-01-27 15:06:00,4.93 mins
2026-01-27 15:08:00,4.92 mins
2026-01-27 15:10:00,4.92 mins
2026-01-27 15:12:00,4.92 mins
2026-01-27 15:14:00,4.89 mins
2026-01-27 15:16:00,4.89 mins
2026-01-27 15:18:00,4.88 mins
2026-01-27 15:20:00,4.88 mins
2026-01-27 15:22:00,4.88 mins
2026-01-27 15:24:00,4.89 mins
2026-01-27 15:26:00,4.89 mins
2026-01-27 15:28:00,4.89 mins
2026-01-27 15:30:00,4.89 mins
2026-01-27 15:32:00,4.89 mins
2026-01-27 15:34:00,4.93 mins
2026-01-27 15:36:00,4.93 mins
2026-01-27 15:38:00,4.93 mins
2026-01-27 15:40:00,4.91 mins
2026-01-27 15:42:00,4.91 mins
2026-01-27 15:44:00,4.91 mins
2026-01-27 15:46:00,5.37 mins
2026-01-27 15:48:00,5.37 mins
2026-01-27 15:50:00,5.05 mins
2026-01-27 15:52:00,5.01 mins
2026-01-27 15:54:00,5.01 mins
2026-01-27 15:56:00,5.01 mins
2026-01-27 15:58:00,6.76 mins
2026-01-27 16:00:00,6.76 mins
2026-01-27 16:02:00,6.76 mins
2026-01-27 16:04:00,4.99 mins
2026-01-27 16:06:00,4.99 mins
2026-01-27 16:08:00,5.07 mins
2026-01-27 16:10:00,5.33 mins
2026-01-27 16:12:00,5.33 mins
2026-01-27 16:14:00,5.27 mins
2026-01-27 16:16:00,5.27 mins
2026-01-27 16:18:00,5.27 mins
2026-01-27 16:20:00,5.27 mins
2026-01-27 16:22:00,5.27 mins
2026-01-27 16:24:00,5.27 mins
2026-01-27 16:26:00,4.92 mins
2026-01-27 16:28:00,4.92 mins
2026-01-27 16:30:00,4.91 mins
2026-01-27 16:32:00,4.91 mins
2026-01-27 16:34:00,4.91 mins
2026-01-27 16:36:00,4.98 mins
2026-01-27 16:38:00,4.98 mins
2026-01-27 16:40:00,4.98 mins
2026-01-27 16:42:00,5.28 mins
2026-01-27 16:44:00,5.28 mins
2026-01-27 16:46:00,4.99 mins
2026-01-27 16:48:00,4.92 mins
2026-01-27 16:50:00,4.92 mins
2026-01-27 16:52:00,5.31 mins
2026-01-27 16:54:00,5.37 mins
2026-01-27 16:56:00,5.37 mins
2026-01-27 16:58:00,5.37 mins
2026-01-27 17:00:00,5.51 mins
2026-01-27 17:02:00,5.51 mins
2026-01-27 17:04:00,5.51 mins
2026-01-27 17:06:00,5.51 mins
2026-01-27 17:08:00,5.51 mins
2026-01-27 17:10:00,9.38 mins
2026-01-27 17:12:00,9.38 mins
2026-01-27 17:14:00,9.38 mins
2026-01-27 17:16:00,5.49 mins
2026-01-27 17:18:00,5.49 mins
2026-01-27 17:20:00,5.49 mins
2026-01-27 17:22:00,5.15 mins
2026-01-27 17:24:00,5.15 mins
2026-01-27 17:26:00,5.15 mins
2026-01-27 17:28:00,4.88 mins
2026-01-27 17:30:00,4.88 mins
2026-01-27 17:32:00,4.99 mins
2026-01-27 17:34:00,4.99 mins
2026-01-27 17:36:00,4.99 mins
2026-01-27 17:38:00,5.58 mins
2026-01-27 17:40:00,5.84 mins
2026-01-27 17:42:00,5.84 mins
2026-01-27 17:44:00,5.84 mins
2026-01-27 17:46:00,5.84 mins
2026-01-27 17:48:00,7.65 mins
2026-01-27 17:50:00,7.97 mins
2026-01-27 17:52:00,7.97 mins
2026-01-27 17:54:00,6.69 mins
2026-01-27 17:56:00,4.99 mins
2026-01-27 17:58:00,4.99 mins
2026-01-27 18:00:00,4.85 mins
2026-01-27 18:02:00,4.85 mins
2026-01-27 18:04:00,4.85 mins
2026-01-27 18:06:00,4.82 mins
2026-01-27 18:08:00,4.82 mins
2026-01-27 18:10:00,4.82 mins
2026-01-27 18:12:00,4.82 mins
2026-01-27 18:14:00,4.82 mins
2026-01-27 18:16:00,8.70 mins
2026-01-27 18:18:00,8.70 mins
2026-01-27 18:20:00,6.21 mins
2026-01-27 18:22:00,5.01 mins
2026-01-27 18:24:00,5.01 mins
2026-01-27 18:26:00,4.85 mins
2026-01-27 18:28:00,4.85 mins
2026-01-27 18:30:00,4.85 mins
2026-01-27 18:32:00,5.07 mins
2026-01-27 18:34:00,5.07 mins
2026-01-27 18:36:00,4.93 mins
2026-01-27 18:38:00,4.98 mins
2026-01-27 18:40:00,4.98 mins
2026-01-27 18:42:00,4.89 mins
2026-01-27 18:44:00,4.89 mins
2026-01-27 18:46:00,4.89 mins
2026-01-27 18:48:00,5.00 mins
2026-01-27 18:50:00,5.00 mins
2026-01-27 18:52:00,5.00 mins
2026-01-27 18:54:00,5.35 mins
2026-01-27 18:56:00,5.35 mins
2026-01-27 18:58:00,5.35 mins
2026-01-27 19:00:00,5.35 mins
2026-01-27 19:02:00,7.51 mins
2026-01-27 19:04:00,7.87 mins
2026-01-27 19:06:00,7.87 mins
2026-01-27 19:08:00,7.87 mins
2026-01-27 19:10:00,7.87 mins
2026-01-27 19:12:00,7.23 mins
2026-01-27 19:14:00,7.23 mins
2026-01-27 19:16:00,6.46 mins
2026-01-27 19:18:00,5.20 mins
2026-01-27 19:20:00,5.20 mins
2026-01-27 19:22:00,4.96 mins
2026-01-27 19:24:00,4.96 mins
2026-01-27 19:26:00,4.96 mins
2026-01-27 19:28:00,4.98 mins
2026-01-27 19:30:00,4.98 mins
2026-01-27 19:32:00,4.98 mins
2026-01-27 19:34:00,5.04 mins
2026-01-27 19:36:00,5.04 mins
2026-01-27 19:38:00,4.95 mins
2026-01-27 19:40:00,4.94 mins
2026-01-27 19:42:00,4.94 mins
2026-01-27 19:44:00,4.99 mins
2026-01-27 19:46:00,4.99 mins
2026-01-27 19:48:00,4.99 mins
2026-01-27 19:50:00,5.10 mins
2026-01-27 19:52:00,5.10 mins
2026-01-27 19:54:00,5.10 mins
2026-01-27 19:56:00,5.04 mins
2026-01-27 19:58:00,5.04 mins
2026-01-27 20:00:00,4.87 mins
2026-01-27 20:02:00,4.87 mins
2026-01-27 20:04:00,4.87 mins
2026-01-27 20:06:00,5.26 mins
2026-01-27 20:08:00,5.51 mins
2026-01-27 20:10:00,5.51 mins
2026-01-27 20:12:00,5.51 mins
2026-01-27 20:14:00,5.51 mins
2026-01-27 20:16:00,7.64 mins
2026-01-27 20:18:00,7.99 mins
2026-01-27 20:20:00,7.99 mins
2026-01-27 20:22:00,7.99 mins
2026-01-27 20:24:00,7.99 mins
2026-01-27 20:26:00,7.97 mins
2026-01-27 20:28:00,8.44 mins
2026-01-27 20:30:00,8.44 mins
2026-01-27 20:32:00,4.92 mins
2026-01-27 20:34:00,4.92 mins
2026-01-27 20:36:00,4.92 mins
2026-01-27 20:38:00,4.96 mins
2026-01-27 20:40:00,4.96 mins
2026-01-27 20:42:00,4.99 mins
2026-01-27 20:44:00,5.19 mins
2026-01-27 20:46:00,5.19 mins
2026-01-27 20:48:00,5.20 mins
2026-01-27 20:50:00,5.20 mins
2026-01-27 20:52:00,5.20 mins
2026-01-27 20:54:00,5.31 mins
2026-01-27 20:56:00,5.49 mins
2026-01-27 20:58:00,5.49 mins
2026-01-27 21:00:00,5.49 mins
2026-01-27 21:02:00,5.80 mins
2026-01-27 21:04:00,5.80 mins
2026-01-27 21:06:00,5.37 mins
2026-01-27 21:08:00,5.09 mins
2026-01-27 21:10:00,5.09 mins
2026-01-27 21:12:00,4.98 mins
2026-01-27 21:14:00,4.98 mins
2026-01-27 21:16:00,4.98 mins
2026-01-27 21:18:00,5.19 mins
2026-01-27 21:20:00,5.19 mins
2026-01-27 21:22:00,4.96 mins
2026-01-27 21:24:00,4.88 mins
2026-01-27 21:26:00,4.88 mins
2026-01-27 21:28:00,5.16 mins
2026-01-27 21:30:00,5.38 mins
2026-01-27 21:32:00,5.38 mins
2026-01-27 21:34:00,5.38 mins
2026-01-27 21:36:00,5.38 mins
2026-01-27 21:38:00,7.93 mins
2026-01-27 21:40:00,7.93 mins
2026-01-27 21:42:00,7.93 mins
2026-01-27 21:44:00,4.95 mins
2026-01-27 21:46:00,4.95 mins
2026-01-27 21:48:00,5.18 mins
2026-01-27 21:50:00,5.22 mins
2026-01-27 21:52:00,5.22 mins
2026-01-27 21:54:00,4.89 mins
2026-01-27 21:56:00,4.89 mins
2026-01-27 21:58:00,4.89 mins
2026-01-27 22:00:00,5.23 mins
2026-01-27 22:02:00,5.23 mins
2026-01-27 22:04:00,5.16 mins
2026-01-27 22:06:00,5.10 mins
2026-01-27 22:08:00,5.10 mins
2026-01-27 22:10:00,5.22 mins
2026-01-27 22:12:00,5.22 mins
2026-01-27 22:14:00,5.22 mins
2026-01-27 22:16:00,5.24 mins
2026-01-27 22:18:00,5.24 mins
2026-01-27 22:20:00,5.24 mins
2026-01-27 22:22:00,4.95 mins
2026-01-27 22:24:00,4.95 mins
2026-01-27 22:26:00,4.97 mins
2026-01-27 22:28:00,4.97 mins
2026-01-27 22:30:00,4.97 mins
2026-01-27 22:32:00,4.98 mins
2026-01-27 22:34:00,5.13 mins
2026-01-27 22:36:00,5.13 mins
2026-01-27 22:38:00,5.13 mins
2026-01-27 22:40:00,6.71 mins
2026-01-27 22:42:00,6.71 mins
2026-01-27 22:44:00,6.71 mins
2026-01-27 22:46:00,5.22 mins
2026-01-27 22:48:00,5.22 mins
2026-01-27 22:50:00,5.00 mins
2026-01-27 22:52:00,4.92 mins
2026-01-27 22:54:00,4.92 mins
2026-01-27 22:56:00,5.22 mins
2026-01-27 22:58:00,5.22 mins
2026-01-27 23:00:00,5.22 mins
2026-01-27 23:02:00,5.06 mins
2026-01-27 23:04:00,5.06 mins
2026-01-27 23:06:00,5.08 mins
2026-01-27 23:08:00,4.99 mins
2026-01-27 23:10:00,4.99 mins
2026-01-27 23:12:00,5.06 mins
2026-01-27 23:14:00,5.06 mins
2026-01-27 23:16:00,5.06 mins
2026-01-27 23:18:00,5.16 mins
2026-01-27 23:20:00,5.16 mins
2026-01-27 23:22:00,5.16 mins
2026-01-27 23:24:00,5.21 mins
2026-01-27 23:26:00,5.21 mins
2026-01-27 23:28:00,5.22 mins
2026-01-27 23:30:00,5.21 mins
2026-01-27 23:32:00,5.21 mins
2026-01-27 23:34:00,5.20 mins
2026-01-27 23:36:00,5.20 mins
2026-01-27 23:38:00,5.20 mins
2026-01-27 23:40:00,5.17 mins
2026-01-27 23:42:00,5.17 mins
2026-01-27 23:44:00,5.17 mins
2026-01-27 23:46:00,5.19 mins
2026-01-27 23:48:00,5.19 mins
2026-01-27 23:50:00,5.12 mins
2026-01-27 23:52:00,5.11 mins
2026-01-27 23:54:00,5.11 mins
2026-01-27 23:56:00,5.13 mins
2026-01-27 23:58:00,5.13 mins
2026-01-28 00:00:00,5.13 mins
2026-01-28 00:02:00,5.04 mins
2026-01-28 00:04:00,5.04 mins
2026-01-28 00:06:00,5.01 mins
2026-01-28 00:08:00,5.11 mins
2026-01-28 00:10:00,5.11 mins
2026-01-28 00:12:00,5.04 mins
2026-01-28 00:14:00,5.04 mins
2026-01-28 00:16:00,5.04 mins
