"Time","debug","error","info","warn"
2026-01-06 17:14:30,7.65 K,,895,
2026-01-06 17:15:00,7.23 K,,893,
2026-01-06 17:15:30,7.44 K,,918,
2026-01-06 17:16:00,9.78 K,,836,
2026-01-06 17:16:30,7.13 K,,868,
2026-01-06 17:17:00,7.39 K,,865,
2026-01-06 17:17:30,5.20 K,,516,1
2026-01-06 17:18:00,5.31 K,53,87,28
2026-01-06 17:18:30,3.80 K,,59,
2026-01-06 17:19:00,6.29 K,,60,
2026-01-06 17:19:30,2.85 K,,60,
2026-01-06 17:20:00,5.73 K,,75,
2026-01-06 17:20:30,3.44 K,,59,
2026-01-06 17:21:00,2.41 K,,62,
2026-01-06 17:21:30,3.48 K,,68,
2026-01-06 17:22:00,4.57 K,10,79,6
2026-01-06 17:22:30,1.16 K,,23,
