"Time","in:r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3","out:r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3","sum:r600_f3_d10_20b100l1td40_100ts20_4tl100_tb100_worker6_worker1_worker5_worker7_worker2_worker4_worker10_worker3"
2026-01-06 17:15:00,36.5 MB,22.3 MB,58.8 MB
2026-01-06 17:16:00,63.4 MB,48.5 MB,112 MB
2026-01-06 17:17:00,86.6 MB,71.7 MB,158 MB
2026-01-06 17:18:00,108 MB,92.6 MB,200 MB
2026-01-06 17:19:00,63.6 MB,49.3 MB,113 MB
2026-01-06 17:20:00,65.0 MB,50.5 MB,116 MB
2026-01-06 17:21:00,64.8 MB,50.3 MB,115 MB
2026-01-06 17:22:00,64.9 MB,50.5 MB,115 MB
2026-01-06 17:23:00,64.8 MB,50.4 MB,115 MB
2026-01-06 17:24:00,64.8 MB,50.4 MB,115 MB
2026-01-06 17:25:00,64.8 MB,50.4 MB,115 MB
2026-01-06 17:26:00,64.8 MB,50.4 MB,115 MB
