"Time","avg"
2026-01-06 19:05:00,265 ms
2026-01-06 19:06:00,136 ms
2026-01-06 19:07:00,75.4 ms
2026-01-06 19:08:00,332 ms
2026-01-06 19:09:00,63.8 ms
2026-01-06 19:10:00,115 ms
2026-01-06 19:11:00,251 ms
2026-01-06 19:12:00,154 ms
2026-01-06 19:13:00,55.9 ms
2026-01-06 19:14:00,378 ms
2026-01-06 19:15:00,138 ms
2026-01-06 19:16:00,90.2 ms
2026-01-06 19:17:00,369 ms
2026-01-06 19:18:00,176 ms
2026-01-06 19:19:00,104 ms
2026-01-06 19:20:00,68.0 ms
2026-01-06 19:21:00,109 ms
2026-01-06 19:22:00,136 ms
