"Time","12D3KooWCrsm9LonCnLLWQwoM2eMWMqneuwMXTUtcmyxPLmYhp6Y","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8"
2026-01-06 17:45:00,2.03,2.01,2.01,2.08
2026-01-06 17:46:00,1.41,1.56,1.45,1.36
2026-01-06 17:47:00,0.794,0.835,0.793,0.758
2026-01-06 17:48:00,0.608,0.436,0.577,0.593
2026-01-06 17:49:00,0.358,0.356,0.506,0.464
2026-01-06 17:50:00,0.532,0.828,0.637,0.628
2026-01-06 17:51:00,0.384,0.452,0.222,0.461
2026-01-06 17:52:00,0.260,0.265,0.300,0.221
2026-01-06 17:53:00,0.300,0.260,0.193,0.215
2026-01-06 17:54:00,0.123,0.280,0.181,0.305
2026-01-06 17:55:00,0.226,0.296,0.237,0.140
2026-01-06 17:56:00,0.229,0.240,0.320,0.260
2026-01-06 17:57:00,0.191,0.152,0.171,0.251
2026-01-06 17:58:00,0.195,0.495,0.210,0.152
2026-01-06 17:59:00,0.195,0.495,0.210,0.152
2026-01-06 18:00:00,0.195,0.495,0.210,0.152
2026-01-06 18:01:00,0.195,0.495,0.210,0.152
