"Time","data_points"
2026-01-06 20:01:00,2041
2026-01-06 20:02:00,1632
2026-01-06 20:03:00,1996
2026-01-06 20:04:00,1814
2026-01-06 20:05:00,2178
2026-01-06 20:06:00,2223
2026-01-06 20:07:00,2314
2026-01-06 20:08:00,1996
2026-01-06 20:09:00,1952
2026-01-06 20:10:00,2087
2026-01-06 20:11:00,2723
2026-01-06 20:12:00,2996
2026-01-06 20:13:00,2768
2026-01-06 20:14:00,3131
2026-01-06 20:15:00,2360
2026-01-06 20:16:00,2178
2026-01-06 20:17:00,2450
2026-01-06 20:18:00,1906
2026-01-06 20:19:00,2132
2026-01-06 20:20:00,2223
2026-01-06 20:21:00,1815
2026-01-06 20:22:00,2768
2026-01-06 20:23:00,2677
2026-01-06 20:24:00,1724
2026-01-06 20:25:00,1587
2026-01-06 20:26:00,1587
2026-01-06 20:27:00,2447
2026-01-06 20:28:00,2447
2026-01-06 20:29:00,2447
2026-01-06 20:30:00,2447
2026-01-06 20:31:00,2447
