"Time","debug"
2026-01-06 20:00:30,13.6 K
2026-01-06 20:01:00,14.0 K
2026-01-06 20:01:30,14.4 K
2026-01-06 20:02:00,13.7 K
2026-01-06 20:02:30,14.6 K
2026-01-06 20:03:00,17.8 K
2026-01-06 20:03:30,9.59 K
2026-01-06 20:04:00,9.00 K
2026-01-06 20:04:30,4.12 K
2026-01-06 20:05:00,8.13 K
2026-01-06 20:05:30,12.0 K
2026-01-06 20:06:00,8.14 K
2026-01-06 20:06:30,4.18 K
2026-01-06 20:07:00,7.73 K
2026-01-06 20:07:30,12.9 K
2026-01-06 20:08:00,16.2 K
2026-01-06 20:08:30,12.1 K
2026-01-06 20:09:00,12.7 K
2026-01-06 20:09:30,10.6 K
2026-01-06 20:10:00,8.70 K
2026-01-06 20:10:30,4.16 K
2026-01-06 20:11:00,7.44 K
2026-01-06 20:11:30,11.7 K
2026-01-06 20:12:00,6.99 K
2026-01-06 20:12:30,4.52 K
2026-01-06 20:13:00,11.6 K
2026-01-06 20:13:30,13.6 K
2026-01-06 20:14:00,6.96 K
2026-01-06 20:14:30,4.27 K
2026-01-06 20:15:00,7.51 K
2026-01-06 20:15:30,12.9 K
2026-01-06 20:16:00,12.8 K
2026-01-06 20:16:30,13.7 K
2026-01-06 20:17:00,12.4 K
2026-01-06 20:17:30,13.4 K
2026-01-06 20:18:00,15.5 K
2026-01-06 20:18:30,13.8 K
2026-01-06 20:19:00,13.0 K
2026-01-06 20:19:30,13.2 K
2026-01-06 20:20:00,7.27 K
2026-01-06 20:20:30,6.01 K
2026-01-06 20:21:00,4.55 K
2026-01-06 20:21:30,7.98 K
2026-01-06 20:22:00,7.08 K
2026-01-06 20:22:30,4.86 K
2026-01-06 20:23:00,12.6 K
2026-01-06 20:23:30,13.8 K
2026-01-06 20:24:00,12.0 K
2026-01-06 20:24:30,12.4 K
2026-01-06 20:25:00,11.0 K
2026-01-06 20:25:30,11.4 K
2026-01-06 20:26:00,7.79 K
2026-01-06 20:26:30,4.47 K
2026-01-06 20:27:00,8.27 K
2026-01-06 20:27:30,1.88 K
2026-01-06 20:28:00,3.31 K
2026-01-06 20:28:30,2.86 K
2026-01-06 20:29:00,2.59 K
2026-01-06 20:29:30,2.03 K
2026-01-06 20:30:00,1.64 K
2026-01-06 20:30:30,2.86 K
2026-01-06 20:31:00,2.16 K
