"Time","12D3KooWCJ7nntLmkWTjqRtAff3id5jfguqBzK9hKFGP23FRqutr","12D3KooWCrsm9LonCnLLWQwoM2eMWMqneuwMXTUtcmyxPLmYhp6Y","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8"
2026-01-06 20:01:00,,1.45,1.48,1.51,1.45
2026-01-06 20:02:00,,0.771,0.826,0.828,0.751
2026-01-06 20:03:00,,0.771,0.762,0.708,0.856
2026-01-06 20:04:00,,0.629,0.455,0.834,0.580
2026-01-06 20:05:00,,0.614,0.568,0.590,0.580
2026-01-06 20:06:00,,0.619,0.717,0.685,2.38
2026-01-06 20:07:00,,0.506,0.717,0.547,2.59
2026-01-06 20:08:00,2.33,0.344,0.717,0.439,2.30
2026-01-06 20:09:00,2.23,0.283,0.717,0.378,2.08
2026-01-06 20:10:00,1.45,0.313,0.717,0.462,1.52
2026-01-06 20:11:00,1.37,0.313,0.717,0.395,1.49
2026-01-06 20:12:00,1.27,2.35,0.717,0.436,1.52
2026-01-06 20:13:00,1.16,2.35,0.717,0.361,1.23
2026-01-06 20:14:00,1.18,2.35,2.35,0.384,1.30
2026-01-06 20:15:00,1.05,2.35,2.45,0.350,1.30
2026-01-06 20:16:00,0.541,1.62,1.73,0.414,1.30
2026-01-06 20:17:00,0.345,0.919,0.761,0.301,1.30
2026-01-06 20:18:00,0.329,0.732,0.923,0.154,1.30
2026-01-06 20:19:00,0.297,0.414,0.522,0.308,1.30
2026-01-06 20:20:00,0.352,0.393,0.300,0.259,1.30
2026-01-06 20:21:00,0.299,0.328,0.323,0.337,1.30
2026-01-06 20:22:00,0.299,0.328,0.323,0.337,1.30
2026-01-06 20:23:00,0.313,0.328,0.476,0.261,1.30
2026-01-06 20:24:00,0.422,0.328,0.391,0.268,2.47
2026-01-06 20:25:00,0.225,0.328,0.233,0.244,2.34
2026-01-06 20:26:00,0.225,0.328,0.233,0.244,2.34
2026-01-06 20:27:00,0.276,0.328,0.441,0.244,2.36
2026-01-06 20:28:00,0.276,0.328,0.441,0.244,2.36
2026-01-06 20:29:00,0.276,0.328,0.441,0.244,2.36
2026-01-06 20:30:00,0.276,0.328,0.441,0.244,2.36
2026-01-06 20:31:00,0.276,0.328,0.441,0.244,2.36
