"Time","sum:","sum:r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6/gateway","sum:r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6/worker1","sum:r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6/worker10","sum:r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6/worker2","sum:r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6/worker3","sum:r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6/worker4","sum:r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6/worker5","sum:r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6/worker6","sum:r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6/worker7","sum:r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6/worker8","sum:r600w4p2_f1_d10_20b100l1td80_200ts20_4tl100_tb300_worker7_worker10_worker3_worker4_worker5_worker8_worker9_worker6/worker9"
2026-01-06 20:00:00,808 kB,808 kB,666 kB,2.80 MB,637 kB,760 kB,797 kB,2.10 MB,1.82 MB,890 kB,2.34 MB,713 kB
2026-01-06 20:01:00,1.40 MB,815 kB,32.9 MB,15.7 MB,651 kB,1.04 MB,811 kB,10.2 MB,11.8 MB,903 kB,13.1 MB,725 kB
2026-01-06 20:02:00,1.96 MB,859 kB,85.8 MB,29.4 MB,693 kB,1.04 MB,855 kB,24.1 MB,25.2 MB,945 kB,26.3 MB,766 kB
2026-01-06 20:03:00,2.54 MB,907 kB,139 MB,43.1 MB,743 kB,438 kB,905 kB,37.5 MB,38.5 MB,994 kB,40.4 MB,815 kB
2026-01-06 20:04:00,3.27 MB,1.24 MB,167 MB,51.3 MB,973 kB,546 kB,1.19 MB,44.7 MB,46.2 MB,1.32 MB,48.0 MB,1.07 MB
2026-01-06 20:05:00,3.49 MB,1.29 MB,168 MB,51.8 MB,1.06 MB,598 kB,1.24 MB,1.38 MB,46.7 MB,1.38 MB,48.5 MB,1.12 MB
2026-01-06 20:06:00,3.98 MB,1.31 MB,195 MB,58.5 MB,1.10 MB,605 kB,1.25 MB,8.25 MB,53.3 MB,1.39 MB,55.2 MB,1.14 MB
2026-01-06 20:07:00,4.17 MB,1.32 MB,196 MB,58.9 MB,1.17 MB,633 kB,1.28 MB,8.68 MB,196 kB,1.41 MB,55.7 MB,2.11 MB
2026-01-06 20:08:00,4.64 MB,1.35 MB,234 MB,68.3 MB,1.22 MB,641 kB,1.30 MB,18.4 MB,219 kB,1.44 MB,65.7 MB,14.4 MB
2026-01-06 20:09:00,5.36 MB,1.66 MB,282 MB,81.0 MB,1.46 MB,963 kB,1.56 MB,30.6 MB,341 kB,1.75 MB,79.2 MB,27.8 MB
2026-01-06 20:10:00,5.89 MB,1.68 MB,309 MB,87.9 MB,1.52 MB,987 kB,1.58 MB,37.5 MB,363 kB,1.78 MB,85.9 MB,34.7 MB
2026-01-06 20:11:00,6.12 MB,1.73 MB,310 MB,88.3 MB,1.60 MB,1.03 MB,1.63 MB,37.9 MB,411 kB,1.82 MB,2.36 MB,35.2 MB
2026-01-06 20:12:00,6.63 MB,1.78 MB,312 MB,88.9 MB,1.68 MB,1.05 MB,1.67 MB,38.5 MB,543 kB,1.87 MB,2.36 MB,35.7 MB
2026-01-06 20:13:00,6.87 MB,1.80 MB,313 MB,89.3 MB,1.73 MB,1.09 MB,1.69 MB,39.3 MB,1.53 MB,2.20 MB,419 kB,36.2 MB
2026-01-06 20:14:00,7.57 MB,2.19 MB,315 MB,90.1 MB,2.04 MB,1.47 MB,460 kB,39.3 MB,2.35 MB,2.20 MB,616 kB,37.0 MB
2026-01-06 20:15:00,7.76 MB,2.20 MB,316 MB,90.6 MB,2.09 MB,1.48 MB,472 kB,446 kB,2.78 MB,446 kB,1.59 MB,37.4 MB
2026-01-06 20:16:00,8.21 MB,2.20 MB,352 MB,100 MB,2.13 MB,1.49 MB,486 kB,453 kB,12.6 MB,453 kB,11.2 MB,47.1 MB
2026-01-06 20:17:00,8.74 MB,2.24 MB,398 MB,112 MB,2.19 MB,1.50 MB,510 kB,467 kB,24.6 MB,467 kB,23.4 MB,58.8 MB
2026-01-06 20:18:00,9.28 MB,2.27 MB,444 MB,123 MB,2.25 MB,1.53 MB,536 kB,491 kB,36.2 MB,493 kB,35.1 MB,70.4 MB
2026-01-06 20:19:00,9.97 MB,2.58 MB,491 MB,136 MB,2.49 MB,1.85 MB,797 kB,597 kB,48.8 MB,597 kB,48.2 MB,82.5 MB
2026-01-06 20:20:00,10.5 MB,2.59 MB,539 MB,148 MB,2.53 MB,1.86 MB,803 kB,826 kB,61.6 MB,827 kB,63.8 MB,94.9 MB
2026-01-06 20:21:00,10.7 MB,2.63 MB,543 MB,149 MB,2.60 MB,1.90 MB,849 kB,832 kB,62.7 MB,833 kB,63.8 MB,95.9 MB
2026-01-06 20:22:00,11.1 MB,2.64 MB,544 MB,149 MB,2.65 MB,1.91 MB,855 kB,879 kB,63.2 MB,880 kB,933 kB,96.2 MB
2026-01-06 20:23:00,11.3 MB,2.67 MB,545 MB,150 MB,2.71 MB,2.13 MB,885 kB,1.86 MB,64.1 MB,894 kB,947 kB,96.6 MB
2026-01-06 20:24:00,11.9 MB,3.00 MB,582 MB,163 MB,2.98 MB,475 kB,1.16 MB,6.16 MB,73.4 MB,1.04 MB,1.12 MB,107 MB
2026-01-06 20:25:00,12.5 MB,3.03 MB,591 MB,163 MB,3.04 MB,501 kB,1.19 MB,13.9 MB,75.9 MB,1.28 MB,630 kB,109 MB
2026-01-06 20:26:00,13.1 MB,3.05 MB,591 MB,236 kB,3.09 MB,537 kB,1.22 MB,14.1 MB,76.1 MB,1.28 MB,637 kB,109 MB
2026-01-06 20:27:00,13.3 MB,3.07 MB,592 MB,2.18 MB,3.15 MB,544 kB,1.23 MB,14.6 MB,76.6 MB,1.32 MB,863 kB,110 MB
