"Time","c569dd81-8d2a-447a-aa67-e14a58c19a00"
2026-01-06 20:01:00,660 ms
2026-01-06 20:02:00,773 ms
2026-01-06 20:03:00,430 ms
2026-01-06 20:04:00,661 ms
2026-01-06 20:05:00,8.25 s
2026-01-06 20:06:00,686 ms
2026-01-06 20:07:00,6.34 s
2026-01-06 20:08:00,428 ms
2026-01-06 20:09:00,628 ms
2026-01-06 20:10:00,565 ms
2026-01-06 20:11:00,6.41 s
2026-01-06 20:12:00,458 ms
2026-01-06 20:13:00,9.88 s
2026-01-06 20:14:00,665 ms
2026-01-06 20:15:00,10.3 s
2026-01-06 20:16:00,589 ms
2026-01-06 20:17:00,568 ms
2026-01-06 20:18:00,385 ms
2026-01-06 20:19:00,561 ms
2026-01-06 20:20:00,601 ms
2026-01-06 20:21:00,457 ms
2026-01-06 20:22:00,15.7 s
2026-01-06 20:23:00,6.16 s
2026-01-06 20:24:00,439 ms
2026-01-06 20:25:00,639 ms
2026-01-06 20:26:00,639 ms
2026-01-06 20:27:00,20.3 s
2026-01-06 20:28:00,20.3 s
2026-01-06 20:29:00,20.3 s
2026-01-06 20:30:00,20.3 s
2026-01-06 20:31:00,20.3 s
