"Time","12D3KooWCJ7nntLmkWTjqRtAff3id5jfguqBzK9hKFGP23FRqutr","12D3KooWCrsm9LonCnLLWQwoM2eMWMqneuwMXTUtcmyxPLmYhp6Y","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8"
2026-01-06 17:25:00,1.31,,1.24,1.24,1.34
2026-01-06 17:26:00,1.05,,0.815,1.17,1.05
2026-01-06 17:27:00,0.619,,0.599,0.525,0.454
2026-01-06 17:28:00,0.521,,0.478,0.540,0.394
2026-01-06 17:29:00,0.533,,0.659,0.586,0.709
2026-01-06 17:30:00,0.533,,0.659,0.586,0.709
2026-01-06 17:31:00,0.519,,0.598,0.614,0.709
2026-01-06 17:32:00,0.495,2.37,0.325,0.432,0.709
2026-01-06 17:33:00,0.319,1.79,0.346,0.374,0.709
2026-01-06 17:34:00,0.421,1.24,0.458,0.346,0.709
2026-01-06 17:35:00,0.275,0.695,0.358,0.273,0.709
2026-01-06 17:36:00,0.245,0.545,0.320,0.200,0.709
2026-01-06 17:37:00,0.248,0.567,0.321,0.208,0.709
2026-01-06 17:38:00,0.210,0.446,0.160,0.253,0.709
2026-01-06 17:39:00,0.261,0.459,0.242,0.166,0.709
2026-01-06 17:40:00,0.261,0.459,0.242,0.166,0.709
2026-01-06 17:41:00,0.250,0.301,0.373,0.194,0.709
2026-01-06 17:42:00,0.227,0.321,0.163,0.211,0.709
2026-01-06 17:43:00,0.192,0.378,0.280,0.212,0.709
2026-01-06 17:44:00,0.192,0.378,0.280,0.212,0.709
2026-01-06 17:45:00,0.192,0.378,0.280,0.212,0.709
2026-01-06 17:46:00,0.192,0.378,0.280,0.212,0.709
2026-01-06 17:47:00,0.192,0.378,0.280,0.212,0.709
