"Time","sum by (service_name) (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8""}[4m0s])
)  * 8 "
2026-01-06 17:26:00,35.8 kb/s
2026-01-06 17:27:00,52.1 kb/s
2026-01-06 17:28:00,68.3 kb/s
2026-01-06 17:29:00,56.7 kb/s
2026-01-06 17:30:00,53.5 kb/s
2026-01-06 17:31:00,39.6 kb/s
2026-01-06 17:32:00,47.9 kb/s
2026-01-06 17:33:00,51.3 kb/s
2026-01-06 17:34:00,65.8 kb/s
2026-01-06 17:35:00,77.0 kb/s
2026-01-06 17:36:00,76.2 kb/s
2026-01-06 17:37:00,74.9 kb/s
2026-01-06 17:38:00,66.7 kb/s
2026-01-06 17:39:00,53.3 kb/s
2026-01-06 17:40:00,46.9 kb/s
2026-01-06 17:41:00,42.7 kb/s
2026-01-06 17:42:00,55.8 kb/s
2026-01-06 17:43:00,62.3 kb/s
2026-01-06 17:44:00,48.2 kb/s
2026-01-06 17:45:00,32.3 kb/s
