"Time","sum:","sum:r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8/gateway","sum:r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8/worker1","sum:r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8/worker10","sum:r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8/worker2","sum:r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8/worker3","sum:r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8/worker4","sum:r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8/worker5","sum:r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8/worker6","sum:r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8/worker7","sum:r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8/worker8","sum:r600w4p2_f1_d10_20b200l1td40_100ts10_4tl100_tb300_worker8/worker9"
2026-01-06 17:25:00,756 kB,700 kB,452 kB,613 kB,534 kB,742 kB,32.3 MB,9.70 MB,11.3 MB,12.4 MB,680 kB,15.2 MB
2026-01-06 17:26:00,1.29 MB,720 kB,460 kB,621 kB,541 kB,791 kB,81.3 MB,22.1 MB,23.6 MB,24.7 MB,689 kB,27.8 MB
2026-01-06 17:27:00,1.79 MB,727 kB,468 kB,628 kB,548 kB,832 kB,126 MB,34.2 MB,35.3 MB,36.7 MB,698 kB,39.8 MB
2026-01-06 17:28:00,2.29 MB,733 kB,476 kB,636 kB,557 kB,875 kB,170 MB,47.9 MB,46.3 MB,47.7 MB,707 kB,50.7 MB
2026-01-06 17:29:00,2.56 MB,779 kB,516 kB,678 kB,599 kB,950 kB,180 MB,552 kB,49.1 MB,50.5 MB,752 kB,53.6 MB
2026-01-06 17:30:00,2.99 MB,1.12 MB,721 kB,926 kB,827 kB,1.31 MB,181 MB,566 kB,49.5 MB,51.0 MB,1.08 MB,54.0 MB
2026-01-06 17:31:00,3.18 MB,1.12 MB,734 kB,938 kB,839 kB,1.36 MB,182 MB,573 kB,50.0 MB,51.4 MB,2.05 MB,54.4 MB
2026-01-06 17:32:00,3.64 MB,1.13 MB,743 kB,945 kB,847 kB,1.40 MB,219 MB,595 kB,60.1 MB,61.5 MB,14.4 MB,63.8 MB
2026-01-06 17:33:00,4.15 MB,1.16 MB,764 kB,966 kB,190 kB,1.45 MB,263 MB,599 kB,71.1 MB,73.3 MB,25.5 MB,74.6 MB
2026-01-06 17:34:00,4.66 MB,1.18 MB,789 kB,990 kB,346 kB,1.51 MB,306 MB,943 kB,82.0 MB,84.3 MB,36.9 MB,85.5 MB
2026-01-06 17:35:00,5.37 MB,1.53 MB,992 kB,1.24 MB,353 kB,1.87 MB,349 MB,950 kB,93.1 MB,95.3 MB,48.2 MB,97.0 MB
2026-01-06 17:36:00,5.86 MB,1.53 MB,1.00 MB,1.25 MB,359 kB,1.91 MB,392 MB,956 kB,104 MB,106 MB,59.1 MB,108 MB
2026-01-06 17:37:00,6.35 MB,1.54 MB,1.01 MB,1.25 MB,366 kB,1.96 MB,434 MB,971 kB,116 MB,117 MB,69.9 MB,118 MB
2026-01-06 17:38:00,6.87 MB,1.56 MB,1.02 MB,1.27 MB,492 kB,2.00 MB,484 MB,1.00 MB,127 MB,129 MB,81.7 MB,130 MB
2026-01-06 17:39:00,7.06 MB,1.61 MB,1.07 MB,1.32 MB,631 kB,2.08 MB,434 kB,1.33 MB,128 MB,130 MB,82.4 MB,131 MB
2026-01-06 17:40:00,7.41 MB,1.95 MB,1.27 MB,1.56 MB,631 kB,2.44 MB,461 kB,1.36 MB,129 MB,130 MB,82.7 MB,131 MB
2026-01-06 17:41:00,7.83 MB,1.95 MB,1.32 MB,1.58 MB,196 kB,35.3 MB,468 kB,1.36 MB,137 MB,138 MB,90.9 MB,140 MB
2026-01-06 17:42:00,8.32 MB,1.96 MB,1.36 MB,1.58 MB,203 kB,77.0 MB,474 kB,1.37 MB,147 MB,149 MB,101 MB,150 MB
2026-01-06 17:43:00,8.81 MB,1.97 MB,1.40 MB,1.59 MB,213 kB,120 MB,481 kB,1.38 MB,158 MB,159 MB,112 MB,161 MB
2026-01-06 17:44:00,8.81 MB,1.97 MB,1.42 MB,1.60 MB,226 kB,122 MB,542 kB,1.41 MB,159 MB,159 MB,112 MB,161 MB
2026-01-06 17:45:00,8.81 MB,1.97 MB,1.42 MB,1.60 MB,226 kB,122 MB,542 kB,1.41 MB,159 MB,159 MB,112 MB,161 MB
2026-01-06 17:46:00,8.81 MB,1.97 MB,1.42 MB,1.60 MB,226 kB,122 MB,542 kB,1.41 MB,159 MB,159 MB,112 MB,161 MB
2026-01-06 17:47:00,8.81 MB,1.97 MB,1.42 MB,1.60 MB,226 kB,122 MB,542 kB,1.41 MB,159 MB,159 MB,112 MB,161 MB
