"Time","b38d280b-d027-4e31-8ddf-d021ca7df0cd"
2026-01-06 17:25:00,615 ms
2026-01-06 17:26:00,503 ms
2026-01-06 17:27:00,741 ms
2026-01-06 17:28:00,427 ms
2026-01-06 17:29:00,619 ms
2026-01-06 17:30:00,20.8 s
2026-01-06 17:31:00,4.11 s
2026-01-06 17:32:00,416 ms
2026-01-06 17:33:00,620 ms
2026-01-06 17:34:00,380 ms
2026-01-06 17:35:00,664 ms
2026-01-06 17:36:00,669 ms
2026-01-06 17:37:00,449 ms
2026-01-06 17:38:00,469 ms
2026-01-06 17:39:00,551 ms
2026-01-06 17:40:00,551 ms
2026-01-06 17:41:00,712 ms
2026-01-06 17:42:00,714 ms
2026-01-06 17:43:00,797 ms
2026-01-06 17:44:00,797 ms
2026-01-06 17:45:00,797 ms
2026-01-06 17:46:00,797 ms
2026-01-06 17:47:00,797 ms
