"Time","debug","error","info","warn"
2026-01-06 23:54:30,10.8 K,,1.76 K,1
2026-01-06 23:55:00,9.25 K,,1.75 K,
2026-01-06 23:55:30,9.90 K,8,1.33 K,4
2026-01-06 23:56:00,12.6 K,,1.42 K,
2026-01-06 23:56:30,12.4 K,,1.40 K,
2026-01-06 23:57:00,10.4 K,,1.11 K,1
2026-01-06 23:57:30,9.27 K,7,541,4
2026-01-06 23:58:00,13.6 K,,1.48 K,
2026-01-06 23:58:30,17.6 K,,1.45 K,
2026-01-06 23:59:00,6.14 K,,219,1
2026-01-06 23:59:30,8.02 K,8,522,4
2026-01-07 00:00:00,14.1 K,,1.56 K,
2026-01-07 00:00:30,12.7 K,,1.39 K,
2026-01-07 00:01:00,14.0 K,,1.44 K,
2026-01-07 00:01:30,12.6 K,,1.43 K,
2026-01-07 00:02:00,12.2 K,,1.39 K,
2026-01-07 00:02:30,12.7 K,,1.42 K,
2026-01-07 00:03:00,12.7 K,,1.48 K,
2026-01-07 00:03:30,16.5 K,,1.36 K,
2026-01-07 00:04:00,12.4 K,,1.41 K,
2026-01-07 00:04:30,13.2 K,,1.38 K,
2026-01-07 00:05:00,12.5 K,,1.38 K,
2026-01-07 00:05:30,12.3 K,,1.35 K,
2026-01-07 00:06:00,13.2 K,,1.49 K,
2026-01-07 00:06:30,12.7 K,,1.44 K,
2026-01-07 00:07:00,13.0 K,,1.50 K,
2026-01-07 00:07:30,8.17 K,24,453,13
2026-01-07 00:08:00,12.3 K,,1.41 K,
2026-01-07 00:08:30,16.6 K,,1.42 K,
2026-01-07 00:09:00,12.4 K,,1.39 K,
2026-01-07 00:09:30,12.8 K,,1.37 K,
2026-01-07 00:10:00,12.2 K,,1.39 K,
2026-01-07 00:10:30,13.7 K,,1.43 K,1
2026-01-07 00:11:00,4.51 K,8,461,
2026-01-07 00:11:30,1.72 K,12,240,
2026-01-07 00:12:00,1.62 K,14,240,2
2026-01-07 00:12:30,1.86 K,4,157,
2026-01-07 00:13:00,1.76 K,,,
2026-01-07 00:13:30,2.77 K,,1,
2026-01-07 00:14:00,4.46 K,,15,
2026-01-07 00:14:30,3.09 K,,,
2026-01-07 00:15:00,1.95 K,,1,
