"Time","Weighted Average","Average"
2026-01-06 23:55:00,1.74,2.34
2026-01-06 23:56:00,1.74,2.34
2026-01-06 23:57:00,0.753,1.04
2026-01-06 23:58:00,0.873,0.967
2026-01-06 23:59:00,0.603,0.814
2026-01-07 00:00:00,0.439,0.605
2026-01-07 00:01:00,0.502,0.601
2026-01-07 00:02:00,0.496,0.603
2026-01-07 00:03:00,0.406,0.477
2026-01-07 00:04:00,0.347,0.403
2026-01-07 00:05:00,0.288,0.332
2026-01-07 00:06:00,0.308,0.350
2026-01-07 00:07:00,0.403,0.348
2026-01-07 00:08:00,0.260,0.303
2026-01-07 00:09:00,0.194,0.228
2026-01-07 00:10:00,0.208,0.231
2026-01-07 00:11:00,0.215,0.229
2026-01-07 00:12:00,0.215,0.229
2026-01-07 00:13:00,0.215,0.229
2026-01-07 00:14:00,0.215,0.229
2026-01-07 00:15:00,0.215,0.229
