"Time","12D3KooWCJ7nntLmkWTjqRtAff3id5jfguqBzK9hKFGP23FRqutr","12D3KooWCrsm9LonCnLLWQwoM2eMWMqneuwMXTUtcmyxPLmYhp6Y","12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8"
2026-01-06 23:55:00,2.34,2.32,2.34,,2.35
2026-01-06 23:56:00,2.34,2.32,2.34,,2.35
2026-01-06 23:57:00,1.04,1.03,1.03,,1.07
2026-01-06 23:58:00,1.00,1.03,0.945,,0.887
2026-01-06 23:59:00,0.756,0.835,0.837,,0.831
2026-01-07 00:00:00,0.628,0.645,0.619,,0.529
2026-01-07 00:01:00,0.585,0.645,0.439,0.658,0.679
2026-01-07 00:02:00,0.584,0.645,0.564,0.649,0.571
2026-01-07 00:03:00,0.364,0.645,0.403,0.474,0.498
2026-01-07 00:04:00,0.401,0.645,0.351,0.337,0.283
2026-01-07 00:05:00,0.260,0.645,0.269,0.236,0.250
2026-01-07 00:06:00,0.343,0.645,0.183,0.321,0.260
2026-01-07 00:07:00,0.281,0.645,0.304,0.230,0.280
2026-01-07 00:08:00,0.215,0.645,0.215,0.292,0.150
2026-01-07 00:09:00,0.215,0.242,0.237,0.180,0.268
2026-01-07 00:10:00,0.215,0.204,0.215,0.252,0.269
2026-01-07 00:11:00,0.215,0.234,0.239,0.247,0.210
2026-01-07 00:12:00,0.215,0.234,0.239,0.247,0.210
2026-01-07 00:13:00,0.215,0.234,0.239,0.247,0.210
2026-01-07 00:14:00,0.215,0.234,0.239,0.247,0.210
2026-01-07 00:15:00,0.215,0.234,0.239,0.247,0.210
