"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7""}[4m0s])
)  * 8 "
2026-01-06 23:56:00,104 kb/s
2026-01-06 23:57:00,4.74 Mb/s
2026-01-06 23:58:00,6.44 Mb/s
2026-01-06 23:59:00,9.90 Mb/s
2026-01-07 00:00:00,7.68 Mb/s
2026-01-07 00:01:00,8.20 Mb/s
2026-01-07 00:02:00,9.15 Mb/s
2026-01-07 00:03:00,11.6 Mb/s
2026-01-07 00:04:00,12.1 Mb/s
2026-01-07 00:05:00,12.0 Mb/s
2026-01-07 00:06:00,11.8 Mb/s
2026-01-07 00:07:00,11.8 Mb/s
2026-01-07 00:08:00,11.8 Mb/s
2026-01-07 00:09:00,11.1 Mb/s
2026-01-07 00:10:00,10.8 Mb/s
2026-01-07 00:11:00,10.6 Mb/s
2026-01-07 00:12:00,8.95 Mb/s
2026-01-07 00:13:00,5.05 Mb/s
2026-01-07 00:14:00,1.30 Mb/s
2026-01-07 00:15:00,113 kb/s
