"Time","sum by (service_name) (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7""}[4m0s])
)  * 8 ","gateway","worker1","worker10","worker2","worker3","worker4","worker5","worker6","worker7","worker8","worker9"
2026-01-06 23:56:00,40.6 kb/s,472 b/s,472 b/s,12.4 kb/s,3.05 kb/s,3.01 kb/s,550 b/s,12.4 kb/s,472 b/s,629 b/s,12.4 kb/s,17.1 kb/s
2026-01-06 23:57:00,54.7 kb/s,733 b/s,1.28 kb/s,681 kb/s,4.81 kb/s,2.03 Mb/s,1.27 kb/s,538 kb/s,1.15 kb/s,1.53 kb/s,713 kb/s,714 kb/s
2026-01-06 23:58:00,61.4 kb/s,1.15 kb/s,1.39 kb/s,870 kb/s,5.80 kb/s,2.91 Mb/s,1.51 kb/s,755 kb/s,1.50 kb/s,1.76 kb/s,744 kb/s,1.09 Mb/s
2026-01-06 23:59:00,59.5 kb/s,2.52 kb/s,3.19 kb/s,1.29 Mb/s,7.54 kb/s,4.62 Mb/s,3.25 kb/s,1.18 Mb/s,3.17 kb/s,3.54 kb/s,1.41 Mb/s,1.32 Mb/s
2026-01-07 00:00:00,61.8 kb/s,19.2 kb/s,13.1 kb/s,930 kb/s,18.7 kb/s,3.65 Mb/s,16.7 kb/s,934 kb/s,13.4 kb/s,19.1 kb/s,932 kb/s,1.07 Mb/s
2026-01-07 00:01:00,66.1 kb/s,19.7 kb/s,13.9 kb/s,1.11 Mb/s,19.5 kb/s,4.07 Mb/s,17.5 kb/s,1.09 Mb/s,19.4 kb/s,567 kb/s,182 kb/s,1.02 Mb/s
2026-01-07 00:02:00,67.0 kb/s,19.1 kb/s,12.9 kb/s,1.18 Mb/s,18.6 kb/s,4.31 Mb/s,16.7 kb/s,1.14 Mb/s,16.8 kb/s,1.03 Mb/s,163 kb/s,1.18 Mb/s
2026-01-07 00:03:00,66.1 kb/s,2.40 kb/s,2.51 kb/s,1.51 Mb/s,7.09 kb/s,5.64 Mb/s,2.83 kb/s,1.47 Mb/s,7.22 kb/s,1.51 Mb/s,2.18 kb/s,1.38 Mb/s
2026-01-07 00:04:00,67.3 kb/s,1.60 kb/s,1.61 kb/s,1.52 Mb/s,6.34 kb/s,5.91 Mb/s,2.15 kb/s,1.51 Mb/s,5.57 kb/s,1.52 Mb/s,6.46 kb/s,1.53 Mb/s
2026-01-07 00:05:00,76.4 kb/s,16.2 kb/s,10.3 kb/s,1.50 Mb/s,16.0 kb/s,5.82 Mb/s,14.0 kb/s,1.50 Mb/s,6.76 kb/s,1.52 Mb/s,15.9 kb/s,1.49 Mb/s
2026-01-07 00:06:00,75.8 kb/s,16.2 kb/s,10.4 kb/s,1.47 Mb/s,16.0 kb/s,5.72 Mb/s,14.0 kb/s,1.47 Mb/s,6.86 kb/s,1.48 Mb/s,16.2 kb/s,1.49 Mb/s
2026-01-07 00:07:00,76.4 kb/s,16.6 kb/s,11.0 kb/s,1.46 Mb/s,16.2 kb/s,5.78 Mb/s,14.2 kb/s,1.47 Mb/s,6.14 kb/s,1.47 Mb/s,10.7 kb/s,1.45 Mb/s
2026-01-07 00:08:00,65.0 kb/s,1.22 kb/s,1.67 kb/s,1.46 Mb/s,5.71 kb/s,5.77 Mb/s,1.42 kb/s,1.45 Mb/s,6.24 kb/s,1.45 Mb/s,284 kb/s,1.30 Mb/s
2026-01-07 00:09:00,62.7 kb/s,2.23 kb/s,2.90 kb/s,1.38 Mb/s,6.90 kb/s,5.23 Mb/s,2.69 kb/s,1.32 Mb/s,11.6 kb/s,1.38 Mb/s,698 kb/s,967 kb/s
2026-01-07 00:10:00,71.0 kb/s,16.8 kb/s,10.3 kb/s,1.36 Mb/s,16.6 kb/s,5.07 Mb/s,14.9 kb/s,1.30 Mb/s,8.26 kb/s,1.39 Mb/s,1.06 Mb/s,526 kb/s
2026-01-07 00:11:00,72.7 kb/s,17.3 kb/s,10.5 kb/s,1.37 Mb/s,16.8 kb/s,5.05 Mb/s,15.3 kb/s,1.32 Mb/s,7.68 kb/s,1.40 Mb/s,1.29 Mb/s,47.2 kb/s
2026-01-07 00:12:00,54.7 kb/s,16.8 kb/s,17.0 kb/s,1.16 Mb/s,15.4 kb/s,4.47 Mb/s,14.6 kb/s,1.17 Mb/s,5.93 kb/s,1.19 Mb/s,834 kb/s,6.13 kb/s
2026-01-07 00:13:00,28.8 kb/s,1.81 kb/s,7.30 kb/s,668 kb/s,3.85 kb/s,2.61 Mb/s,1.96 kb/s,679 kb/s,5.57 kb/s,674 kb/s,371 kb/s,1.85 kb/s
2026-01-07 00:14:00,,1.83 kb/s,1.58 kb/s,198 kb/s,2.80 kb/s,686 kb/s,2.05 kb/s,198 kb/s,7.34 kb/s,198 kb/s,1.25 kb/s,6.60 kb/s
2026-01-07 00:15:00,,12.2 kb/s,5.03 kb/s,9.70 kb/s,9.21 kb/s,11.0 kb/s,10.8 kb/s,12.7 kb/s,6.47 kb/s,12.9 kb/s,12.8 kb/s,10.4 kb/s
