"Time","in:r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7","out:r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7","sum:r600w4p2_f1_d10_20b300l1td40_100ts10_4tl200_tb200_worker3_worker1_worker4_worker5_worker9_worker6_worker8_worker7"
2026-01-06 23:54:00,4.22 MB,1.61 MB,5.82 MB
2026-01-06 23:55:00,23.9 MB,14.6 MB,38.5 MB
2026-01-06 23:56:00,20.4 MB,13.6 MB,34.0 MB
2026-01-06 23:57:00,69.4 MB,53.7 MB,123 MB
2026-01-06 23:58:00,96.2 MB,80.0 MB,176 MB
2026-01-06 23:59:00,126 MB,111 MB,237 MB
2026-01-07 00:00:00,132 MB,120 MB,251 MB
2026-01-07 00:01:00,175 MB,157 MB,332 MB
2026-01-07 00:02:00,220 MB,201 MB,421 MB
2026-01-07 00:03:00,266 MB,246 MB,512 MB
2026-01-07 00:04:00,312 MB,291 MB,604 MB
2026-01-07 00:05:00,356 MB,335 MB,691 MB
2026-01-07 00:06:00,399 MB,378 MB,777 MB
2026-01-07 00:07:00,445 MB,424 MB,869 MB
2026-01-07 00:08:00,494 MB,469 MB,963 MB
2026-01-07 00:09:00,464 MB,444 MB,908 MB
2026-01-07 00:10:00,509 MB,487 MB,996 MB
2026-01-07 00:11:00,551 MB,527 MB,1.08 GB
2026-01-07 00:12:00,566 MB,542 MB,1.11 GB
2026-01-07 00:13:00,566 MB,542 MB,1.11 GB
2026-01-07 00:14:00,566 MB,542 MB,1.11 GB
2026-01-07 00:15:00,244 MB,227 MB,471 MB
