"Time","c6d92e38-2e8d-4c93-9ebd-c629dc3f1285"
2026-01-06 22:31:00,714 ms
2026-01-06 22:32:00,714 ms
2026-01-06 22:33:00,562 ms
2026-01-06 22:34:00,562 ms
2026-01-06 22:35:00,17.6 s
2026-01-06 22:36:00,17.6 s
2026-01-06 22:37:00,2.16 s
2026-01-06 22:38:00,652 ms
2026-01-06 22:39:00,497 ms
2026-01-06 22:40:00,574 ms
2026-01-06 22:41:00,427 ms
2026-01-06 22:42:00,691 ms
2026-01-06 22:43:00,761 ms
2026-01-06 22:44:00,761 ms
2026-01-06 22:45:00,21.9 s
2026-01-06 22:46:00,543 ms
2026-01-06 22:47:00,606 ms
2026-01-06 22:48:00,606 ms
2026-01-06 22:49:00,38.2 s
2026-01-06 22:50:00,44.9 s
2026-01-06 22:51:00,17.4 s
2026-01-06 22:52:00,17.3 s
2026-01-06 22:53:00,17.3 s
2026-01-06 22:54:00,17.1 s
2026-01-06 22:55:00,17.4 s
2026-01-06 22:56:00,23.2 s
2026-01-06 22:57:00,15.4 s
2026-01-06 22:58:00,15.5 s
2026-01-06 22:59:00,15.8 s
2026-01-06 23:00:00,15.6 s
2026-01-06 23:01:00,15.5 s
2026-01-06 23:02:00,15.2 s
2026-01-06 23:03:00,15.4 s
2026-01-06 23:04:00,15.8 s
2026-01-06 23:05:00,15.8 s
2026-01-06 23:06:00,15.7 s
2026-01-06 23:07:00,15.5 s
2026-01-06 23:08:00,15.9 s
2026-01-06 23:09:00,19.9 s
2026-01-06 23:10:00,19.9 s
2026-01-06 23:11:00,15.5 s
2026-01-06 23:12:00,15.6 s
2026-01-06 23:13:00,15.7 s
2026-01-06 23:14:00,15.5 s
2026-01-06 23:15:00,15.7 s
2026-01-06 23:16:00,15.8 s
2026-01-06 23:17:00,15.4 s
2026-01-06 23:18:00,15.4 s
2026-01-06 23:19:00,15.4 s
2026-01-06 23:20:00,15.4 s
2026-01-06 23:21:00,15.6 s
2026-01-06 23:22:00,15.8 s
2026-01-06 23:23:00,15.8 s
2026-01-06 23:24:00,15.8 s
2026-01-06 23:25:00,15.8 s
