"Time","in:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1","out:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1","sum:r600w4p2_f1_d10_20b300l1td80_200ts10_4tl100_tb200_worker1"
2026-01-07 11:00:00,32.5 MB,21.1 MB,53.6 MB
2026-01-07 11:01:00,55.8 MB,41.6 MB,97.5 MB
2026-01-07 11:02:00,76.0 MB,61.7 MB,138 MB
2026-01-07 11:03:00,94.7 MB,79.8 MB,175 MB
2026-01-07 11:04:00,110 MB,95.3 MB,206 MB
2026-01-07 11:05:00,112 MB,97.4 MB,210 MB
2026-01-07 11:06:00,102 MB,91.2 MB,193 MB
2026-01-07 11:07:00,102 MB,91.4 MB,193 MB
2026-01-07 11:08:00,104 MB,91.9 MB,195 MB
2026-01-07 11:09:00,112 MB,99.5 MB,211 MB
2026-01-07 11:10:00,137 MB,121 MB,258 MB
2026-01-07 11:11:00,146 MB,130 MB,277 MB
2026-01-07 11:12:00,159 MB,141 MB,300 MB
2026-01-07 11:13:00,169 MB,151 MB,319 MB
2026-01-07 11:14:00,176 MB,158 MB,334 MB
2026-01-07 11:15:00,183 MB,165 MB,347 MB
2026-01-07 11:16:00,162 MB,145 MB,307 MB
2026-01-07 11:17:00,195 MB,176 MB,370 MB
2026-01-07 11:18:00,243 MB,221 MB,464 MB
2026-01-07 11:19:00,289 MB,267 MB,557 MB
2026-01-07 11:20:00,339 MB,315 MB,654 MB
2026-01-07 11:21:00,386 MB,361 MB,747 MB
2026-01-07 11:22:00,430 MB,405 MB,835 MB
2026-01-07 11:23:00,431 MB,405 MB,836 MB
2026-01-07 11:24:00,382 MB,365 MB,747 MB
2026-01-07 11:25:00,416 MB,395 MB,811 MB
2026-01-07 11:26:00,464 MB,439 MB,903 MB
2026-01-07 11:27:00,509 MB,483 MB,992 MB
2026-01-07 11:28:00,553 MB,526 MB,1.08 GB
2026-01-07 11:29:00,573 MB,547 MB,1.12 GB
2026-01-07 11:30:00,575 MB,549 MB,1.12 GB
2026-01-07 11:31:00,575 MB,549 MB,1.12 GB
2026-01-07 11:32:00,575 MB,549 MB,1.12 GB
