"Time","12D3KooWCJ7nntLmkWTjqRtAff3id5jfguqBzK9hKFGP23FRqutr","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8"
2026-01-06 20:41:00,1.52,1.60,1.71,,1.87
2026-01-06 20:42:00,1.06,1.05,1.01,,0.976
2026-01-06 20:43:00,0.761,0.649,0.633,,0.671
2026-01-06 20:44:00,0.558,0.619,0.520,,0.544
2026-01-06 20:45:00,0.446,0.303,0.432,,0.430
2026-01-06 20:46:00,0.420,0.323,0.461,,0.502
2026-01-06 20:47:00,0.308,0.266,0.393,,0.266
2026-01-06 20:48:00,0.314,0.429,0.366,,0.330
2026-01-06 20:49:00,0.235,0.336,0.309,,0.406
2026-01-06 20:50:00,0.345,0.336,0.340,0.392,0.365
2026-01-06 20:51:00,0.339,0.336,0.364,0.302,0.182
2026-01-06 20:52:00,0.339,0.336,0.364,0.302,0.182
2026-01-06 20:53:00,0.339,0.336,0.364,0.302,0.182
2026-01-06 20:54:00,0.339,0.336,0.364,0.302,0.182
2026-01-06 20:55:00,0.339,0.336,0.364,0.302,0.182
