"Time","debug"
2026-01-06 19:27:30,13.7 K
2026-01-06 19:28:00,12.9 K
2026-01-06 19:28:30,13.2 K
2026-01-06 19:29:00,13.2 K
2026-01-06 19:29:30,13.0 K
2026-01-06 19:30:00,13.4 K
2026-01-06 19:30:30,13.2 K
2026-01-06 19:31:00,14.0 K
2026-01-06 19:31:30,16.9 K
2026-01-06 19:32:00,13.7 K
2026-01-06 19:32:30,10.7 K
2026-01-06 19:33:00,5.41 K
2026-01-06 19:33:30,4.69 K
2026-01-06 19:34:00,12.7 K
2026-01-06 19:34:30,12.6 K
2026-01-06 19:35:00,13.0 K
2026-01-06 19:35:30,12.7 K
2026-01-06 19:36:00,11.2 K
2026-01-06 19:36:30,13.7 K
2026-01-06 19:37:00,13.1 K
2026-01-06 19:37:30,13.7 K
2026-01-06 19:38:00,14.1 K
2026-01-06 19:38:30,12.0 K
2026-01-06 19:39:00,8.17 K
2026-01-06 19:39:30,19.3 K
2026-01-06 19:40:00,19.1 K
2026-01-06 19:40:30,18.2 K
2026-01-06 19:41:00,13.8 K
2026-01-06 19:41:30,18.0 K
2026-01-06 19:42:00,14.8 K
2026-01-06 19:42:30,14.3 K
2026-01-06 19:43:00,13.7 K
2026-01-06 19:43:30,13.6 K
2026-01-06 19:44:00,12.2 K
2026-01-06 19:44:30,11.3 K
2026-01-06 19:45:00,5.69 K
2026-01-06 19:45:30,5.30 K
2026-01-06 19:46:00,12.7 K
2026-01-06 19:46:30,15.7 K
2026-01-06 19:47:00,14.5 K
2026-01-06 19:47:30,14.5 K
2026-01-06 19:48:00,11.4 K
2026-01-06 19:48:30,10.8 K
2026-01-06 19:49:00,5.71 K
2026-01-06 19:49:30,5.17 K
2026-01-06 19:50:00,5.77 K
2026-01-06 19:50:30,7.12 K
2026-01-06 19:51:00,11.9 K
2026-01-06 19:51:30,15.5 K
2026-01-06 19:52:00,15.3 K
2026-01-06 19:52:30,15.1 K
2026-01-06 19:53:00,5.44 K
2026-01-06 19:53:30,1.73 K
2026-01-06 19:54:00,1.88 K
2026-01-06 19:54:30,1.75 K
2026-01-06 19:55:00,2.33 K
2026-01-06 19:55:30,2.35 K
2026-01-06 19:56:00,1.90 K
2026-01-06 19:56:30,3.30 K
