"Time","Weighted Average","Average"
2026-01-06 19:28:00,1.41,1.77
2026-01-06 19:29:00,1.19,1.32
2026-01-06 19:30:00,0.675,0.837
2026-01-06 19:31:00,0.485,0.601
2026-01-06 19:32:00,0.363,0.497
2026-01-06 19:33:00,0.393,0.524
2026-01-06 19:34:00,0.543,0.542
2026-01-06 19:35:00,1.10,0.870
2026-01-06 19:36:00,1.21,0.855
2026-01-06 19:37:00,1.21,0.855
2026-01-06 19:38:00,0.694,0.595
2026-01-06 19:39:00,0.667,0.539
2026-01-06 19:40:00,0.584,0.525
2026-01-06 19:41:00,0.584,0.525
2026-01-06 19:42:00,0.343,0.458
2026-01-06 19:43:00,0.302,0.413
2026-01-06 19:44:00,0.142,0.258
2026-01-06 19:45:00,0.142,0.258
2026-01-06 19:46:00,0.252,0.290
2026-01-06 19:47:00,0.693,0.678
2026-01-06 19:48:00,0.588,0.689
2026-01-06 19:49:00,0.588,0.689
2026-01-06 19:50:00,0.876,0.725
2026-01-06 19:51:00,0.979,0.714
2026-01-06 19:52:00,0.525,0.567
2026-01-06 19:53:00,0.554,0.535
2026-01-06 19:54:00,0.554,0.535
2026-01-06 19:55:00,0.554,0.535
2026-01-06 19:56:00,0.554,0.535
