"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""r600w4p2_f1_d40_100b200l1td80_200ts10_4tl100_tb200_worker1""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""r600w4p2_f1_d40_100b200l1td80_200ts10_4tl100_tb200_worker1""}[4m0s])
)  * 8 "
2026-01-06 19:29:00,6.06 Mb/s
2026-01-06 19:30:00,9.04 Mb/s
2026-01-06 19:31:00,11.3 Mb/s
2026-01-06 19:32:00,11.8 Mb/s
2026-01-06 19:33:00,8.36 Mb/s
2026-01-06 19:34:00,5.06 Mb/s
2026-01-06 19:35:00,4.09 Mb/s
2026-01-06 19:36:00,5.78 Mb/s
2026-01-06 19:37:00,5.65 Mb/s
2026-01-06 19:38:00,5.68 Mb/s
2026-01-06 19:39:00,7.49 Mb/s
2026-01-06 19:40:00,7.10 Mb/s
2026-01-06 19:41:00,4.39 Mb/s
2026-01-06 19:42:00,4.58 Mb/s
2026-01-06 19:43:00,8.10 Mb/s
2026-01-06 19:44:00,10.2 Mb/s
2026-01-06 19:45:00,6.90 Mb/s
2026-01-06 19:46:00,2.63 Mb/s
2026-01-06 19:47:00,3.63 Mb/s
2026-01-06 19:48:00,4.83 Mb/s
2026-01-06 19:49:00,4.87 Mb/s
2026-01-06 19:50:00,1.64 Mb/s
2026-01-06 19:51:00,463 kb/s
2026-01-06 19:52:00,3.37 Mb/s
2026-01-06 19:53:00,7.01 Mb/s
2026-01-06 19:54:00,7.93 Mb/s
2026-01-06 19:55:00,4.91 Mb/s
2026-01-06 19:56:00,1.04 Mb/s
