"Time","debug","error","info","warn"
2026-01-07 01:00:00,14.9 K,9,633,5
2026-01-07 01:00:30,12.0 K,,1.53 K,
2026-01-07 01:01:00,11.5 K,,1.42 K,
2026-01-07 01:01:30,10.8 K,1,1.60 K,1
2026-01-07 01:02:00,10.8 K,7,1.18 K,4
2026-01-07 01:02:30,12.2 K,,1.69 K,
2026-01-07 01:03:00,11.7 K,,1.46 K,
2026-01-07 01:03:30,11.0 K,,1.31 K,
2026-01-07 01:04:00,11.4 K,,1.40 K,
2026-01-07 01:04:30,12.5 K,,1.46 K,
2026-01-07 01:05:00,15.5 K,,1.45 K,
2026-01-07 01:05:30,12.0 K,,1.39 K,
2026-01-07 01:06:00,12.0 K,,1.46 K,
2026-01-07 01:06:30,11.4 K,,1.41 K,
2026-01-07 01:07:00,8.65 K,,864,
2026-01-07 01:07:30,5.61 K,,247,
2026-01-07 01:08:00,12.0 K,4,1.35 K,3
2026-01-07 01:08:30,12.0 K,,1.81 K,
2026-01-07 01:09:00,11.8 K,,1.78 K,
2026-01-07 01:09:30,11.6 K,,1.47 K,1
2026-01-07 01:10:00,12.6 K,53,1.09 K,26
2026-01-07 01:10:30,4.62 K,,177,
2026-01-07 01:11:00,5.35 K,1,413,3
2026-01-07 01:11:30,10.0 K,,1.76 K,
2026-01-07 01:12:00,11.6 K,14,1.10 K,7
2026-01-07 01:12:30,12.9 K,,1.49 K,
2026-01-07 01:13:00,11.8 K,,1.36 K,1
2026-01-07 01:13:30,12.0 K,,1.41 K,
2026-01-07 01:14:00,11.9 K,,1.34 K,
2026-01-07 01:14:30,10.1 K,,1.02 K,1
2026-01-07 01:15:00,9.02 K,,184,
2026-01-07 01:15:30,4.13 K,,181,1
2026-01-07 01:16:00,7.26 K,28,233,14
2026-01-07 01:16:30,5.50 K,2,225,
2026-01-07 01:17:00,9.82 K,,1.28 K,1
2026-01-07 01:17:30,8.24 K,,1.15 K,
2026-01-07 01:18:00,6.43 K,20,351,10
2026-01-07 01:18:30,4.55 K,,162,1
2026-01-07 01:19:00,6.05 K,1,158,2
2026-01-07 01:19:30,13.0 K,,1.75 K,
2026-01-07 01:20:00,11.5 K,9,1.10 K,5
2026-01-07 01:20:30,5.05 K,,180,
2026-01-07 01:21:00,6.70 K,,427,2
2026-01-07 01:21:30,16.3 K,,1.75 K,
2026-01-07 01:22:00,13.9 K,,1.44 K,
2026-01-07 01:22:30,15.3 K,,2.01 K,
2026-01-07 01:23:00,13.7 K,,1.64 K,
2026-01-07 01:23:30,13.0 K,1,1.65 K,1
2026-01-07 01:24:00,11.0 K,7,1.27 K,4
2026-01-07 01:24:30,14.3 K,1,1.94 K,
2026-01-07 01:25:00,16.3 K,,2.15 K,
2026-01-07 01:25:30,14.3 K,,2.33 K,
2026-01-07 01:26:00,14.4 K,,1.84 K,1
2026-01-07 01:26:30,12.5 K,,1.75 K,
2026-01-07 01:27:00,12.4 K,,1.75 K,
2026-01-07 01:27:30,12.5 K,,1.75 K,
2026-01-07 01:28:00,12.0 K,8,1.11 K,4
2026-01-07 01:28:30,13.8 K,,1.37 K,
2026-01-07 01:29:00,2.32 K,15,215,1
2026-01-07 01:29:30,2.58 K,9,240,
2026-01-07 01:30:00,2.61 K,10,240,1
2026-01-07 01:30:30,2.52 K,6,240,
2026-01-07 01:31:00,2.29 K,4,158,
2026-01-07 01:31:30,2.32 K,,,
2026-01-07 01:32:00,2.11 K,,,
2026-01-07 01:32:30,1.77 K,,,
