"Time","12D3KooWCrsm9LonCnLLWQwoM2eMWMqneuwMXTUtcmyxPLmYhp6Y","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8"
2026-01-07 01:01:00,,1.75,1.70,1.76,1.78
2026-01-07 01:02:00,,0.862,0.914,1.06,1.18
2026-01-07 01:03:00,,1.02,0.836,0.846,0.955
2026-01-07 01:04:00,,0.697,0.587,0.572,0.644
2026-01-07 01:05:00,,0.410,0.578,0.506,0.382
2026-01-07 01:06:00,,0.455,0.491,0.454,0.384
2026-01-07 01:07:00,,0.344,0.292,0.343,0.323
2026-01-07 01:08:00,,0.334,0.320,0.310,0.298
2026-01-07 01:09:00,,0.299,0.305,0.322,0.148
2026-01-07 01:10:00,,0.244,0.263,0.360,0.230
2026-01-07 01:11:00,,0.211,0.263,0.270,0.339
2026-01-07 01:12:00,,0.211,0.263,0.270,0.339
2026-01-07 01:13:00,1.85,0.308,0.312,0.309,0.339
2026-01-07 01:14:00,1.32,0.145,0.262,0.220,0.339
2026-01-07 01:15:00,1.44,0.347,0.302,0.227,0.339
2026-01-07 01:16:00,1.44,0.347,0.302,0.227,0.339
2026-01-07 01:17:00,1.35,0.386,0.329,0.227,1.28
2026-01-07 01:18:00,1.35,0.386,0.329,0.227,1.28
2026-01-07 01:19:00,1.24,0.288,0.329,0.227,1.26
2026-01-07 01:20:00,1.24,0.288,0.329,0.227,1.26
2026-01-07 01:21:00,1.24,0.289,2.34,0.227,0.866
2026-01-07 01:22:00,2.31,0.323,2.34,0.227,1.34
2026-01-07 01:23:00,1.23,0.408,1.26,0.227,0.897
2026-01-07 01:24:00,0.756,0.470,0.842,0.227,0.632
2026-01-07 01:25:00,0.828,0.639,0.884,0.227,0.729
2026-01-07 01:26:00,0.696,0.341,0.896,0.227,0.695
2026-01-07 01:27:00,0.696,0.341,0.896,0.227,0.695
2026-01-07 01:28:00,0.696,0.341,0.896,0.227,0.695
2026-01-07 01:29:00,0.844,0.341,0.668,0.791,1.10
2026-01-07 01:30:00,0.844,0.341,0.668,0.791,1.10
2026-01-07 01:31:00,0.844,0.341,0.668,0.791,1.10
2026-01-07 01:32:00,0.844,0.341,0.668,0.791,1.10
