"Time","sum by (service_name) (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9""}[4m0s])
)  * 8 ","gateway","worker1","worker10","worker2","worker3","worker4","worker5","worker6","worker7","worker8","worker9"
2026-01-07 01:02:00,34.4 kb/s,1.07 kb/s,1.12 kb/s,521 kb/s,982 b/s,3.50 kb/s,2.06 Mb/s,665 kb/s,578 kb/s,553 kb/s,1.20 kb/s,1.22 kb/s
2026-01-07 01:03:00,52.0 kb/s,2.56 kb/s,2.80 kb/s,876 kb/s,2.69 kb/s,6.28 kb/s,3.31 Mb/s,921 kb/s,881 kb/s,862 kb/s,2.94 kb/s,3.12 kb/s
2026-01-07 01:04:00,67.5 kb/s,2.51 kb/s,2.88 kb/s,1.25 Mb/s,2.62 kb/s,7.35 kb/s,4.83 Mb/s,1.31 Mb/s,1.27 Mb/s,1.26 Mb/s,3.00 kb/s,3.29 kb/s
2026-01-07 01:05:00,67.0 kb/s,2.11 kb/s,2.48 kb/s,1.42 Mb/s,2.29 kb/s,6.91 kb/s,5.45 Mb/s,1.35 Mb/s,1.42 Mb/s,1.41 Mb/s,2.60 kb/s,2.99 kb/s
2026-01-07 01:06:00,75.6 kb/s,15.8 kb/s,9.96 kb/s,1.50 Mb/s,10.7 kb/s,20.2 kb/s,5.87 Mb/s,1.50 Mb/s,1.53 Mb/s,1.53 Mb/s,15.7 kb/s,12.2 kb/s
2026-01-07 01:07:00,76.6 kb/s,15.9 kb/s,9.87 kb/s,1.51 Mb/s,10.9 kb/s,20.2 kb/s,5.95 Mb/s,1.50 Mb/s,1.54 Mb/s,1.53 Mb/s,15.7 kb/s,12.7 kb/s
2026-01-07 01:08:00,66.7 kb/s,17.9 kb/s,11.7 kb/s,1.17 Mb/s,12.7 kb/s,22.1 kb/s,4.70 Mb/s,1.19 Mb/s,1.17 Mb/s,1.18 Mb/s,17.6 kb/s,14.5 kb/s
2026-01-07 01:09:00,58.9 kb/s,3.01 kb/s,3.25 kb/s,1.08 Mb/s,3.36 kb/s,1.53 Mb/s,3.01 Mb/s,1.11 Mb/s,1.09 Mb/s,1.10 Mb/s,3.45 kb/s,4.18 kb/s
2026-01-07 01:10:00,59.9 kb/s,2.97 kb/s,3.29 kb/s,960 kb/s,3.27 kb/s,2.79 Mb/s,711 kb/s,962 kb/s,942 kb/s,953 kb/s,3.41 kb/s,3.52 kb/s
2026-01-07 01:11:00,69.2 kb/s,15.3 kb/s,10.1 kb/s,746 kb/s,11.2 kb/s,2.85 Mb/s,12.8 kb/s,681 kb/s,838 kb/s,833 kb/s,59.1 kb/s,12.4 kb/s
2026-01-07 01:12:00,62.8 kb/s,15.3 kb/s,9.68 kb/s,463 kb/s,10.8 kb/s,1.52 Mb/s,11.7 kb/s,386 kb/s,422 kb/s,406 kb/s,84.4 kb/s,12.5 kb/s
2026-01-07 01:13:00,61.1 kb/s,17.3 kb/s,11.9 kb/s,705 kb/s,13.0 kb/s,1.60 Mb/s,13.6 kb/s,44.4 kb/s,457 kb/s,440 kb/s,569 kb/s,15.0 kb/s
2026-01-07 01:14:00,60.7 kb/s,3.00 kb/s,3.39 kb/s,1.02 Mb/s,3.22 kb/s,3.34 Mb/s,14.1 kb/s,18.6 kb/s,887 kb/s,860 kb/s,936 kb/s,4.37 kb/s
