"Time","sum:","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9/gateway","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9/worker1","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9/worker10","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9/worker2","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9/worker3","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9/worker4","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9/worker5","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9/worker6","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9/worker7","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9/worker8","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9/worker9"
2026-01-07 01:01:00,844 kB,869 kB,671 kB,15.7 MB,732 kB,1.13 MB,29.9 MB,9.34 MB,9.83 MB,12.2 MB,1.09 MB,508 kB
2026-01-07 01:02:00,1.35 MB,884 kB,688 kB,23.4 MB,747 kB,1.18 MB,60.0 MB,17.0 MB,18.3 MB,20.3 MB,1.11 MB,525 kB
2026-01-07 01:03:00,1.88 MB,919 kB,726 kB,33.0 MB,785 kB,1.25 MB,95.0 MB,10.0 MB,27.2 MB,29.2 MB,1.15 MB,569 kB
2026-01-07 01:04:00,2.36 MB,925 kB,736 kB,44.0 MB,791 kB,1.29 MB,139 MB,21.4 MB,38.4 MB,40.6 MB,1.16 MB,582 kB
2026-01-07 01:05:00,2.86 MB,932 kB,743 kB,55.3 MB,798 kB,1.34 MB,183 MB,32.5 MB,50.2 MB,52.0 MB,1.17 MB,593 kB
2026-01-07 01:06:00,3.58 MB,1.28 MB,950 kB,66.7 MB,1.03 MB,1.71 MB,227 MB,43.7 MB,61.5 MB,63.7 MB,1.51 MB,843 kB
2026-01-07 01:07:00,4.09 MB,1.28 MB,958 kB,78.0 MB,1.04 MB,1.75 MB,286 MB,55.2 MB,73.0 MB,75.1 MB,1.52 MB,867 kB
2026-01-07 01:08:00,4.39 MB,1.34 MB,1.01 MB,81.6 MB,1.08 MB,1.83 MB,286 MB,59.3 MB,76.5 MB,78.6 MB,1.57 MB,919 kB
2026-01-07 01:09:00,4.91 MB,1.34 MB,1.02 MB,91.0 MB,1.10 MB,38.9 MB,335 kB,68.7 MB,86.1 MB,88.5 MB,1.58 MB,937 kB
2026-01-07 01:10:00,5.46 MB,1.35 MB,1.03 MB,99.6 MB,1.11 MB,71.0 MB,374 kB,76.8 MB,94.2 MB,96.6 MB,1.59 MB,946 kB
